,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1980,1.0,3.0,4.1,36.1,-1.7,3.9
1,Alaska,1980,1.5,2.5,4.0,15.3,28.7,0.4
2,Arizona,1980,0.1,4.7,4.8,30.8,2.6,2.7
3,Arkansas,1980,0.4,1.7,2.0,20.3,-2.6,2.3
4,California,1980,8.4,15.8,24.2,328,2.5,23.7
5,Colorado,1980,0.5,3.3,3.8,38.3,4.1,2.9
6,Connecticut,1980,3.9,1.9,5.8,40.8,1.5,3.1
7,Delaware,1980,1.0,0.6,1.6,7.9,-0.8,0.6
8,District of Columbia,1980,0.0,2.7,2.7,19.9,-1.1,0.6
9,Florida,1980,2.6,7.8,10.5,97.9,4.1,9.7
10,Georgia,1980,1.4,4.8,6.2,56.2,0.0,5.5
11,Hawaii,1980,1.9,0.3,2.2,13.4,3.4,1.0
12,Idaho,1980,0.3,0.3,0.7,9.9,-2.1,0.9
13,Illinois,1980,6.3,9.0,15.3,145.3,-4.3,11.4
14,Indiana,1980,0.6,3.3,3.9,58.9,-6.8,5.5
15,Iowa,1980,0.4,1.9,2.3,34.6,-5.3,2.9
16,Kansas,1980,0.4,2.8,3.3,28.3,-1.3,2.4
17,Kentucky,1980,3.0,4.4,7.4,37,-5.3,3.7
18,Louisiana,1980,3.0,4.1,7.1,63.9,13.5,4.2
19,Maine,1980,0.7,0.6,1.3,10.3,0.8,1.1
20,Maryland,1980,3.5,4.0,7.5,47.5,-0.1,4.2
21,Massachusetts,1980,5.8,4.5,10.2,69.7,1.5,5.7
22,Michigan,1980,2.9,8.2,11.1,104.1,-9.4,9.3
23,Minnesota,1980,2.1,6.6,8.7,50.2,-1.7,4.1
24,Mississippi,1980,0.8,1.3,2.1,21.4,-2.1,2.5
25,Missouri,1980,1.0,3.2,4.2,52.4,-5.0,4.9
26,Montana,1980,0.3,0.5,0.9,8.9,0.2,0.8
27,Nebraska,1980,0.2,4.4,4.6,18.3,-3.7,1.6
28,Nevada,1980,0.5,0.8,1.3,11.6,3.6,0.8
29,New Hampshire,1980,0.9,0.4,1.3,9.3,1.7,0.9
30,New Jersey,1980,6.5,6.1,12.6,88.3,0.0,7.4
31,New Mexico,1980,0.7,1.2,1.9,15.7,9.8,1.3
32,New York,1980,23.6,22.9,46.5,235.7,-0.7,17.6
33,North Carolina,1980,1.3,3.2,4.4,58.8,-1.1,5.9
34,North Dakota,1980,0.2,0.6,0.8,7.6,-2.9,0.7
35,Ohio,1980,4.0,6.5,10.5,121.2,-5.1,10.8
36,Oklahoma,1980,1.5,1.8,3.4,37.6,9.3,3.0
37,Oregon,1980,4.9,2.1,7.0,30,-3.0,2.6
38,Pennsylvania,1980,6.3,14.0,20.4,127.2,-3.2,11.9
39,Rhode Island,1980,1.5,0.6,2.0,9.6,-0.2,0.9
40,South Carolina,1980,1.9,1.4,3.3,27.6,-0.7,3.1
41,South Dakota,1980,0.7,0.4,1.1,6.8,-7.7,0.7
42,Tennessee,1980,1.4,4.6,6.0,45,-2.2,4.6
43,Texas,1980,2.5,18.2,20.7,203.1,8.5,14.2
44,All states combined,1980,122.0,214.0,336.0,"2,857.30",-0.3,226.5
45,Utah,1980,0.5,0.9,1.4,15.3,2.4,1.5
46,Vermont,1980,0.7,0.1,0.8,4.9,1.2,0.5
47,Virginia,1980,1.9,3.9,5.9,58.7,0.8,5.3
48,Washington,1980,1.6,10.0,11.6,52.7,-0.8,4.1
49,West Virginia,1980,1.8,1.4,3.2,18.4,-3.1,1.9
50,Wisconsin,1980,2.4,3.2,5.7,52.9,-3.2,4.7
51,Wyoming,1980,0.4,0.8,1.2,10.4,18.6,0.5
