,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1964,0.3,0.8,1.2,8.2,10.3,3.3
1,Alaska,1964,0.1,0.1,0.2,1.2,11.9,0.3
2,Arizona,1964,0.0,0.6,0.6,4.8,5.9,1.5
3,Arkansas,1964,0.1,0.3,0.4,4.1,7.8,1.8
4,California,1964,3.3,6.9,10.2,73.5,6.8,17.3
5,Colorado,1964,0.1,0.7,0.8,6.2,3.5,1.9
6,Connecticut,1964,1.2,1.0,2.1,10.6,5.2,2.7
7,Delaware,1964,0.3,0.3,0.5,2.1,8.1,0.5
8,District of Columbia,1964,0.0,0.3,0.3,5.6,6.5,0.8
9,Florida,1964,0.6,1.9,2.5,16.0,7.5,5.6
10,Georgia,1964,0.5,1.0,1.5,11.3,7.4,4.2
11,Hawaii,1964,0.3,0.2,0.5,2.6,7.0,0.7
12,Idaho,1964,0.0,0.1,0.2,1.9,4.1,0.7
13,Illinois,1964,1.1,3.8,4.9,42.5,5.9,10.5
14,Indiana,1964,0.5,0.9,1.4,16.7,5.3,4.9
15,Iowa,1964,0.1,0.5,0.5,8.4,3.8,2.8
16,Kansas,1964,0.2,0.7,0.9,6.4,3.0,2.2
17,Kentucky,1964,0.7,0.7,1.4,8.8,3.4,3.1
18,Louisiana,1964,0.6,1.3,1.8,10.5,6.8,3.4
19,Maine,1964,0.2,0.1,0.3,2.6,6.0,1.0
20,Maryland,1964,0.8,1.4,2.1,11.2,7.2,3.4
21,Massachusetts,1964,1.5,1.5,3.1,18.6,5.3,5.4
22,Michigan,1964,1.0,2.8,3.7,32.6,5.3,8.2
23,Minnesota,1964,0.3,1.3,1.6,11.4,4.1,3.6
24,Mississippi,1964,0.2,0.4,0.7,4.5,0.7,2.2
25,Missouri,1964,0.1,1.2,1.3,14.5,4.6,4.5
26,Montana,1964,0.1,0.2,0.2,2.0,1.0,0.7
27,Nebraska,1964,0.0,0.6,0.7,4.4,1.7,1.4
28,Nevada,1964,0.0,0.2,0.2,1.9,4.7,0.4
29,New Hampshire,1964,0.1,0.1,0.2,1.8,8.1,0.7
30,New Jersey,1964,1.0,2.2,3.2,24.8,4.3,6.5
31,New Mexico,1964,0.1,0.2,0.3,3.2,2.6,1.0
32,New York,1964,3.9,11.7,15.5,75.5,5.3,17.4
33,North Carolina,1964,0.2,0.8,1.1,13.5,5.1,4.8
34,North Dakota,1964,0.0,0.2,0.2,1.6,-3.5,0.6
35,Ohio,1964,0.8,2.9,3.8,35.7,5.6,10.1
36,Oklahoma,1964,0.4,0.7,1.0,6.5,4.8,2.4
37,Oregon,1964,0.4,0.4,0.9,6.2,6.4,1.9
38,Pennsylvania,1964,1.7,4.4,6.1,37.4,6.6,11.5
39,Rhode Island,1964,0.2,0.3,0.4,2.9,5.6,0.9
40,South Carolina,1964,0.2,0.3,0.5,5.5,8.0,2.5
41,South Dakota,1964,0.0,0.1,0.1,1.6,-2.3,0.7
42,Tennessee,1964,0.2,1.8,2.0,9.8,6.1,3.7
43,Texas,1964,0.5,4.1,4.6,31.4,5.6,10.2
44,All states combined,1964,25.0,67.2,92.2,684.5,5.8,188.6
45,Utah,1964,0.0,0.3,0.3,3.1,1.1,1.0
46,Vermont,1964,0.1,0.1,0.1,1.1,8.1,0.4
47,Virginia,1964,0.2,1.2,1.4,12.7,7.2,4.2
48,Washington,1964,0.5,2.1,2.7,11.4,0.5,3.1
49,West Virginia,1964,0.3,0.2,0.5,4.9,4.4,1.8
50,Wisconsin,1964,0.2,1.2,1.4,13.7,6.1,4.1
51,Wyoming,1964,0.0,0.1,0.1,1.4,2.3,0.3
