,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1975,0.9,1.9,2.8,21.3,0.4,3.7
1,Alaska,1975,0.7,0.5,1.2,6.2,42.3,0.3
2,Arizona,1975,0.1,2.0,2.1,15.3,-4.3,2.2
3,Arkansas,1975,0.1,1.0,1.1,11.9,0.6,2.1
4,California,1975,6.5,13.6,20.1,178.4,0.9,21.7
5,Colorado,1975,0.1,1.8,1.9,20.2,3.4,2.5
6,Connecticut,1975,2.9,1.9,4.8,24,-2.5,3.1
7,Delaware,1975,0.6,0.4,1.0,5,-2.9,0.6
8,District of Columbia,1975,0.0,2.3,2.3,12.7,1.8,0.7
9,Florida,1975,1.6,5.0,6.6,55.3,-2.9,8.1
10,Georgia,1975,1.1,2.6,3.8,32,-3.6,5.0
11,Hawaii,1975,1.2,0.3,1.5,8.2,4.7,0.9
12,Idaho,1975,0.0,0.2,0.3,5.8,3.0,0.8
13,Illinois,1975,2.8,6.8,9.6,95.9,-0.4,11.3
14,Indiana,1975,0.6,2.0,2.7,37.7,-3.2,5.3
15,Iowa,1975,0.1,1.2,1.3,22,4.1,2.9
16,Kansas,1975,0.3,1.5,1.8,16.9,2.4,2.3
17,Kentucky,1975,2.0,1.9,3.9,22.8,-1.4,3.4
18,Louisiana,1975,1.2,2.8,4.0,30.7,4.4,3.9
19,Maine,1975,0.5,0.3,0.8,6,-2.1,1.1
20,Maryland,1975,2.1,3.0,5.1,29.6,-1.1,4.1
21,Massachusetts,1975,3.9,3.8,7.7,41.9,-2.4,5.7
22,Michigan,1975,1.7,6.8,8.5,67,-2.7,9.1
23,Minnesota,1975,0.9,3.3,4.2,29.7,-1.9,3.9
24,Mississippi,1975,0.6,0.9,1.5,12.3,-0.3,2.4
25,Missouri,1975,0.3,2.5,2.8,33,-0.9,4.8
26,Montana,1975,0.1,0.3,0.4,5.2,2.5,0.7
27,Nebraska,1975,0.1,2.3,2.3,11.9,4.1,1.5
28,Nevada,1975,0.1,0.5,0.6,5.5,1.9,0.6
29,New Hampshire,1975,0.2,0.4,0.6,4.8,-0.9,0.8
30,New Jersey,1975,3.9,5.0,8.8,56.1,-3.2,7.3
31,New Mexico,1975,0.2,0.5,0.6,8.1,4.1,1.2
32,New York,1975,14.6,25.1,39.8,155.3,-2.3,17.9
33,North Carolina,1975,0.6,1.7,2.3,36,-2.0,5.5
34,North Dakota,1975,0.1,0.2,0.3,4.9,-1.1,0.6
35,Ohio,1975,2.7,5.5,8.1,78.1,-3.6,10.7
36,Oklahoma,1975,0.9,1.3,2.3,18.2,2.6,2.8
37,Oregon,1975,1.7,1.2,2.9,16.8,-0.2,2.3
38,Pennsylvania,1975,5.4,9.3,14.6,84.1,-1.6,11.8
39,Rhode Island,1975,0.5,0.5,0.9,6,-1.9,0.9
40,South Carolina,1975,0.9,1.0,1.9,16,-4.2,2.8
41,South Dakota,1975,0.1,0.1,0.2,4.4,1.5,0.7
42,Tennessee,1975,0.8,3.0,3.8,26.6,-2.9,4.2
43,Texas,1975,1.9,9.3,11.2,98.8,5.9,12.6
44,All states combined,1975,72.0,148.0,220.0,"1,684.90",-0.2,214.6
45,Utah,1975,0.1,0.5,0.5,8.2,2.0,1.2
46,Vermont,1975,0.5,0.2,0.6,2.8,-0.3,0.5
47,Virginia,1975,0.7,3.0,3.7,35.1,-1.0,5.0
48,Washington,1975,1.3,5.1,6.4,29.3,2.1,3.8
49,West Virginia,1975,1.1,0.5,1.6,12,2.6,1.8
50,Wisconsin,1975,1.0,2.1,3.2,32.3,3.0,4.6
51,Wyoming,1975,0.1,0.3,0.4,4,5.0,0.4
