,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1985,3.2,4.5,7.7,53.8,4.3,4.0
1,Alaska,1985,5.7,4.2,9.9,26.1,6.5,0.5
2,Arizona,1985,0.7,11.1,11.8,50.7,6.5,3.2
3,Arkansas,1985,0.8,2.5,3.3,29.3,-0.1,2.3
4,California,1985,16.1,34.3,50.4,523.9,5.3,26.5
5,Colorado,1985,1.5,7.4,9.0,59.6,2.8,3.1
6,Connecticut,1985,6.4,2.3,8.7,69.2,5.5,3.2
7,Delaware,1985,1.8,0.8,2.6,13.1,6.4,0.6
8,District of Columbia,1985,0.0,3.4,3.4,28.5,4.0,0.6
9,Florida,1985,5.0,21.1,26.1,170.9,6.2,11.2
10,Georgia,1985,2.2,9.1,11.3,98.2,7.6,5.9
11,Hawaii,1985,2.7,0.3,3.1,20.7,5.0,1.0
12,Idaho,1985,0.6,0.5,1.1,13,0.5,1.0
13,Illinois,1985,9.8,11.9,21.7,206.3,2.9,11.4
14,Indiana,1985,1.7,5.4,7.1,82,0.8,5.5
15,Iowa,1985,1.3,2.8,4.1,42.4,-0.3,2.8
16,Kansas,1985,0.3,5.7,6.0,40.7,2.5,2.4
17,Kentucky,1985,3.6,6.7,10.4,51.9,1.9,3.7
18,Louisiana,1985,8.1,7.2,15.3,84.4,-1.0,4.2
19,Maine,1985,1.2,0.7,2.0,16,4.4,1.2
20,Maryland,1985,5.1,7.2,12.3,76.9,6.6,4.5
21,Massachusetts,1985,10.1,5.3,15.4,116.6,6.2,5.9
22,Michigan,1985,5.9,9.3,15.2,153.6,3.6,9.3
23,Minnesota,1985,3.5,10.5,14.0,75.8,3.0,4.2
24,Mississippi,1985,1.0,2.2,3.2,30.1,1.6,2.5
25,Missouri,1985,3.3,3.9,7.2,77.9,1.3,5.0
26,Montana,1985,0.7,1.1,1.9,10.9,-3.7,0.8
27,Nebraska,1985,1.0,4.9,6.0,25.7,1.2,1.6
28,Nevada,1985,1.1,1.7,2.8,17.9,5.3,1.0
29,New Hampshire,1985,2.0,0.5,2.5,16.6,8.8,1.0
30,New Jersey,1985,13.4,9.3,22.6,145.9,5.9,7.5
31,New Mexico,1985,1.3,2.7,4.0,22.5,2.1,1.4
32,New York,1985,32.4,30.1,62.5,364.3,4.0,17.8
33,North Carolina,1985,2.2,7.9,10.0,96.5,6.2,6.2
34,North Dakota,1985,0.6,0.7,1.3,10.7,-2.9,0.6
35,Ohio,1985,8.2,8.4,16.6,174.2,3.0,10.8
36,Oklahoma,1985,3.6,3.8,7.4,52.8,-0.3,3.1
37,Oregon,1985,6.6,3.3,9.9,39.4,2.1,2.7
38,Pennsylvania,1985,7.3,17.9,25.2,176.9,2.4,11.9
39,Rhode Island,1985,2.8,0.6,3.4,15.2,6.9,1.0
40,South Carolina,1985,3.4,3.3,6.7,44,3.5,3.3
41,South Dakota,1985,1.1,0.5,1.6,9.6,1.1,0.7
42,Tennessee,1985,1.9,6.4,8.3,68.4,3.7,4.7
43,Texas,1985,5.2,37.2,42.4,307.2,3.2,15.5
44,All states combined,1985,211.9,357.0,568.9,"4,339.00",4.2,237.4
45,Utah,1985,1.3,6.6,7.9,24.1,5.4,1.6
46,Vermont,1985,0.9,0.3,1.2,7.5,5.8,0.5
47,Virginia,1985,3.3,5.4,8.8,98,5.8,5.8
48,Washington,1985,3.0,14.8,17.9,77.3,1.1,4.5
49,West Virginia,1985,1.6,2.8,4.4,22.9,0.3,1.9
50,Wisconsin,1985,4.5,4.3,8.8,73.8,2.2,4.8
51,Wyoming,1985,0.8,1.5,2.3,12.2,-2.6,0.5
