,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1969,0.6,1.6,2.2,11.9,3.1,3.4
1,Alaska,1969,0.2,0.2,0.4,2.1,4.1,0.3
2,Arizona,1969,0.1,0.8,0.9,7.6,9.4,1.7
3,Arkansas,1969,0.1,0.8,1.0,6.2,4.2,1.9
4,California,1969,5.5,10.1,15.6,106.6,3.0,19.5
5,Colorado,1969,0.1,1.0,1.1,9.5,5.8,2.2
6,Connecticut,1969,1.6,1.4,3.0,15.6,4.2,3.0
7,Delaware,1969,0.4,0.3,0.7,3.1,1.4,0.5
8,District of Columbia,1969,0.0,0.5,0.5,8.1,-0.4,0.8
9,Florida,1969,0.9,2.6,3.6,27.4,9.9,6.6
10,Georgia,1969,0.9,1.5,2.4,18.1,5.0,4.5
11,Hawaii,1969,0.4,0.2,0.7,4.3,9.2,0.8
12,Idaho,1969,0.0,0.2,0.2,2.8,5.0,0.7
13,Illinois,1969,1.3,5.0,6.3,60.8,3.0,11.0
14,Indiana,1969,0.6,1.3,1.9,24.2,1.9,5.1
15,Iowa,1969,0.1,0.8,0.9,12.3,4.3,2.8
16,Kansas,1969,0.2,0.9,1.1,9.2,3.0,2.2
17,Kentucky,1969,1.2,1.2,2.5,13.2,3.1,3.2
18,Louisiana,1969,0.8,2.0,2.7,16.3,3.2,3.6
19,Maine,1969,0.2,0.2,0.4,3.7,3.4,1.0
20,Maryland,1969,1.2,2.0,3.2,17.4,4.6,3.8
21,Massachusetts,1969,1.9,2.1,4.0,27.5,3.8,5.6
22,Michigan,1969,0.9,3.8,4.7,47.9,2.1,8.8
23,Minnesota,1969,0.4,2.0,2.3,17.7,4.4,3.8
24,Mississippi,1969,0.4,0.7,1.2,6.8,3.5,2.2
25,Missouri,1969,0.1,1.8,2.0,21.1,2.0,4.6
26,Montana,1969,0.1,0.2,0.2,2.8,4.0,0.7
27,Nebraska,1969,0.1,1.1,1.2,6.5,7.0,1.5
28,Nevada,1969,0.0,0.3,0.3,2.9,10.2,0.5
29,New Hampshire,1969,0.2,0.2,0.3,2.8,3.4,0.7
30,New Jersey,1969,1.4,3.0,4.5,35.9,1.6,7.1
31,New Mexico,1969,0.1,0.3,0.4,4.1,2.5,1.0
32,New York,1969,6.7,15.4,22.1,107,2.2,18.1
33,North Carolina,1969,0.6,1.2,1.8,20.9,5.0,5.0
34,North Dakota,1969,0.0,0.2,0.2,2.2,6.0,0.6
35,Ohio,1969,1.4,4.0,5.4,52.8,3.4,10.6
36,Oklahoma,1969,0.7,0.9,1.6,9.6,3.8,2.5
37,Oregon,1969,0.6,0.7,1.3,9.4,4.6,2.1
38,Pennsylvania,1969,2.9,5.3,8.2,54.5,4.0,11.8
39,Rhode Island,1969,0.4,0.4,0.7,4.1,0.2,0.9
40,South Carolina,1969,0.3,0.5,0.8,8.9,3.5,2.6
41,South Dakota,1969,0.0,0.1,0.1,2.3,3.5,0.7
42,Tennessee,1969,0.4,1.9,2.2,15.2,3.5,3.9
43,Texas,1969,0.9,5.7,6.6,48.6,4.1,11.0
44,All states combined,1969,39.6,94.0,133.5,"1,017.60",3.1,200.8
45,Utah,1969,0.1,0.5,0.6,4,3.3,1.0
46,Vermont,1969,0.2,0.1,0.2,1.8,5.3,0.4
47,Virginia,1969,0.3,1.7,2.0,19.6,5.8,4.6
48,Washington,1969,0.7,3.4,4.1,18.1,1.4,3.4
49,West Virginia,1969,0.5,0.3,0.7,6.4,-0.1,1.8
50,Wisconsin,1969,0.5,1.7,2.2,19.5,2.1,4.4
51,Wyoming,1969,0.1,0.2,0.2,1.8,2.7,0.3
