State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,9.1,a,22.6,a,31.6,a,191.5,a,1,a,4.8,e
Alaska,6.2,a,3.5,a,9.7,a,56.6,a,-5.1,a,0.7,e
Arizona,14.2,a,35,a,49.2,a,275.2,a,0.7,a,6.6,e
Arkansas,3.9,a,10,a,14,a,114.3,a,2.8,a,3,e
California,152.2,a,268.3,a,420.5,a,"2,262.80",a,3.6,a,38.3,e
Colorado,16.3,a,37.1,a,53.4,a,288.3,a,3.3,a,5.3,e
Connecticut,32.4,a,11,a,43.3,a,246.6,a,-1.1,a,3.6,e
Delaware,5.8,a,2.6,a,8.3,a,60.7,a,-4.5,a,0.9,e
District of Columbia,0,a,12.4,a,12.4,a,114.9,a,-0.1,a,0.7,e
Florida,37.9,a,108.5,a,146.4,a,800.7,a,1.9,a,19.5,e
Georgia,13.3,a,41.7,a,55,a,460.6,a,1.5,a,10,e
Hawaii,8.3,a,6.1,a,14.4,a,75.8,a,0.9,a,1.4,e
Idaho,3.6,a,2.3,a,6,a,61,a,3.6,a,1.6,e
Illinois,63.7,a,85,a,148.7,a,739.6,a,0.5,a,12.9,e
Indiana,22.6,a,27.3,a,49.9,a,308.7,a,2.1,a,6.6,e
Iowa,6.7,a,11.8,a,18.5,a,160.3,a,-0.4,a,3.1,e
Kansas,6.8,a,19.3,a,26.2,a,143.2,a,0,a,2.9,e
Kentucky,15,a,26.1,a,41.1,a,182.4,a,1.8,a,4.4,e
Louisiana,18.6,a,21.6,a,40.2,a,229,a,-3,a,4.6,e
Maine,5.4,a,3,a,8.4,a,53.7,a,-0.7,a,1.3,e
Maryland,26.1,a,23,a,49,a,341.3,a,0,a,5.9,e
Massachusetts,76.2,a,19.2,a,95.4,a,454.3,a,0.1,a,6.7,e
Michigan,30.4,a,46.3,a,76.7,a,432.7,a,1.3,a,9.9,e
Minnesota,13.7,a,34.5,a,48.1,a,306.2,a,2.2,a,5.4,e
Mississippi,7.1,a,7.2,a,14.3,a,101.6,a,0,a,3,e
Missouri,19.3,a,26.3,a,45.6,a,277.9,a,1.2,a,6,e
Montana,3.5,a,1.7,a,5.3,a,43.1,a,1,a,1,e
Nebraska,1.8,a,13.1,a,14.9,a,107.6,a,2.7,a,1.9,e
Nevada,3.6,a,24.7,a,28.3,a,130.6,a,0.2,a,2.8,e
New Hampshire,8.8,a,2.7,a,11.4,a,70.2,a,1.6,a,1.3,e
New Jersey,64.3,a,35,a,99.3,a,533.7,a,0.7,a,8.9,e
New Mexico,7.2,a,9.1,a,16.4,a,88.4,a,-1.3,a,2.1,e
New York,136,a,210.4,a,346.4,a,"1,355.60",a,-0.2,a,19.6,e
North Carolina,19.1,a,32.5,a,51.5,a,455.5,a,1.3,a,9.8,e
North Dakota,1.8,a,2.8,a,4.7,a,53.9,a,2.3,a,0.7,e
Ohio,33.1,a,49.7,a,82.8,a,561,a,1.8,a,11.6,e
Oklahoma,9.5,a,9.3,a,18.8,a,182.6,a,2.4,a,3.9,e
Oregon,13.6,a,21.2,a,34.8,a,179.4,a,0.8,a,3.9,e
Pennsylvania,47,a,83,a,130.1,a,663.9,a,1.6,a,12.8,e
Rhode Island,9.6,a,2.7,a,12.3,a,53.2,a,0.9,a,1.1,e
South Carolina,14.7,a,27.4,a,42.1,a,183,a,2,a,4.8,e
South Dakota,3.4,a,2.4,a,5.9,a,44.8,a,0.4,a,0.8,e
Tennessee,6.2,a,39.6,a,45.8,a,292.8,a,1.1,a,6.5,e
Texas,39.6,a,226.6,a,266.2,a,"1,502.30",a,4.3,a,26.5,e
All states combined,"1,137.90",a,"1,829.60",a,"2,967.60",a,"16,784.90",a,1.8,a,316,e
Utah,7,a,12.7,a,19.8,a,134.3,a,2.5,a,2.9,e
Vermont,3.3,a,1.2,a,4.5,a,29.1,a,-1.3,a,0.6,e
Virginia,28,a,37.1,a,65.1,a,455.1,a,0.4,a,8.3,e
Washington,30.5,a,47,a,77.5,a,419.3,a,2.6,a,7,e
West Virginia,7.4,a,3.5,a,10.8,a,71,a,1.1,a,1.9,e
Wisconsin,23.2,a,21.2,a,44.4,a,282.4,a,0.7,a,5.7,e
Wyoming,1,a,1,a,2,a,38.9,a,0.2,a,0.6,e
