State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,4.2,a,9.1,a,13.2,a,109.4,a,3.4,a,4.4,i
Alaska,3.8,a,3.6,a,7.4,a,24.2,a,-2.6,a,0.6,i
Arizona,2.8,a,19.2,a,22,a,143.4,a,8.7,a,4.8,i
Arkansas,2.4,a,3.7,a,6.1,a,62.4,a,2.5,a,2.6,i
California,50.3,a,111.2,a,161.5,a,"1,147.80",a,6.7,a,33,i
Colorado,3.6,a,17.3,a,20.9,a,150.4,a,9.2,a,4.1,i
Connecticut,17.7,a,4.8,a,22.5,a,145.5,a,2.9,a,3.4,i
Delaware,3.8,a,1.2,a,5,a,36.8,a,10,a,0.8,i
District of Columbia,0,a,4.8,a,4.8,a,54.9,a,2,a,0.6,i
Florida,17,a,54.8,a,71.8,a,430.1,a,5.2,a,15.3,i
Georgia,6,a,19.4,a,25.4,a,264.9,a,7.2,a,7.8,i
Hawaii,5.7,a,2.1,a,7.8,a,37.6,a,-2.4,a,1.2,i
Idaho,1.9,a,1,a,2.9,a,31,a,4.8,a,1.2,i
Illinois,25.3,a,33.5,a,58.9,a,436.2,a,3.1,a,12.2,i
Indiana,6.7,a,9.4,a,16.1,a,184.6,a,6.1,a,6,i
Iowa,2,a,4.5,a,6.5,a,84.5,a,0.8,a,2.9,i
Kansas,1.4,a,7.9,a,9.3,a,78.5,a,3.6,a,2.6,i
Kentucky,6.8,a,14.1,a,20.9,a,109.7,a,3.1,a,4,i
Louisiana,7.1,a,9.6,a,16.7,a,120.4,a,3.4,a,4.4,i
Maine,3.5,a,1.8,a,5.3,a,32.2,a,2.8,a,1.3,i
Maryland,10.5,a,12.8,a,23.3,a,170,a,4.8,a,5.2,i
Massachusetts,32.8,a,13.5,a,46.3,a,249.2,a,4,a,6.3,i
Michigan,16.1,a,22.8,a,39,a,312.6,a,2.3,a,9.8,i
Minnesota,5.3,a,21.5,a,26.9,a,166.3,a,5.2,a,4.8,i
Mississippi,2.7,a,4.9,a,7.6,a,61,a,2.6,a,2.8,i
Missouri,8.1,a,7.9,a,16,a,169.4,a,1.7,a,5.5,i
Montana,2.3,a,1.2,a,3.4,a,20.4,a,4.4,a,0.9,i
Nebraska,1.9,a,4.6,a,6.5,a,51.8,a,2.2,a,1.7,i
Nevada,2.9,a,8.4,a,11.3,a,65.3,a,5.1,a,1.8,i
New Hampshire,5.4,a,1.2,a,6.6,a,40.6,a,6.6,a,1.2,i
New Jersey,27.2,a,19.3,a,46.6,a,319.9,a,1.8,a,8.3,i
New Mexico,2.6,a,4,a,6.6,a,50.7,a,-0.5,a,1.8,i
New York,73.3,a,82.5,a,155.7,a,745.2,a,2,a,18.8,i
North Carolina,6.9,a,18.7,a,25.6,a,245.9,a,3.1,a,7.7,i
North Dakota,0.9,a,1.1,a,1.9,a,16.8,a,5.7,a,0.6,i
Ohio,14.2,a,19.8,a,33.9,a,361.6,a,3.4,a,11.3,i
Oklahoma,4,a,5.5,a,9.4,a,81.2,a,2.1,a,3.4,i
Oregon,5.7,a,7.7,a,13.4,a,105.1,a,4.8,a,3.3,i
Pennsylvania,16.4,a,45.5,a,61.9,a,372.7,a,2.6,a,12.2,i
Rhode Island,5.4,a,1.1,a,6.5,a,30.7,a,4.1,a,1,i
South Carolina,5.2,a,10,a,15.1,a,103.6,a,3.9,a,3.9,i
South Dakota,2.1,a,1,a,3,a,20.2,a,5.9,a,0.7,i
Tennessee,3.2,a,13.3,a,16.5,a,167.3,a,6.1,a,5.5,i
Texas,14.4,a,69.3,a,83.7,a,645.7,a,6.4,a,20,i
All states combined,483.1,a,800.4,a,"1,283.60",a,"9,062.80",a,4.5,a,274.6,i
Utah,3.4,a,9.4,a,12.8,a,62.3,a,6.2,a,2.1,i
Vermont,2.1,a,0.6,a,2.7,a,16.1,a,3.4,a,0.6,i
Virginia,10.8,a,18.2,a,29,a,233.1,a,5.2,a,6.9,i
Washington,10.3,a,24.7,a,35,a,210.2,a,6.4,a,5.7,i
West Virginia,3.4,a,3.5,a,6.9,a,40.1,a,1.6,a,1.8,i
Wisconsin,10.7,a,12.5,a,23.2,a,162.5,a,3.8,a,5.3,i
Wyoming,1,a,1.1,a,2.2,a,14.9,a,2.4,a,0.5,i
