State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,1,a,2.3,a,3.3,a,26.7,a,3.4,a,3.8,i
Alaska,0.9,a,1.4,a,2.3,a,7.5,a,-4.9,a,0.4,i
Arizona,0.1,a,2.8,a,2.9,a,19.6,a,8.8,a,2.4,i
Arkansas,0.1,a,1,a,1.2,a,15.2,a,4.3,a,2.2,i
California,6.7,a,14.2,a,21,a,229.6,a,9.5,a,22.5,i
Colorado,0.2,a,2.2,a,2.3,a,25.4,a,7.6,a,2.7,i
Connecticut,3.2,a,1.9,a,5.1,a,29.6,a,6.2,a,3.1,i
Delaware,0.7,a,0.4,a,1.2,a,6.1,a,4.2,a,0.6,i
District of Columbia,0,a,2.5,a,2.5,a,15.6,a,5.2,a,0.7,i
Florida,2,a,6,a,8,a,65.3,a,4.6,a,8.7,i
Georgia,1.3,a,3.3,a,4.6,a,40.8,a,5.4,a,5.2,i
Hawaii,1.5,a,0.3,a,1.8,a,9.4,a,4.3,a,0.9,i
Idaho,0.1,a,0.3,a,0.3,a,7.2,a,2.9,a,0.9,i
Illinois,4.1,a,7.7,a,11.7,a,115.1,a,3.4,a,11.3,i
Indiana,0.6,a,2.3,a,2.9,a,47.9,a,3,a,5.4,i
Iowa,0.1,a,1.4,a,1.5,a,27,a,4.1,a,2.9,i
Kansas,0.4,a,1.8,a,2.2,a,20.5,a,2,a,2.3,i
Kentucky,2,a,2.7,a,4.8,a,29.2,a,5.5,a,3.5,i
Louisiana,1.8,a,2.9,a,4.6,a,39.7,a,8.5,a,4,i
Maine,0.6,a,0.5,a,1.1,a,7.6,a,3.3,a,1.1,i
Maryland,3.1,a,3.3,a,6.3,a,35.6,a,2.6,a,4.1,i
Massachusetts,5.2,a,3.9,a,9.1,a,50.7,a,5,a,5.7,i
Michigan,2,a,6.9,a,8.8,a,89.3,a,6.8,a,9.1,i
Minnesota,1.2,a,3.8,a,5.1,a,36.8,a,5.6,a,4,i
Mississippi,0.8,a,1.1,a,1.9,a,16,a,3.2,a,2.4,i
Missouri,0.4,a,2.7,a,3.1,a,41.2,a,4.1,a,4.8,i
Montana,0.1,a,0.4,a,0.5,a,6.4,a,-0.9,a,0.8,i
Nebraska,0.1,a,3.1,a,3.1,a,13.9,a,0.2,a,1.5,i
Nevada,0.1,a,0.6,a,0.7,a,7.4,a,11.5,a,0.7,i
New Hampshire,0.4,a,0.4,a,0.7,a,6.3,a,7.6,a,0.9,i
New Jersey,4.1,a,5.4,a,9.4,a,65.8,a,2.5,a,7.3,i
New Mexico,0.2,a,0.7,a,0.9,a,10.1,a,2.8,a,1.2,i
New York,20,a,26.4,a,46.4,a,179.9,a,3.7,a,17.8,i
North Carolina,0.8,a,1.9,a,2.7,a,43.8,a,2,a,5.6,i
North Dakota,0.1,a,0.4,a,0.4,a,5.2,a,-2.3,a,0.6,i
Ohio,3.2,a,5.8,a,9,a,97,a,4.5,a,10.8,i
Oklahoma,0.9,a,1.3,a,2.3,a,24,a,8.6,a,2.9,i
Oregon,2.4,a,1.4,a,3.9,a,22,a,5.1,a,2.5,i
Pennsylvania,6.4,a,10.6,a,17,a,99,a,2.7,a,11.8,i
Rhode Island,0.6,a,0.5,a,1.1,a,7.2,a,4.5,a,0.9,i
South Carolina,1.3,a,1,a,2.4,a,20.1,a,4.1,a,3,i
South Dakota,0.2,a,0.1,a,0.4,a,5.1,a,3.7,a,0.7,i
Tennessee,1.2,a,3.5,a,4.7,a,33.6,a,3.5,a,4.4,i
Texas,2.1,a,12.1,a,14.2,a,130.4,a,7.9,a,13.2,i
All states combined,90,a,169,a,259,a,"2,081.80",a,4.6,a,219.3,i
Utah,0.1,a,0.5,a,0.7,a,10.4,a,5.1,a,1.3,i
Vermont,0.5,a,0.2,a,0.6,a,3.3,a,-2.2,a,0.5,i
Virginia,0.9,a,3.5,a,4.4,a,43.2,a,2.8,a,5.1,i
Washington,1.4,a,6.9,a,8.3,a,36.8,a,5.9,a,3.9,i
West Virginia,1.3,a,0.4,a,1.8,a,14.4,a,2.6,a,1.9,i
Wisconsin,1.7,a,2.3,a,4,a,40.7,a,3.4,a,4.6,i
Wyoming,0.1,a,0.4,a,0.5,a,5.5,a,10.5,a,0.4,i
