State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,0.5,a,1.1,a,1.6,a,9.8,a,6.5,a,3.4,i
Alaska,0.1,a,0.1,a,0.3,a,1.5,a,5.8,a,0.3,i
Arizona,0,a,0.7,a,0.8,a,5.5,a,6.9,a,1.6,i
Arkansas,0.1,a,0.5,a,0.6,a,4.9,a,6.5,a,1.9,i
California,4.2,a,8.3,a,12.5,a,84.6,a,5.2,a,18.1,i
Colorado,0.1,a,0.9,a,1,a,7.3,a,6.7,a,2,i
Connecticut,1.2,a,1,a,2.3,a,12.8,a,8.8,a,2.8,i
Delaware,0.3,a,0.3,a,0.6,a,2.5,a,4.4,a,0.5,i
District of Columbia,0,a,0.3,a,0.3,a,6.5,a,4,a,0.8,i
Florida,0.8,a,2.3,a,3.1,a,19.2,a,7,a,6,i
Georgia,0.6,a,1.2,a,1.8,a,13.8,a,7.3,a,4.3,i
Hawaii,0.3,a,0.2,a,0.5,a,3.1,a,6.2,a,0.7,i
Idaho,0,a,0.2,a,0.2,a,2.3,a,0.6,a,0.7,i
Illinois,1.2,a,4.1,a,5.2,a,50.4,a,6.7,a,10.7,i
Indiana,0.5,a,1,a,1.5,a,20,a,5.3,a,5,i
Iowa,0.1,a,0.5,a,0.6,a,10.2,a,7.9,a,2.8,i
Kansas,0.3,a,0.8,a,1,a,7.4,a,5.4,a,2.2,i
Kentucky,0.8,a,0.9,a,1.7,a,10.4,a,6.1,a,3.1,i
Louisiana,0.6,a,1.4,a,2.1,a,12.8,a,8.5,a,3.5,i
Maine,0.2,a,0.1,a,0.3,a,3,a,4,a,1,i
Maryland,0.8,a,1.6,a,2.4,a,13.6,a,7.6,a,3.6,i
Massachusetts,1.8,a,1.6,a,3.4,a,21.8,a,6.2,a,5.5,i
Michigan,0.9,a,3.2,a,4.2,a,39.3,a,3.2,a,8.4,i
Minnesota,0.3,a,1.5,a,1.8,a,13.7,a,7.2,a,3.6,i
Mississippi,0.3,a,0.6,a,0.9,a,5.3,a,5.1,a,2.2,i
Missouri,0.1,a,1.4,a,1.5,a,16.8,a,4.9,a,4.5,i
Montana,0.1,a,0.2,a,0.3,a,2.3,a,4.9,a,0.7,i
Nebraska,0.1,a,0.7,a,0.8,a,5.2,a,6.6,a,1.5,i
Nevada,0,a,0.3,a,0.3,a,2.1,a,2,a,0.4,i
New Hampshire,0.1,a,0.1,a,0.3,a,2.2,a,7.6,a,0.7,i
New Jersey,1,a,2.5,a,3.5,a,29,a,5.9,a,6.7,i
New Mexico,0.1,a,0.3,a,0.4,a,3.5,a,1.4,a,1,i
New York,4.6,a,13.2,a,17.7,a,86.6,a,4.8,a,17.6,i
North Carolina,0.3,a,1,a,1.2,a,16,a,6.8,a,4.9,i
North Dakota,0,a,0.2,a,0.2,a,1.8,a,-1.6,a,0.6,i
Ohio,1,a,3.5,a,4.5,a,42.7,a,6.2,a,10.3,i
Oklahoma,0.4,a,0.7,a,1.2,a,7.5,a,4.3,a,2.5,i
Oregon,0.5,a,0.5,a,0.9,a,7.3,a,5.1,a,2,i
Pennsylvania,2,a,4.8,a,6.8,a,44.1,a,5.8,a,11.6,i
Rhode Island,0.3,a,0.3,a,0.5,a,3.5,a,6.9,a,0.9,i
South Carolina,0.2,a,0.3,a,0.6,a,6.9,a,8.7,a,2.5,i
South Dakota,0,a,0.1,a,0.1,a,1.9,a,5.9,a,0.7,i
Tennessee,0.2,a,1.7,a,2,a,12,a,7.7,a,3.8,i
Texas,0.6,a,4.8,a,5.4,a,36.8,a,5.7,a,10.5,i
All states combined,29.6,a,77.5,a,107.1,a,813.4,a,6.6,a,193.3,i
Utah,0.1,a,0.4,a,0.5,a,3.4,a,3.4,a,1,i
Vermont,0.1,a,0.1,a,0.1,a,1.4,a,15.6,a,0.4,i
Virginia,0.3,a,1.4,a,1.7,a,14.9,a,6.1,a,4.4,i
Washington,0.6,a,3.1,a,3.6,a,14.3,a,12.6,a,3.2,i
West Virginia,0.4,a,0.2,a,0.6,a,5.6,a,4,a,1.8,i
Wisconsin,0.3,a,1.4,a,1.7,a,16.1,a,6.2,a,4.2,i
Wyoming,0,a,0.1,a,0.1,a,1.5,a,1.4,a,0.3,i
