State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,0.1,i,0.6,i,0.7,i,5.5,e,-0.8,e,3.2,i
Alaska,0,,0,,0,,0.8,e,-0.8,e,0.2,i
Arizona,0,i,0.3,i,0.4,i,3.4,e,-0.8,e,1.2,i
Arkansas,0.1,i,0.2,i,0.3,i,2.9,e,-0.8,e,1.8,i
California,1.4,i,3.8,i,5.2,i,51.2,e,-0.8,e,14.5,i
Colorado,0.1,i,0.5,i,0.6,i,4.5,e,-0.8,e,1.7,i
Connecticut,0.7,i,0.7,i,1.4,i,7.5,e,-0.8,e,2.4,i
Delaware,0.2,i,0.1,i,0.3,i,1.4,e,-0.8,e,0.4,i
District of Columbia,0,i,0.1,i,0.1,i,3.9,e,-0.8,e,0.8,i
Florida,0.2,i,1.2,i,1.4,i,11.1,e,-0.8,e,4.4,i
Georgia,0.3,i,0.7,i,1,i,7.8,e,-0.8,e,3.8,i
Hawaii,0,,0,,0,,1.8,e,-0.7,e,0.6,i
Idaho,0,i,0.1,i,0.1,i,1.4,e,-0.7,e,0.7,i
Illinois,0.7,i,2.7,i,3.4,i,29.8,e,-0.8,e,9.8,i
Indiana,0.4,i,0.5,i,0.9,i,11.8,e,-0.8,e,4.5,i
Iowa,0,i,0.3,i,0.3,i,6,e,-0.8,e,2.7,i
Kansas,0.2,i,0.5,i,0.7,i,4.6,e,-0.7,e,2.1,i
Kentucky,0.1,i,0.4,i,0.5,i,6.3,e,-0.8,e,3,i
Louisiana,0.3,i,0.9,i,1.2,i,7.3,e,-0.8,e,3.1,i
Maine,0.1,i,0.1,i,0.2,i,1.8,e,-0.8,e,1,i
Maryland,0.5,i,1,i,1.5,i,7.7,e,-0.8,e,2.9,i
Massachusetts,1.1,i,1.2,i,2.3,i,13.1,e,-0.8,e,5.1,i
Michigan,0.7,i,1.3,i,2,i,23,e,-0.8,e,7.5,i
Minnesota,0.1,i,0.8,i,0.9,i,8.1,e,-0.8,e,3.3,i
Mississippi,0.1,i,0.3,i,0.4,i,3.3,e,-0.8,e,2.2,i
Missouri,0,i,0.8,i,0.9,i,10.3,e,-0.8,e,4.2,i
Montana,0,i,0.1,i,0.2,i,1.5,e,-0.8,e,0.7,i
Nebraska,0,i,0.5,i,0.5,i,3.2,e,-0.7,e,1.4,i
Nevada,0,i,0.1,i,0.1,i,1.4,e,-0.8,e,0.3,i
New Hampshire,0.1,i,0.1,i,0.1,i,1.2,e,-0.8,e,0.6,i
New Jersey,0.9,i,1.5,i,2.4,i,17.7,e,-0.8,e,5.8,i
New Mexico,0,i,0.2,i,0.2,i,2.3,e,-0.7,e,0.9,i
New York,2.2,i,8.3,i,10.6,i,53.3,e,-0.8,e,16.4,i
North Carolina,0.3,i,0.6,i,0.9,i,9.5,e,-0.8,e,4.5,i
North Dakota,0,i,0.1,i,0.1,i,1.2,e,-0.8,e,0.6,i
Ohio,0.8,i,2.1,i,2.9,i,25.1,e,-0.8,e,9.3,i
Oklahoma,0.2,i,0.4,i,0.6,i,4.6,e,-0.7,e,2.3,i
Oregon,0.2,i,0.3,i,0.5,i,4.3,e,-0.7,e,1.7,i
Pennsylvania,1.2,i,2.3,i,3.5,i,26.1,e,-0.8,e,11.2,i
Rhode Island,0.1,i,0.2,i,0.3,i,2,e,-0.8,e,0.8,i
South Carolina,0.3,i,0.2,i,0.5,i,3.8,e,-0.8,e,2.3,i
South Dakota,0,i,0.1,i,0.1,i,1.2,e,-0.8,e,0.7,i
Tennessee,0.1,i,0.9,i,1.1,i,6.8,e,-0.8,e,3.5,i
Texas,0.2,i,2.8,i,3.1,i,22.1,e,-0.8,e,9.2,i
All states combined,15.4,a,42.8,a,58.2,a,481.2,a,-0.7,a,173.3,i
Utah,0,i,0.2,i,0.2,i,2.3,e,-0.7,e,0.8,i
Vermont,0,i,0,i,0.1,i,0.7,e,-0.8,e,0.4,i
Virginia,0.2,i,0.7,i,0.8,i,8.8,e,-0.8,e,3.8,i
Washington,0.4,i,1.4,i,1.7,i,8.4,e,-0.8,e,2.8,i
West Virginia,0.3,i,0.1,i,0.4,i,3.5,e,-0.7,e,1.9,i
Wisconsin,0,i,0.6,i,0.6,i,9.6,e,-0.8,e,3.8,i
Wyoming,0,i,0.1,i,0.1,i,1,e,-0.8,e,0.3,i
