State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,0.2,i,0.6,i,0.8,i,6,e,6.9,e,3.2,i
Alaska,0,i,0.1,i,0.1,i,0.9,e,7,e,0.2,i
Arizona,0,i,0.4,i,0.4,i,3.7,e,6.9,e,1.2,i
Arkansas,0.1,i,0.2,i,0.3,i,3.1,e,6.9,e,1.8,i
California,1.7,i,4.3,i,6,i,55.5,e,6.9,e,15.1,i
Colorado,0.1,i,0.5,i,0.6,i,4.8,e,6.9,e,1.7,i
Connecticut,0.8,i,0.7,i,1.5,i,8.1,e,6.9,e,2.5,i
Delaware,0.2,i,0.1,i,0.3,i,1.5,e,6.9,e,0.4,i
District of Columbia,0,i,0.1,i,0.1,i,4.2,e,6.9,e,0.8,i
Florida,0.3,i,1.3,i,1.5,i,12,e,6.9,e,4.7,i
Georgia,0.3,i,0.7,i,1,i,8.4,e,6.9,e,3.9,i
Hawaii,0,,0,,0,,1.9,e,6.9,e,0.6,i
Idaho,0,i,0.1,i,0.1,i,1.5,e,6.9,e,0.7,i
Illinois,0.7,i,3.2,i,4,i,32.3,e,6.9,e,9.9,i
Indiana,0.4,i,0.7,i,1.1,i,12.8,e,6.9,e,4.6,i
Iowa,0,i,0.3,i,0.4,i,6.5,e,6.9,e,2.7,i
Kansas,0.2,i,0.6,i,0.7,i,5,e,6.9,e,2.1,i
Kentucky,0.1,i,0.4,i,0.5,i,6.8,e,6.9,e,3,i
Louisiana,0.4,i,0.9,i,1.3,i,7.9,e,6.9,e,3.2,i
Maine,0.1,i,0.1,i,0.2,i,2,e,6.9,e,1,i
Maryland,0.6,i,1,i,1.6,i,8.4,e,6.9,e,3,i
Massachusetts,1.2,i,1.3,i,2.5,i,14.2,e,6.9,e,5.1,i
Michigan,0.8,i,1.5,i,2.3,i,24.9,e,6.9,e,7.7,i
Minnesota,0.2,i,0.9,i,1,i,8.8,e,6.9,e,3.4,i
Mississippi,0.1,i,0.3,i,0.5,i,3.6,e,6.9,e,2.2,i
Missouri,0.1,i,0.9,i,0.9,i,11.1,e,6.9,e,4.3,i
Montana,0,i,0.1,i,0.2,i,1.6,e,6.9,e,0.7,i
Nebraska,0,i,0.6,i,0.6,i,3.5,e,6.9,e,1.4,i
Nevada,0,i,0.1,i,0.1,i,1.5,e,6.9,e,0.3,i
New Hampshire,0.1,i,0.1,i,0.2,i,1.4,e,6.9,e,0.6,i
New Jersey,0.9,i,1.6,i,2.5,i,19.1,e,6.9,e,5.9,i
New Mexico,0.1,i,0.2,i,0.2,i,2.5,e,6.9,e,0.9,i
New York,2.6,i,9,i,11.6,i,57.8,e,6.9,e,16.6,i
North Carolina,0.3,i,0.6,i,0.9,i,10.3,e,6.9,e,4.5,i
North Dakota,0,i,0.1,i,0.1,i,1.3,e,6.9,e,0.6,i
Ohio,0.8,i,2.3,i,3.1,i,27.2,e,6.9,e,9.5,i
Oklahoma,0.2,i,0.4,i,0.6,i,5,e,6.9,e,2.3,i
Oregon,0.3,i,0.3,i,0.6,i,4.7,e,6.9,e,1.7,i
Pennsylvania,1.4,i,2.7,i,4.1,i,28.3,e,6.9,e,11.2,i
Rhode Island,0.1,i,0.2,i,0.3,i,2.2,e,7,e,0.9,i
South Carolina,0.3,i,0.2,i,0.5,i,4.1,e,6.9,e,2.4,i
South Dakota,0,i,0.1,i,0.1,i,1.3,e,6.9,e,0.7,i
Tennessee,0.1,i,1,i,1.1,i,7.4,e,6.9,e,3.5,i
Texas,0.3,i,3,i,3.3,i,23.9,e,6.9,e,9.4,i
All states combined,16.9,a,47.2,a,64.1,a,521.7,a,6.9,a,176.3,i
Utah,0,i,0.2,i,0.2,i,2.5,e,6.9,e,0.9,i
Vermont,0,i,0.1,i,0.1,i,0.8,e,6.9,e,0.4,i
Virginia,0.2,i,0.7,i,0.9,i,9.6,e,6.9,e,3.9,i
Washington,0.4,i,1.6,i,2,i,9.1,e,6.9,e,2.8,i
West Virginia,0.3,i,0.2,i,0.4,i,3.8,e,6.9,e,1.9,i
Wisconsin,0,i,0.7,i,0.7,i,10.4,e,6.9,e,3.9,i
Wyoming,0,i,0.1,i,0.1,i,1.1,e,6.9,e,0.3,i
