State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,9.1,a,20.6,a,29.7,a,181.4,a,1.5,a,4.8,e
Alaska,6.4,a,3.7,a,10.1,a,56.3,a,0.9,a,0.7,e
Arizona,14.2,a,36.1,a,50.3,a,257.9,a,2.2,a,6.5,e
Arkansas,3.7,a,9.8,a,13.6,a,106.1,a,2.2,a,2.9,e
California,149.7,a,271.1,a,420.7,a,"2,050.10",a,1.6,a,37.6,e
Colorado,16.3,a,35.3,a,51.6,a,264.4,a,1.5,a,5.1,e
Connecticut,30.5,a,10.9,a,41.5,a,236.5,a,-2.2,a,3.6,e
Delaware,5.8,a,2.5,a,8.3,a,60.4,a,3.3,a,0.9,e
District of Columbia,0,a,11.3,a,11.3,a,110.1,a,1.9,a,0.6,e
Florida,43.5,a,108.6,a,152,a,746.8,a,-0.3,a,19.1,e
Georgia,13.4,a,40.9,a,54.3,a,429.6,a,1.6,a,9.8,e
Hawaii,7.9,a,5.5,a,13.4,a,70.5,a,1.5,a,1.4,e
Idaho,3.9,a,2.2,a,6.2,a,56.5,a,-0.2,a,1.6,e
Illinois,64.8,a,80.6,a,145.4,a,688.3,a,1.7,a,12.9,e
Indiana,22.1,a,27.5,a,49.7,a,288.7,a,0.5,a,6.5,e
Iowa,7.6,a,10.8,a,18.4,a,147.2,a,1.1,a,3.1,e
Kansas,6.9,a,20.2,a,27.1,a,135.3,a,2.7,a,2.9,e
Kentucky,14.8,a,27.7,a,42.4,a,169.9,a,1.2,a,4.4,e
Louisiana,18.4,a,20.4,a,38.8,a,229,a,-5.4,a,4.6,e
Maine,5.9,a,3.1,a,9,a,51.9,a,-1.3,a,1.3,e
Maryland,25.3,a,19.4,a,44.6,a,328.1,a,2.2,a,5.8,e
Massachusetts,79.9,a,18.3,a,98.2,a,425.6,a,2.4,a,6.6,e
Michigan,31,a,42.9,a,73.9,a,401.1,a,2.6,a,9.9,e
Minnesota,12.9,a,33.9,a,46.8,a,283.8,a,2,a,5.3,e
Mississippi,6.8,a,7.4,a,14.2,a,96.4,a,-1.3,a,3,e
Missouri,20.7,a,25.6,a,46.3,a,260.1,a,-1.1,a,6,e
Montana,4,a,1.7,a,5.7,a,40.6,a,2.3,a,1,e
Nebraska,2.3,a,12.6,a,14.9,a,99.6,a,4.6,a,1.8,e
Nevada,4.2,a,24.1,a,28.3,a,126.7,a,0.7,a,2.7,e
New Hampshire,8.5,a,2.8,a,11.2,a,65.4,a,0.6,a,1.3,e
New Jersey,64,a,38.3,a,102.3,a,499.1,a,-1.1,a,8.8,e
New Mexico,8.1,a,9.3,a,17.4,a,86.6,a,0.2,a,2.1,e
New York,134.9,a,199.7,a,334.7,a,"1,236.10",a,0,a,19.5,e
North Carolina,18.6,a,32.8,a,51.3,a,427.2,a,1.3,a,9.7,e
North Dakota,2.1,a,2.4,a,4.4,a,41.2,a,11.3,a,0.7,e
Ohio,32.2,a,46.9,a,79.1,a,525.4,a,3.4,a,11.5,e
Oklahoma,10.3,a,9.1,a,19.3,a,165,a,3.7,a,3.8,e
Oregon,14.3,a,20.8,a,35.1,a,170.6,a,2.9,a,3.9,e
Pennsylvania,45.3,a,79.6,a,124.9,a,619,a,1.4,a,12.7,e
Rhode Island,9.2,a,2.8,a,11.9,a,50.2,a,-0.4,a,1.1,e
South Carolina,15.3,a,25.8,a,41.1,a,170.1,a,2.3,a,4.7,e
South Dakota,3.5,a,2.2,a,5.7,a,41.5,a,6.6,a,0.8,e
Tennessee,5.9,a,31.4,a,37.3,a,267.7,a,3,a,6.4,e
Texas,38.5,a,222,a,260.6,a,"1,331.20",a,3.2,a,25.6,e
All states combined,"1,139.70",a,"1,783.50",a,"2,923.10",a,"15,542.60",a,1.6,a,311.6,e
Utah,7.2,a,12.9,a,20.1,a,124.5,a,3,a,2.8,e
Vermont,3.5,a,1.1,a,4.6,a,28.1,a,2.2,a,0.6,e
Virginia,26.5,a,37.4,a,63.9,a,432.4,a,1,a,8.1,e
Washington,28.2,a,45.9,a,74.1,a,379.5,a,1.7,a,6.8,e
West Virginia,7.4,a,3.6,a,11,a,68.5,a,1.8,a,1.9,e
Wisconsin,22.9,a,21.3,a,44.2,a,263.9,a,2.1,a,5.7,e
Wyoming,1.4,a,1,a,2.3,a,39.4,a,-1,a,0.6,e
