State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,8.5,a,18.5,a,27,a,172.7,a,-0.3,a,4.7,i
Alaska,6.5,a,3.5,a,10,a,54.8,a,-0.4,a,0.7,i
Arizona,10.5,a,33,a,43.5,a,259.4,a,-2.6,a,6.5,i
Arkansas,4.4,a,8.6,a,13,a,99,a,-0.3,a,2.9,i
California,121.9,a,219.1,a,341,a,"1,990.70",a,0.4,a,36.6,i
Colorado,15.9,a,31.8,a,47.7,a,255.6,a,1.2,a,4.9,i
Connecticut,27.6,a,9.1,a,36.6,a,240.9,a,-0.5,a,3.5,i
Delaware,5.7,a,2.2,a,7.9,a,54.8,a,-4.2,a,0.9,i
District of Columbia,0,a,9.6,a,9.6,a,99.5,a,3.7,a,0.6,i
Florida,44.1,a,102.4,a,146.5,a,750.5,a,-3.9,a,18.4,i
Georgia,12,a,37.5,a,49.5,a,412.9,a,-2.1,a,9.7,i
Hawaii,6.3,a,4.4,a,10.7,a,66.9,a,0.7,a,1.3,i
Idaho,3.4,a,2.3,a,5.7,a,55.5,a,1.7,a,1.5,i
Illinois,58.4,a,65.5,a,123.9,a,646.4,a,-1.9,a,12.8,i
Indiana,19.9,a,26.5,a,46.4,a,272.8,a,-0.4,a,6.4,i
Iowa,7.2,a,8.2,a,15.5,a,136.6,a,-2,a,3,i
Kansas,5.8,a,19.6,a,25.4,a,127.7,a,2.2,a,2.8,i
Kentucky,12.2,a,24.9,a,37.1,a,158.1,a,0.2,a,4.3,i
Louisiana,16.4,a,16.8,a,33.2,a,215.1,a,0.3,a,4.5,i
Maine,5.3,a,2.7,a,8,a,50,a,-0.1,a,1.3,i
Maryland,23.1,a,17.4,a,40.5,a,296.4,a,1.2,a,5.7,i
Massachusetts,71.9,a,20.8,a,92.7,a,388.6,a,1.1,a,6.5,i
Michigan,30,a,46.2,a,76.2,a,386.1,a,-5.5,a,10,i
Minnesota,9.5,a,32.1,a,41.7,a,264.7,a,0.9,a,5.2,i
Mississippi,6.3,a,7,a,13.3,a,96.8,a,4.2,a,2.9,i
Missouri,19.7,a,21.6,a,41.3,a,250.6,a,2.4,a,6,i
Montana,4.9,a,1.6,a,6.5,a,36.9,a,-0.5,a,1,i
Nebraska,2.7,a,10.8,a,13.5,a,85.2,a,0.2,a,1.8,i
Nevada,4.2,a,20.6,a,24.9,a,129.4,a,-3.8,a,2.6,i
New Hampshire,7.9,a,2.7,a,10.6,a,60.9,a,-1,a,1.3,i
New Jersey,52.8,a,35.2,a,88,a,495.1,a,1.2,a,8.7,i
New Mexico,7.8,a,6.4,a,14.2,a,83.7,a,-0.6,a,2,i
New York,114.2,a,158.9,a,273.2,a,"1,099.20",a,-2.3,a,19.5,i
North Carolina,19.6,a,31.7,a,51.3,a,413.4,a,2.4,a,9.2,i
North Dakota,2,a,2.1,a,4,a,31.7,a,7.9,a,0.6,i
Ohio,27.3,a,42.6,a,69.9,a,495.7,a,-0.8,a,11.5,i
Oklahoma,9.1,a,7.9,a,17,a,159.7,a,3.8,a,3.6,i
Oregon,11.6,a,18.5,a,30.1,a,165.2,a,1.7,a,3.8,i
Pennsylvania,40.1,a,79.2,a,119.3,a,582.2,a,1.9,a,12.6,i
Rhode Island,8.9,a,2.6,a,11.5,a,47.1,a,-3.1,a,1.1,i
South Carolina,15.2,a,19.7,a,34.9,a,161.8,a,-0.3,a,4.5,i
South Dakota,3.4,a,1.9,a,5.4,a,36.7,a,4.2,a,0.8,i
Tennessee,4.4,a,31.2,a,35.5,a,251.6,a,1.2,a,6.2,i
Texas,33.6,a,182.8,a,216.4,a,"1,237.40",a,0.1,a,24.3,i
All states combined,"1,006.40",a,"1,558.00",a,"2,564.40",a,"14,712.80",a,-0.1,a,304.4,i
Utah,5.9,a,10.9,a,16.8,a,116,a,-0.8,a,2.7,i
Vermont,3.4,a,1.3,a,4.7,a,25.7,a,2.4,a,0.6,i
Virginia,21.3,a,32.9,a,54.2,a,399,a,-0.3,a,7.8,i
Washington,23.5,a,41.1,a,64.6,a,355.7,a,1.1,a,6.6,i
West Virginia,6.4,a,3.4,a,9.8,a,62.1,a,2.1,a,1.8,i
Wisconsin,22.1,a,20,a,42.1,a,244.8,a,-1.2,a,5.6,i
Wyoming,1.3,a,1,a,2.3,a,42.5,a,5.7,a,0.5,i
