State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,4.1,a,5.8,a,9.9,a,68.4,a,-0.3,a,4,i
Alaska,5.6,a,4.9,a,10.5,a,23.5,a,6.1,a,0.5,i
Arizona,2.1,a,14.8,a,16.9,a,67.9,a,0.6,a,3.6,i
Arkansas,1.8,a,2.9,a,4.7,a,37.1,a,2.1,a,2.3,i
California,26.2,a,56,a,82.2,a,723,a,3.6,a,29.1,i
Colorado,2.2,a,10.1,a,12.3,a,71.2,a,1.1,a,3.3,i
Connecticut,9.6,a,3.2,a,12.8,a,95.8,a,1.7,a,3.3,i
Delaware,2.8,a,0.9,a,3.7,a,18.9,a,7.7,a,0.7,i
District of Columbia,0,a,4,a,4,a,37.5,a,2.4,a,0.6,i
Florida,9,a,39.1,a,48.1,a,241.6,a,3.4,a,12.6,i
Georgia,3,a,14.1,a,17.1,a,133.8,a,1.7,a,6.4,i
Hawaii,3.1,a,0.8,a,3.9,a,29.4,a,5.7,a,1.1,i
Idaho,0.8,a,0.5,a,1.4,a,16.9,a,6.5,a,1,i
Illinois,14.2,a,15.6,a,29.8,a,266.6,a,1.7,a,11.4,i
Indiana,3.6,a,6.1,a,9.6,a,107.2,a,3.7,a,5.5,i
Iowa,1.6,a,3.4,a,5.1,a,52.9,a,3.7,a,2.8,i
Kansas,0.3,a,6.6,a,7,a,48.8,a,0.6,a,2.5,i
Kentucky,5.1,a,7.9,a,13,a,65.5,a,1.9,a,3.7,i
Louisiana,12.2,a,8.8,a,20.9,a,87.6,a,1.3,a,4.2,i
Maine,2,a,1.2,a,3.2,a,22.7,a,2.1,a,1.2,i
Maryland,5.8,a,8.9,a,14.8,a,107.4,a,2.1,a,4.7,i
Massachusetts,16.2,a,7.7,a,24,a,158.2,a,0.4,a,6,i
Michigan,8.2,a,11.8,a,20,a,190.6,a,1.6,a,9.3,i
Minnesota,3.6,a,14.1,a,17.7,a,98.3,a,2.9,a,4.3,i
Mississippi,1.3,a,3.6,a,4.9,a,37.2,a,0.8,a,2.6,i
Missouri,4.9,a,4.9,a,9.8,a,101.4,a,1.9,a,5.1,i
Montana,1.3,a,1.1,a,2.5,a,12.6,a,3.9,a,0.8,i
Nebraska,1.4,a,4.6,a,6.1,a,31.3,a,3,a,1.6,i
Nevada,1.4,a,2.8,a,4.2,a,27.8,a,7.2,a,1.2,i
New Hampshire,2.9,a,0.8,a,3.8,a,23.8,a,-0.2,a,1.1,i
New Jersey,17.4,a,13.6,a,30.9,a,205.1,a,1.3,a,7.7,i
New Mexico,1.9,a,3.1,a,5,a,24.9,a,2.3,a,1.5,i
New York,43.3,a,43.7,a,87,a,473.3,a,-0.3,a,17.9,i
North Carolina,3,a,12,a,14.9,a,133.9,a,3.6,a,6.5,i
North Dakota,0.9,a,1,a,1.9,a,10.7,a,5.9,a,0.6,i
Ohio,10.5,a,11.6,a,22.1,a,217.8,a,2.1,a,10.8,i
Oklahoma,3.6,a,4.5,a,8,a,55,a,0.5,a,3.1,i
Oregon,6.7,a,3.5,a,10.2,a,52.6,a,3,a,2.8,i
Pennsylvania,10.5,a,29.7,a,40.2,a,233.2,a,1.7,a,11.9,i
Rhode Island,3.3,a,0.7,a,4,a,21.1,a,2.7,a,1,i
South Carolina,3.8,a,5.5,a,9.3,a,61.3,a,3,a,3.4,i
South Dakota,1.9,a,0.5,a,2.3,a,11.8,a,1.5,a,0.7,i
Tennessee,2.6,a,9.1,a,11.7,a,91.6,a,0.9,a,4.8,i
Texas,6.7,a,54.3,a,61,a,350,a,2.9,a,16.7,i
All states combined,296,i,503,i,799,i,"5,641.60",a,3.7,a,246.4,i
Utah,1.7,a,8.1,a,9.8,a,28.7,a,1,a,1.7,i
Vermont,1.1,a,0.4,a,1.5,a,11.1,a,4.3,a,0.6,i
Virginia,5.5,a,8.6,a,14.1,a,137.7,a,3.4,a,6.1,i
Washington,5.4,a,16.6,a,22,a,108.1,a,5,a,4.8,i
West Virginia,2.5,a,3.1,a,5.6,a,26.7,a,-0.8,a,1.8,i
Wisconsin,5.9,a,5.4,a,11.3,a,95.2,a,2.2,a,4.9,i
Wyoming,0.9,a,1.4,a,2.3,a,11.4,a,0.1,a,0.5,i
