State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,1.1,a,2.9,a,3.9,a,33.7,a,1.9,a,3.8,i
Alaska,1.4,a,2.4,a,3.7,a,10.9,a,10.2,a,0.4,i
Arizona,0.1,a,3.3,a,3.4,a,27.5,a,9.1,a,2.6,i
Arkansas,0.2,a,1.1,a,1.4,a,19.1,a,0.9,a,2.2,i
California,7.7,a,14.7,a,22.3,a,293.5,a,3.1,a,23.3,i
Colorado,0.4,a,2.6,a,3,a,33.8,a,6.1,a,2.8,i
Connecticut,3.6,a,1.9,a,5.5,a,36.9,a,2.4,a,3.1,i
Delaware,0.9,a,0.4,a,1.3,a,7.3,a,0,a,0.6,i
District of Columbia,0,a,2.7,a,2.7,a,18.4,a,0.3,a,0.6,i
Florida,2.7,a,7.1,a,9.8,a,86.3,a,5.3,a,9.4,i
Georgia,1.4,a,4.4,a,5.7,a,51.6,a,3.1,a,5.4,i
Hawaii,1.7,a,0.3,a,2,a,11.9,a,4.3,a,0.9,i
Idaho,0.2,a,0.3,a,0.5,a,9.3,a,1.5,a,0.9,i
Illinois,5.7,a,7.9,a,13.6,a,139.3,a,0.4,a,11.4,i
Indiana,0.6,a,2.9,a,3.5,a,57.9,a,-0.5,a,5.5,i
Iowa,0.4,a,1.5,a,1.9,a,33.5,a,0.5,a,2.9,i
Kansas,0.5,a,2.2,a,2.6,a,26.3,a,6.4,a,2.4,i
Kentucky,2.8,a,4,a,6.8,a,35.8,a,1.3,a,3.6,i
Louisiana,2.6,a,3.4,a,6,a,51.7,a,5.5,a,4.1,i
Maine,0.7,a,0.6,a,1.3,a,9.3,a,2,a,1.1,i
Maryland,3.7,a,3.6,a,7.3,a,43.6,a,1.9,a,4.2,i
Massachusetts,5.4,a,4.4,a,9.8,a,63,a,2.2,a,5.7,i
Michigan,2.5,a,7.7,a,10.2,a,105.4,a,-2,a,9.2,i
Minnesota,1.9,a,4.4,a,6.3,a,46.9,a,3.9,a,4,i
Mississippi,0.8,a,1.2,a,2,a,20,a,4.1,a,2.5,i
Missouri,0.7,a,2.7,a,3.4,a,50.6,a,1.2,a,4.9,i
Montana,0.1,a,0.5,a,0.7,a,8.2,a,1.4,a,0.8,i
Nebraska,0.1,a,4.2,a,4.3,a,17.4,a,1.5,a,1.6,i
Nevada,0.4,a,0.6,a,1,a,10.3,a,6.4,a,0.8,i
New Hampshire,0.7,a,0.4,a,1.1,a,8.4,a,4.4,a,0.9,i
New Jersey,5.4,a,5.8,a,11.2,a,81.1,a,2.6,a,7.3,i
New Mexico,0.5,a,1.1,a,1.6,a,13.1,a,5.2,a,1.3,i
New York,23,a,23.7,a,46.7,a,217.7,a,0.5,a,17.6,i
North Carolina,1.1,a,2.4,a,3.5,a,54.5,a,0.9,a,5.8,i
North Dakota,0.1,a,0.5,a,0.6,a,7.2,a,3.9,a,0.6,i
Ohio,3.7,a,6.1,a,9.8,a,117.1,a,0.6,a,10.8,i
Oklahoma,1.5,a,1.6,a,3.1,a,31.5,a,7.5,a,3,i
Oregon,3.8,a,1.8,a,5.7,a,28.4,a,3.2,a,2.6,i
Pennsylvania,6.4,a,13.4,a,19.8,a,120.5,a,1.1,a,11.9,i
Rhode Island,1.2,a,0.5,a,1.7,a,8.8,a,2.4,a,0.9,i
South Carolina,1.6,a,1.3,a,2.9,a,25.5,a,2.5,a,3.1,i
South Dakota,0.6,a,0.3,a,0.9,a,6.7,a,3.9,a,0.7,i
Tennessee,1.4,a,3.7,a,5.1,a,42.2,a,2,a,4.5,i
Texas,2.3,a,15.4,a,17.7,a,171.6,a,6.3,a,13.9,i
All states combined,112,a,192,a,304,a,"2,627.30",a,3.2,a,224.1,i
Utah,0.4,a,0.8,a,1.2,a,13.7,a,5.5,a,1.4,i
Vermont,0.5,a,0.1,a,0.7,a,4.4,a,3,a,0.5,i
Virginia,1.7,a,3.7,a,5.3,a,53.4,a,1.9,a,5.3,i
Washington,1.5,a,9,a,10.5,a,48.7,a,5.4,a,4.1,i
West Virginia,1.6,a,1.2,a,2.8,a,17.4,a,0.8,a,1.9,i
Wisconsin,2.2,a,3,a,5.2,a,50.1,a,1.9,a,4.7,i
Wyoming,0.2,a,0.6,a,0.8,a,8.1,a,11.3,a,0.5,i
