State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,1,a,2.7,a,3.7,a,30.5,a,6.8,a,3.8,i
Alaska,1.1,a,2.1,a,3.2,a,9.1,a,13.1,a,0.4,i
Arizona,0.1,a,3.4,a,3.5,a,23.3,a,10.9,a,2.5,i
Arkansas,0.2,a,1.1,a,1.3,a,17.5,a,7.5,a,2.2,i
California,7.1,a,13.5,a,20.6,a,262.8,a,6.9,a,22.9,i
Colorado,0.3,a,2.2,a,2.5,a,29.4,a,8,a,2.7,i
Connecticut,3.3,a,1.9,a,5.2,a,33.2,a,4.9,a,3.1,i
Delaware,0.8,a,0.4,a,1.2,a,6.7,a,4.1,a,0.6,i
District of Columbia,0,a,2.6,a,2.6,a,17,a,1.7,a,0.7,i
Florida,2.3,a,6.9,a,9.3,a,75.7,a,8.3,a,9.1,i
Georgia,1.3,a,3.9,a,5.2,a,46.2,a,5.7,a,5.3,i
Hawaii,1.7,a,0.4,a,2.1,a,10.5,a,4,a,0.9,i
Idaho,0.1,a,0.2,a,0.4,a,8.5,a,9.6,a,0.9,i
Illinois,5.1,a,7.7,a,12.8,a,128.1,a,4,a,11.4,i
Indiana,0.6,a,2.5,a,3.1,a,53.7,a,4.8,a,5.4,i
Iowa,0.2,a,1.3,a,1.5,a,30.8,a,6.4,a,2.9,i
Kansas,0.4,a,2.5,a,2.9,a,22.8,a,3.8,a,2.3,i
Kentucky,2.6,a,2.7,a,5.3,a,32.7,a,4.7,a,3.6,i
Louisiana,2,a,3.2,a,5.2,a,45.2,a,6.5,a,4.1,i
Maine,0.7,a,0.5,a,1.2,a,8.4,a,3.2,a,1.1,i
Maryland,3.8,a,3.6,a,7.4,a,39.5,a,3.9,a,4.2,i
Massachusetts,5.1,a,3.8,a,8.9,a,56.9,a,4.8,a,5.7,i
Michigan,2.2,a,7.2,a,9.3,a,99.3,a,3.9,a,9.2,i
Minnesota,1.8,a,3.8,a,5.5,a,41.6,a,5.6,a,4,i
Mississippi,1.3,a,1,a,2.3,a,17.8,a,4,a,2.5,i
Missouri,0.6,a,2.7,a,3.3,a,46.2,a,4.8,a,4.9,i
Montana,0.1,a,0.5,a,0.6,a,7.4,a,9.5,a,0.8,i
Nebraska,0.1,a,3.7,a,3.7,a,15.9,a,6.7,a,1.6,i
Nevada,0.2,a,0.6,a,0.9,a,8.9,a,12.5,a,0.7,i
New Hampshire,0.4,a,0.4,a,0.8,a,7.4,a,9.6,a,0.9,i
New Jersey,4.7,a,5.2,a,9.9,a,72.9,a,3.5,a,7.3,i
New Mexico,0.3,a,0.9,a,1.3,a,11.5,a,6.7,a,1.2,i
New York,22.4,a,26.2,a,48.6,a,200.1,a,3.9,a,17.7,i
North Carolina,0.8,a,2,a,2.7,a,49.9,a,6.3,a,5.7,i
North Dakota,0.1,a,0.6,a,0.7,a,6.4,a,14.3,a,0.6,i
Ohio,3.4,a,5.9,a,9.3,a,107.6,a,3.6,a,10.8,i
Oklahoma,1.1,a,1.5,a,2.6,a,27.1,a,5.4,a,2.9,i
Oregon,3.1,a,1.7,a,4.8,a,25.4,a,7.6,a,2.5,i
Pennsylvania,6.5,a,9.7,a,16.2,a,110.1,a,3.8,a,11.9,i
Rhode Island,0.9,a,0.5,a,1.4,a,8,a,2.8,a,0.9,i
South Carolina,1.8,a,1.4,a,3.2,a,23,a,6.8,a,3,i
South Dakota,0.4,a,0.3,a,0.6,a,6,a,9,a,0.7,i
Tennessee,1.4,a,3.9,a,5.3,a,38.2,a,6.2,a,4.4,i
Texas,2.1,a,13.2,a,15.4,a,149.1,a,6.8,a,13.6,i
All states combined,103,a,178,a,281,a,"2,351.60",a,5.5,a,221.7,i
Utah,0.3,a,0.6,a,0.9,a,12,a,8,a,1.4,i
Vermont,0.5,a,0.2,a,0.6,a,3.9,a,10,a,0.5,i
Virginia,1.3,a,3.2,a,4.5,a,48.4,a,4.6,a,5.2,i
Washington,1.4,a,8.4,a,9.8,a,42.7,a,8.2,a,4,i
West Virginia,1.4,a,0.6,a,2,a,16,a,3.3,a,1.9,i
Wisconsin,2,a,2.4,a,4.3,a,45.4,a,4.3,a,4.6,i
Wyoming,0.1,a,0.5,a,0.6,a,6.7,a,12.8,a,0.4,i
