State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,0.9,a,1.9,a,2.8,a,21.3,a,0.4,a,3.7,i
Alaska,0.7,a,0.5,a,1.2,a,6.2,a,42.3,a,0.3,i
Arizona,0.1,a,2,a,2.1,a,15.3,a,-4.3,a,2.2,i
Arkansas,0.1,a,1,a,1.1,a,11.9,a,0.6,a,2.1,i
California,6.5,a,13.6,a,20.1,a,178.4,a,0.9,a,21.7,i
Colorado,0.1,a,1.8,a,1.9,a,20.2,a,3.4,a,2.5,i
Connecticut,2.9,a,1.9,a,4.8,a,24,a,-2.5,a,3.1,i
Delaware,0.6,a,0.4,a,1,a,5,a,-2.9,a,0.6,i
District of Columbia,0,a,2.3,a,2.3,a,12.7,a,1.8,a,0.7,i
Florida,1.6,a,5,a,6.6,a,55.3,a,-2.9,a,8.1,i
Georgia,1.1,a,2.6,a,3.8,a,32,a,-3.6,a,5,i
Hawaii,1.2,a,0.3,a,1.5,a,8.2,a,4.7,a,0.9,i
Idaho,0,a,0.2,a,0.3,a,5.8,a,3,a,0.8,i
Illinois,2.8,a,6.8,a,9.6,a,95.9,a,-0.4,a,11.3,i
Indiana,0.6,a,2,a,2.7,a,37.7,a,-3.2,a,5.3,i
Iowa,0.1,a,1.2,a,1.3,a,22,a,4.1,a,2.9,i
Kansas,0.3,a,1.5,a,1.8,a,16.9,a,2.4,a,2.3,i
Kentucky,2,a,1.9,a,3.9,a,22.8,a,-1.4,a,3.4,i
Louisiana,1.2,a,2.8,a,4,a,30.7,a,4.4,a,3.9,i
Maine,0.5,a,0.3,a,0.8,a,6,a,-2.1,a,1.1,i
Maryland,2.1,a,3,a,5.1,a,29.6,a,-1.1,a,4.1,i
Massachusetts,3.9,a,3.8,a,7.7,a,41.9,a,-2.4,a,5.7,i
Michigan,1.7,a,6.8,a,8.5,a,67,a,-2.7,a,9.1,i
Minnesota,0.9,a,3.3,a,4.2,a,29.7,a,-1.9,a,3.9,i
Mississippi,0.6,a,0.9,a,1.5,a,12.3,a,-0.3,a,2.4,i
Missouri,0.3,a,2.5,a,2.8,a,33,a,-0.9,a,4.8,i
Montana,0.1,a,0.3,a,0.4,a,5.2,a,2.5,a,0.7,i
Nebraska,0.1,a,2.3,a,2.3,a,11.9,a,4.1,a,1.5,i
Nevada,0.1,a,0.5,a,0.6,a,5.5,a,1.9,a,0.6,i
New Hampshire,0.2,a,0.4,a,0.6,a,4.8,a,-0.9,a,0.8,i
New Jersey,3.9,a,5,a,8.8,a,56.1,a,-3.2,a,7.3,i
New Mexico,0.2,a,0.5,a,0.6,a,8.1,a,4.1,a,1.2,i
New York,14.6,a,25.1,a,39.8,a,155.3,a,-2.3,a,17.9,i
North Carolina,0.6,a,1.7,a,2.3,a,36,a,-2,a,5.5,i
North Dakota,0.1,a,0.2,a,0.3,a,4.9,a,-1.1,a,0.6,i
Ohio,2.7,a,5.5,a,8.1,a,78.1,a,-3.6,a,10.7,i
Oklahoma,0.9,a,1.3,a,2.3,a,18.2,a,2.6,a,2.8,i
Oregon,1.7,a,1.2,a,2.9,a,16.8,a,-0.2,a,2.3,i
Pennsylvania,5.4,a,9.3,a,14.6,a,84.1,a,-1.6,a,11.8,i
Rhode Island,0.5,a,0.5,a,0.9,a,6,a,-1.9,a,0.9,i
South Carolina,0.9,a,1,a,1.9,a,16,a,-4.2,a,2.8,i
South Dakota,0.1,a,0.1,a,0.2,a,4.4,a,1.5,a,0.7,i
Tennessee,0.8,a,3,a,3.8,a,26.6,a,-2.9,a,4.2,i
Texas,1.9,a,9.3,a,11.2,a,98.8,a,5.9,a,12.6,i
All states combined,72,a,148,a,220,a,"1,684.90",a,-0.2,a,214.6,i
Utah,0.1,a,0.5,a,0.5,a,8.2,a,2,a,1.2,i
Vermont,0.5,a,0.2,a,0.6,a,2.8,a,-0.3,a,0.5,i
Virginia,0.7,a,3,a,3.7,a,35.1,a,-1,a,5,i
Washington,1.3,a,5.1,a,6.4,a,29.3,a,2.1,a,3.8,i
West Virginia,1.1,a,0.5,a,1.6,a,12,a,2.6,a,1.8,i
Wisconsin,1,a,2.1,a,3.2,a,32.3,a,3,a,4.6,i
Wyoming,0.1,a,0.3,a,0.4,a,4,a,5,a,0.4,i
