State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,8.8,a,20.2,a,29,a,174.8,a,2.4,a,4.8,a
Alaska,6.4,a,3.7,a,10.1,a,52.9,a,-3,a,0.7,a
Arizona,14,a,35,a,49,a,248.2,a,0.9,a,6.4,a
Arkansas,4.2,a,9.5,a,13.7,a,101.7,a,3.3,a,2.9,a
California,148.9,a,256.7,a,405.7,a,"1,974.60",a,1.6,a,37.3,a
Colorado,16.7,a,33.7,a,50.4,a,255.1,a,0.9,a,5,a
Connecticut,30.4,a,10.7,a,41.1,a,237.7,a,-0.2,a,3.6,a
Delaware,5.5,a,2.3,a,7.8,a,57.4,a,-0.6,a,0.9,a
District of Columbia,0,a,10.3,a,10.3,a,106.1,a,3.4,a,0.6,a
Florida,41.3,a,109.5,a,150.9,a,737.8,a,1,a,18.8,a
Georgia,13.8,a,38.7,a,52.5,a,416.9,a,1.6,a,9.7,a
Hawaii,7.7,a,4.9,a,12.6,a,68.2,a,2.8,a,1.4,a
Idaho,3.9,a,2.3,a,6.1,a,55.2,a,1.4,a,1.6,a
Illinois,61.4,a,74.8,a,136.1,a,662.6,a,1.8,a,12.8,a
Indiana,23.6,a,27.5,a,51.2,a,280.1,a,6.4,a,6.5,a
Iowa,7.4,a,9.8,a,17.2,a,141.5,a,2.7,a,3.1,a
Kansas,6.5,a,21.3,a,27.8,a,127.7,a,1.3,a,2.9,a
Kentucky,14.4,a,27.5,a,41.9,a,164.6,a,4.3,a,4.3,a
Louisiana,17.5,a,18.2,a,35.7,a,225.7,a,3.6,a,4.5,a
Maine,6,a,2.9,a,8.9,a,51.7,a,1.3,a,1.3,a
Maryland,24.5,a,18.1,a,42.5,a,316.5,a,3.9,a,5.8,a
Massachusetts,73.9,a,23.5,a,97.4,a,409.8,a,4,a,6.6,a
Michigan,32.1,a,45.2,a,77.3,a,386.6,a,5.5,a,9.9,a
Minnesota,11.6,a,33.7,a,45.3,a,271.8,a,3.4,a,5.3,a
Mississippi,6.5,a,7.4,a,13.9,a,95.2,a,0.5,a,3,a
Missouri,20.4,a,24.2,a,44.6,a,258.5,a,1.7,a,6,a
Montana,4.2,a,1.6,a,5.7,a,38.1,a,3.1,a,1,a
Nebraska,2.4,a,11.9,a,14.3,a,91.8,a,4,a,1.8,a
Nevada,4.4,a,24.2,a,28.7,a,123.6,a,1.2,a,2.7,a
New Hampshire,8.3,a,2.6,a,11,a,64.2,a,3.1,a,1.3,a
New Jersey,61,a,37.1,a,98.1,a,495.1,a,1.1,a,8.8,a
New Mexico,8.7,a,9,a,17.7,a,84,a,-0.8,a,2.1,a
New York,129.5,a,186.5,a,316.1,a,"1,214.00",a,3.8,a,19.4,a
North Carolina,18.9,a,33.4,a,52.2,a,415.2,a,1.5,a,9.6,a
North Dakota,2.2,a,2.3,a,4.5,a,35.4,a,7.6,a,0.7,a
Ohio,30,a,46.7,a,76.7,a,497.2,a,2.3,a,11.5,a
Oklahoma,10,a,8.9,a,18.8,a,152.9,a,0,a,3.8,a
Oregon,13.5,a,20.6,a,34.1,a,163.8,a,1.4,a,3.8,a
Pennsylvania,44.7,a,78.9,a,123.6,a,599.3,a,2.8,a,12.7,a
Rhode Island,9.5,a,2.7,a,12.2,a,49.6,a,2.5,a,1.1,a
South Carolina,15.8,a,25.7,a,41.4,a,163.9,a,2,a,4.6,a
South Dakota,3.5,a,2,a,5.5,a,37.5,a,1,a,0.8,a
Tennessee,5.8,a,31.7,a,37.5,a,255.9,a,1.4,a,6.4,a
Texas,42,a,211.6,a,253.6,a,"1,237.20",a,2.4,a,25.2,a
All states combined,"1,115.50",a,"1,728.70",a,"2,844.20",a,"14,992.10",a,2.6,a,309.3,a
Utah,6.5,a,12.8,a,19.3,a,118,a,2.1,a,2.8,a
Vermont,3.5,a,1.1,a,4.6,a,27.1,a,4.1,a,0.6,a
Virginia,25,a,37,a,62,a,422.9,a,2.7,a,8,a
Washington,27.5,a,43.6,a,71.1,a,365.6,a,2.3,a,6.7,a
West Virginia,7.1,a,3.6,a,10.7,a,65.3,a,1.3,a,1.9,a
Wisconsin,22.3,a,20.8,a,43.1,a,254.4,a,3,a,5.7,a
Wyoming,1.5,a,1,a,2.5,a,37.4,a,-3.8,a,0.6,a
