State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,9.9,a,23.8,e,33.6,e,221.1,a,2,a,4.9,e
Alaska,5.9,a,3.5,e,9.4,e,54,a,-0.3,a,0.7,e
Arizona,13.7,a,31.4,e,45.1,e,346.8,a,4,a,7.2,e
Arkansas,6.8,a,13.3,e,20.2,e,128.1,a,0.9,a,3,e
California,148,a,305,e,453,e,"2,968.10",a,3.5,a,39.5,e
Colorado,17.9,a,42.3,e,60.1,e,368.8,a,3.5,a,5.7,e
Connecticut,40.3,a,11.7,e,52,e,274.2,a,1,a,3.6,e
Delaware,5.1,a,2.8,e,7.9,e,75,a,0.3,a,1,e
District of Columbia,0,g,15.3,g,15.3,g,140.3,a,2.1,a,0.7,e
Florida,27.6,a,101.4,e,129,e,"1,036.30",a,3.5,a,21.2,e
Georgia,13.3,a,45.6,e,58.9,e,588.2,a,2.6,a,10.5,e
Hawaii,9.9,a,6.5,e,16.4,e,92,a,1,a,1.4,e
Idaho,3.4,a,2.7,e,6.2,e,77,a,4.1,a,1.8,e
Illinois,67.5,a,101.3,e,168.8,e,864.6,a,2.1,a,12.7,e
Indiana,22,a,26.1,e,48.1,e,366.7,a,1.9,a,6.7,e
Iowa,6.3,a,13.5,e,19.8,e,190.2,a,1.4,a,3.1,e
Kansas,6.1,a,16.7,e,22.9,e,167,a,1.9,a,2.9,e
Kentucky,14.6,a,30.8,e,45.4,e,208.3,a,1.4,a,4.5,e
Louisiana,18.2,a,18.3,e,36.4,e,252.1,a,1.1,a,4.7,e
Maine,4.8,a,3.1,e,7.9,e,64.4,a,1.9,a,1.3,e
Maryland,28,a,26.4,e,54.4,e,412.9,a,1.6,a,6,e
Massachusetts,78.6,a,20.5,e,99.2,e,567.3,a,2.7,a,6.9,e
Michigan,33.6,a,38.7,e,72.2,e,528,a,2.7,a,10,e
Minnesota,16.6,a,37.2,e,53.8,e,368.3,a,2.2,a,5.6,e
Mississippi,7.3,a,6.9,e,14.1,e,114.1,a,1,a,3,e
Missouri,17.9,a,27.8,e,45.7,e,317.7,a,2.3,a,6.1,e
Montana,2.7,a,2.5,e,5.2,e,49,a,0.9,a,1.1,e
Nebraska,2.1,a,14.2,e,16.3,e,123,a,1.5,a,1.9,e
Nevada,3.4,a,25.5,e,28.9,e,165.8,a,3.2,a,3,e
New Hampshire,7.7,a,2.7,e,10.4,e,84.7,a,2.2,a,1.4,e
New Jersey,65.6,a,31.3,e,96.9,e,624.9,a,2,a,8.9,e
New Mexico,7.3,a,9,e,16.3,e,99.4,a,1.8,a,2.1,e
New York,148,a,223.5,e,371.4,e,"1,676.40",a,2.1,a,19.5,e
North Carolina,15.4,a,29.2,e,44.6,e,565.8,a,2.9,a,10.4,e
North Dakota,3,a,5.4,e,8.4,e,54.7,a,2.5,a,0.8,e
Ohio,31.6,a,51.1,e,82.7,e,676.2,a,1.8,a,11.7,e
Oklahoma,8.9,a,10.8,e,19.7,e,200,a,1.8,a,3.9,e
Oregon,14.3,a,24.8,e,39.1,e,238.7,a,3.4,a,4.2,e
Pennsylvania,49.1,a,77.9,e,127,e,788.5,a,2.1,a,12.8,e
Rhode Island,9.1,a,2.7,e,11.8,e,61,a,0.6,a,1.1,e
South Carolina,14.6,a,21.9,e,36.5,e,230.4,a,1.6,a,5.1,e
South Dakota,3.7,a,2.9,e,6.6,e,51.6,a,1.3,a,0.9,e
Tennessee,6.3,a,38.2,e,44.5,e,365.6,a,3,a,6.8,e
Texas,51.5,a,240.3,e,291.9,e,"1,775.80",a,3.2,a,28.6,e
All states combined,"1,173.60",a,"1,936.60",e,"3,110.20",e,"20,580.20",a,2.9,a,326.7,e
Utah,7.4,a,13.1,e,20.5,e,177.3,a,4.3,a,3.2,e
Vermont,3.6,a,1.3,e,4.9,e,33.7,a,1.2,a,0.6,e
Virginia,29.1,a,39.8,e,68.9,e,534.4,a,2.8,a,8.5,e
Washington,33.9,a,56,e,89.9,e,563.2,a,5.7,a,7.5,e
West Virginia,8.6,a,4.1,e,12.8,e,77.5,a,2.4,a,1.8,e
Wisconsin,22.8,a,22.6,e,45.5,e,337,a,2.5,a,5.8,e
Wyoming,0.8,a,1.3,e,2.1,e,39.4,a,0.3,a,0.6,e
