State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,7.1,a,17.3,a,24.4,a,169.7,a,0.6,a,4.6,i
Alaska,6.6,a,3.4,a,9.9,a,49,a,5.4,a,0.7,i
Arizona,9.5,a,29.6,a,39.1,a,262.3,a,2.7,a,6.4,i
Arkansas,4.5,a,7.6,a,12.1,a,96.9,a,-0.7,a,2.8,i
California,114.7,a,215.8,a,330.5,a,"1,955.90",a,1.5,a,36.2,i
Colorado,14.9,a,31.4,a,46.3,a,246,a,3.3,a,4.8,i
Connecticut,23.8,a,8.7,a,32.5,a,237.5,a,3.8,a,3.5,i
Delaware,5.4,a,2,a,7.4,a,56.3,a,-0.4,a,0.9,i
District of Columbia,0,a,8.9,a,8.9,a,94,a,2.7,a,0.6,i
Florida,37.4,a,97.4,a,134.9,a,768.7,a,0.2,a,18.3,i
Georgia,10.4,a,36.2,a,46.5,a,415.1,a,0.5,a,9.5,i
Hawaii,6.2,a,4.2,a,10.4,a,65.2,a,1.1,a,1.3,i
Idaho,2.8,a,2.3,a,5.1,a,53.9,a,1.9,a,1.5,i
Illinois,54.5,a,62.2,a,116.7,a,647.9,a,1.2,a,12.8,i
Indiana,19.2,a,22.1,a,41.2,a,269.1,a,2.8,a,6.3,i
Iowa,6.7,a,8.1,a,14.9,a,137,a,4.4,a,3,i
Kansas,5.9,a,15.3,a,21.2,a,122.5,a,5.3,a,2.8,i
Kentucky,11.6,a,26.3,a,38,a,154.5,a,-0.8,a,4.3,i
Louisiana,14,a,13.7,a,27.7,a,206.6,a,-3.6,a,4.4,i
Maine,5.3,a,2.7,a,8,a,49.1,a,-0.5,a,1.3,i
Maryland,20.9,a,14,a,34.9,a,287.9,a,0.1,a,5.6,i
Massachusetts,68.4,a,20.8,a,89.3,a,379.9,a,2.6,a,6.5,i
Michigan,29.3,a,44.1,a,73.4,a,403.7,a,-0.5,a,10.1,i
Minnesota,8.9,a,29.8,a,38.7,a,258.8,a,0.4,a,5.2,i
Mississippi,5.9,a,6.6,a,12.5,a,91.1,a,2.5,a,2.9,i
Missouri,18.7,a,20.2,a,38.9,a,240.2,a,0.4,a,5.9,i
Montana,4.5,a,1.7,a,6.2,a,36.1,a,5.1,a,1,i
Nebraska,2.3,a,9.3,a,11.6,a,83.1,a,2.2,a,1.8,i
Nevada,4.1,a,17.9,a,22.1,a,131.6,a,-0.6,a,2.6,i
New Hampshire,7.7,a,2.6,a,10.3,a,60.7,a,-0.4,a,1.3,i
New Jersey,51.4,a,34.3,a,85.7,a,480.5,a,0.5,a,8.6,i
New Mexico,7.3,a,4.9,a,12.2,a,80.6,a,0.7,a,2,i
New York,110.1,a,153.2,a,263.3,a,"1,108.90",a,0.2,a,19.4,i
North Carolina,19.2,a,30.9,a,50.1,a,396.3,a,0.9,a,9.1,i
North Dakota,1.8,a,1.9,a,3.7,a,28.7,a,4.6,a,0.6,i
Ohio,26.1,a,40.9,a,67,a,491,a,0,a,11.5,i
Oklahoma,8.7,a,7.9,a,16.6,a,144.9,a,1.8,a,3.6,i
Oregon,11.2,a,18.4,a,29.7,a,161.5,a,1.9,a,3.7,i
Pennsylvania,37.1,a,74.1,a,111.2,a,560.8,a,3.4,a,12.5,i
Rhode Island,8.4,a,2.1,a,10.5,a,47.8,a,-2.7,a,1.1,i
South Carolina,15,a,18.9,a,33.9,a,159.4,a,2.8,a,4.4,i
South Dakota,3.2,a,1.6,a,4.8,a,34.7,a,4.4,a,0.8,i
Tennessee,4.1,a,30.8,a,35,a,244.3,a,-1,a,6.2,i
Texas,24.3,a,162.4,a,186.7,a,"1,178.60",a,5.3,a,23.8,i
All states combined,937.1,a,"1,471.50",a,"2,408.60",a,"14,451.90",a,1.9,a,301.6,i
Utah,5.9,a,10,a,15.9,a,114.7,a,4.9,a,2.7,i
Vermont,3.1,a,1.1,a,4.2,a,24.7,a,-1.2,a,0.6,i
Virginia,19.4,a,31,a,50.4,a,392.9,a,0.8,a,7.7,i
Washington,21.1,a,40.3,a,61.4,a,346.4,a,6,a,6.5,i
West Virginia,5.6,a,3.4,a,9,a,58.6,a,0.1,a,1.8,i
Wisconsin,21.5,a,20,a,41.5,a,243.8,a,0.5,a,5.6,i
Wyoming,1.2,a,1,a,2.2,a,36.6,a,7.5,a,0.5,i
