,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1992,4.1,6.8,11.0,81.3,4.5,4.1
1,Alaska,1992,4.9,5.0,9.9,22.8,-0.2,0.6
2,Arizona,1992,2.8,16.3,19.1,82.7,10.2,3.9
3,Arkansas,1992,1.9,3.4,5.3,45,5.9,2.4
4,California,1992,37.8,76.4,114.2,807.4,-0.1,30.5
5,Colorado,1992,3.0,13.3,16.3,87.3,7.0,3.5
6,Connecticut,1992,12.0,3.8,15.8,105.8,1.9,3.3
7,Delaware,1992,3.5,1.0,4.6,22.9,3.0,0.7
8,District of Columbia,1992,0.0,4.9,4.9,43.2,1.9,0.6
9,Florida,1992,12.3,43.0,55.3,284.7,4.0,13.5
10,Georgia,1992,4.5,16.2,20.7,160.1,5.9,6.8
11,Hawaii,1992,4.7,1.4,6.0,36.1,2.8,1.1
12,Idaho,1992,1.3,0.7,1.9,20.6,7.0,1.1
13,Illinois,1992,18.7,21.9,40.6,306.2,3.8,11.6
14,Indiana,1992,5.2,7.6,12.7,124.7,6.4,5.6
15,Iowa,1992,1.9,3.6,5.5,61.9,4.4,2.8
16,Kansas,1992,0.5,7.3,7.8,56.9,3.1,2.5
17,Kentucky,1992,6.6,9.3,15.9,77.5,5.8,3.8
18,Louisiana,1992,10.0,8.9,18.8,90.9,-7.5,4.3
19,Maine,1992,2.6,1.5,4.1,24.3,1.7,1.2
20,Maryland,1992,8.3,10.7,19.1,119.5,1.3,4.9
21,Massachusetts,1992,24.0,8.9,32.9,167.4,1.9,6.1
22,Michigan,1992,10.4,14.0,24.3,212.1,4.9,9.4
23,Minnesota,1992,4.1,15.8,20.0,114.5,5.5,4.5
24,Mississippi,1992,1.6,3.6,5.2,44,5.3,2.6
25,Missouri,1992,6.3,5.7,12.0,115.3,3.3,5.2
26,Montana,1992,1.9,1.9,3.7,14.9,5.3,0.8
27,Nebraska,1992,1.8,3.6,5.4,38.2,4.9,1.6
28,Nevada,1992,1.9,3.9,5.8,36.1,7.5,1.3
29,New Hampshire,1992,4.7,1.1,5.8,26.3,4.0,1.1
30,New Jersey,1992,19.8,15.2,34.9,230.8,1.7,7.9
31,New Mexico,1992,1.6,3.1,4.7,32.6,5.3,1.6
32,New York,1992,55.9,60.2,116.1,519.7,2.2,18.2
33,North Carolina,1992,3.8,14.0,17.9,159.3,6.4,6.9
34,North Dakota,1992,1.0,0.9,2.0,12.9,7.8,0.6
35,Ohio,1992,12.2,13.8,26.0,250.7,4.7,10.9
36,Oklahoma,1992,3.7,5.3,9.0,62.2,2.0,3.2
37,Oregon,1992,6.3,4.3,10.5,63.4,4.3,2.9
38,Pennsylvania,1992,13.0,35.1,48.1,269.8,3.4,12.0
39,Rhode Island,1992,5.2,0.8,6.0,22.7,1.9,1.0
40,South Carolina,1992,4.7,6.6,11.3,71.8,3.3,3.6
41,South Dakota,1992,1.9,0.5,2.4,14.9,6.0,0.7
42,Tennessee,1992,2.8,9.6,12.4,111.7,7.9,5.0
43,Texas,1992,8.0,57.4,65.4,416.4,3.4,17.7
44,All states combined,1992,372.3,603.3,975.6,"6,520.30",3.5,254.9
45,Utah,1992,2.2,8.3,10.4,35.6,3.9,1.8
46,Vermont,1992,1.5,0.5,2.0,12.5,4.5,0.6
47,Virginia,1992,7.4,12.8,20.2,159,2.9,6.4
48,Washington,1992,7.2,20.8,28.0,134.5,4.4,5.1
49,West Virginia,1992,2.6,3.8,6.4,30.4,2.2,1.8
50,Wisconsin,1992,7.3,7.7,15.0,113,5.4,5.0
51,Wyoming,1992,0.9,1.2,2.1,13.2,-0.7,0.5
