,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1972,0.8,1.7,2.5,15.4,8.0,3.5
1,Alaska,1972,0.4,0.4,0.8,2.7,3.6,0.3
2,Arizona,1972,0.1,1.2,1.2,11.3,12.2,1.9
3,Arkansas,1972,0.1,0.9,1.0,8.5,9.4,2.0
4,California,1972,6.1,11.9,18.0,133.1,6.0,20.7
5,Colorado,1972,0.1,1.2,1.4,13.8,10.1,2.3
6,Connecticut,1972,2.4,1.7,4.1,18.8,5.2,3.0
7,Delaware,1972,0.5,0.3,0.8,4,5.4,0.6
8,District of Columbia,1972,0.0,0.8,0.8,9.9,3.3,0.7
9,Florida,1972,1.1,3.5,4.6,39.7,11.4,7.3
10,Georgia,1972,1.0,1.9,2.9,24.6,9.4,4.8
11,Hawaii,1972,0.8,0.3,1.1,5.6,3.9,0.8
12,Idaho,1972,0.0,0.2,0.2,3.8,10.8,0.8
13,Illinois,1972,1.8,6.0,7.8,73.5,4.6,11.2
14,Indiana,1972,0.6,1.9,2.5,30,6.8,5.3
15,Iowa,1972,0.1,1.0,1.1,15.3,7.4,2.8
16,Kansas,1972,0.2,1.1,1.3,12.1,7.4,2.3
17,Kentucky,1972,1.8,1.5,3.3,16.9,4.2,3.3
18,Louisiana,1972,1.1,2.3,3.5,20.3,4.4,3.8
19,Maine,1972,0.3,0.3,0.5,4.6,5.4,1.0
20,Maryland,1972,1.4,2.5,4.0,22.6,5.9,4.0
21,Massachusetts,1972,2.3,3.1,5.4,33.8,4.6,5.7
22,Michigan,1972,1.4,5.3,6.6,56.6,4.9,9.0
23,Minnesota,1972,0.6,3.0,3.6,21.9,4.9,3.9
24,Mississippi,1972,0.5,0.8,1.3,9.2,11.1,2.3
25,Missouri,1972,0.1,2.4,2.5,26.4,4.4,4.7
26,Montana,1972,0.1,0.2,0.3,3.7,11.7,0.7
27,Nebraska,1972,0.1,1.5,1.6,8.5,6.2,1.5
28,Nevada,1972,0.1,0.4,0.5,4,5.9,0.5
29,New Hampshire,1972,0.2,0.3,0.4,3.6,4.3,0.8
30,New Jersey,1972,2.6,4.1,6.6,45.4,5.3,7.2
31,New Mexico,1972,0.1,0.3,0.4,5.4,7.5,1.1
32,New York,1972,10.7,21.0,31.7,127.2,2.4,18.1
33,North Carolina,1972,0.5,1.5,2.0,28,7.2,5.2
34,North Dakota,1972,0.1,0.2,0.3,3.1,12.1,0.6
35,Ohio,1972,2.1,5.1,7.3,62.9,4.1,10.7
36,Oklahoma,1972,0.8,1.1,1.9,12.7,8.3,2.6
37,Oregon,1972,0.9,0.9,1.8,12.2,7.8,2.2
38,Pennsylvania,1972,4.3,6.5,10.8,65.4,4.0,11.8
39,Rhode Island,1972,0.4,0.4,0.8,5.1,6.6,0.9
40,South Carolina,1972,0.5,0.8,1.3,11.9,8.1,2.7
41,South Dakota,1972,0.0,0.1,0.1,3,9.9,0.7
42,Tennessee,1972,0.6,2.5,3.1,20.3,9.1,4.1
43,Texas,1972,1.3,7.5,8.8,64,7.0,11.7
44,All states combined,1972,54.0,120.0,174.0,"1,279.10",5.3,207.8
45,Utah,1972,0.1,0.4,0.5,5.6,8.8,1.1
46,Vermont,1972,0.3,0.2,0.5,2.3,3.6,0.5
47,Virginia,1972,0.4,2.4,2.8,26.1,7.9,4.8
48,Washington,1972,1.0,3.7,4.7,20.5,4.7,3.5
49,West Virginia,1972,0.7,0.3,1.0,8.4,5.8,1.8
50,Wisconsin,1972,0.8,2.0,2.8,24.1,4.5,4.5
51,Wyoming,1972,0.0,0.2,0.2,2.4,7.5,0.4
