,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1991,4.2,6.6,10.8,76,2.7,4.1
1,Alaska,1991,5.3,4.8,10.1,22.3,-13.9,0.6
2,Arizona,1991,2.5,16.0,18.5,73.4,0.5,3.8
3,Arkansas,1991,1.8,3.1,4.8,41.6,4.0,2.4
4,California,1991,32.0,66.1,98.1,790,-1.2,30.1
5,Colorado,1991,2.7,11.2,13.9,79.8,2.1,3.4
6,Connecticut,1991,13.0,3.5,16.5,101.5,-2.0,3.3
7,Delaware,1991,3.2,1.0,4.2,21.7,5.6,0.7
8,District of Columbia,1991,0.0,4.9,4.9,41.4,1.0,0.6
9,Florida,1991,11.1,41.5,52.5,267.7,0.9,13.2
10,Georgia,1991,3.7,15.1,18.8,147.8,1.6,6.6
11,Hawaii,1991,4.2,1.1,5.3,34.4,2.1,1.1
12,Idaho,1991,1.1,0.6,1.7,18.9,1.3,1.0
13,Illinois,1991,18.2,19.7,37.9,288.5,0.0,11.5
14,Indiana,1991,4.6,6.6,11.2,114.6,0.0,5.6
15,Iowa,1991,1.6,3.5,5.1,57.9,-0.1,2.8
16,Kansas,1991,0.3,6.9,7.2,54,0.7,2.5
17,Kentucky,1991,6.0,8.3,14.4,71.7,1.3,3.7
18,Louisiana,1991,10.7,8.7,19.4,96,-2.4,4.2
19,Maine,1991,2.6,1.5,4.1,23.4,-2.8,1.2
20,Maryland,1991,7.5,10.0,17.5,115.4,-1.0,4.8
21,Massachusetts,1991,21.1,8.5,29.6,160.7,-2.5,6.0
22,Michigan,1991,10.1,13.3,23.4,197.7,-1.0,9.4
23,Minnesota,1991,3.9,15.0,18.9,106.1,-0.1,4.4
24,Mississippi,1991,1.4,3.5,4.9,40.9,2.0,2.6
25,Missouri,1991,5.8,5.3,11.1,109.2,2.0,5.2
26,Montana,1991,1.6,0.8,2.4,13.9,1.4,0.8
27,Nebraska,1991,1.6,4.7,6.3,35.6,2.1,1.6
28,Nevada,1991,1.7,4.5,6.2,32.8,2.4,1.3
29,New Hampshire,1991,4.1,1.1,5.2,24.8,0.8,1.1
30,New Jersey,1991,19.0,14.7,33.7,221.9,0.1,7.8
31,New Mexico,1991,1.8,3.2,4.9,30.3,10.2,1.5
32,New York,1991,51.8,55.5,107.3,497.3,-2.5,18.1
33,North Carolina,1991,3.5,13.2,16.7,146.4,1.4,6.8
34,North Dakota,1991,1.0,1.0,1.9,11.7,-1.7,0.6
35,Ohio,1991,11.4,14.4,25.7,234,-0.5,10.9
36,Oklahoma,1991,3.7,4.9,8.7,59.6,-0.2,3.2
37,Oregon,1991,6.5,3.8,10.2,59.4,1.6,2.9
38,Pennsylvania,1991,11.6,36.5,48.1,255.2,0.6,11.9
39,Rhode Island,1991,4.4,0.8,5.2,21.7,-2.9,1.0
40,South Carolina,1991,4.2,6.1,10.3,68,0.9,3.5
41,South Dakota,1991,1.8,0.5,2.3,13.7,4.0,0.7
42,Tennessee,1991,2.8,9.4,12.2,101.2,4.0,5.0
43,Texas,1991,7.7,57.2,64.9,393.6,0.5,17.3
44,All states combined,1991,346.0,570.0,916.0,"6,158.10",-0.1,251.8
45,Utah,1991,1.9,8.2,10.1,33.5,3.7,1.8
46,Vermont,1991,1.5,0.5,1.9,11.7,-2.8,0.6
47,Virginia,1991,6.5,11.6,18.1,151.1,0.8,6.3
48,Washington,1991,6.5,19.6,26.2,125.9,2.6,5.0
49,West Virginia,1991,2.8,3.8,6.6,29.1,1.4,1.8
50,Wisconsin,1991,6.6,6.9,13.6,104.8,1.1,4.9
51,Wyoming,1991,0.9,1.2,2.1,13,-1.2,0.5
