,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,2015,9,21.1,30.1,200.5,1.3,4.9
1,Alaska,2015,5.7,3.3,9.1,50.6,0.7,0.7
2,Arizona,2015,14.2,33.7,47.9,297.1,2.2,6.8
3,Arkansas,2015,5,11.6,16.6,118.5,0.4,3.0
4,California,2015,151.7,269.3,421,"2,558.20",5.0,38.9
5,Colorado,2015,17.2,38.9,56.1,318.2,4.4,5.5
6,Connecticut,2015,35.4,11.6,46.9,259.7,1.8,3.6
7,Delaware,2015,5,2.7,7.6,70.9,3.0,0.9
8,District of Columbia,2015,0,13.9,13.9,125.2,1.8,0.7
9,Florida,2015,33.3,115.3,148.7,894,3.9,20.2
10,Georgia,2015,13.2,42.9,56.2,512.7,3.3,10.2
11,Hawaii,2015,8.8,6.1,14.8,82.8,3.4,1.4
12,Idaho,2015,3.7,2.7,6.3,66.3,3.0,1.7
13,Illinois,2015,64.2,84.3,148.5,792.6,1.0,12.9
14,Indiana,2015,22.5,28.4,50.8,329.7,-1.0,6.6
15,Iowa,2015,6.1,12.4,18.5,178,2.1,3.1
16,Kansas,2015,7.6,20.7,28.3,151.7,1.2,2.9
17,Kentucky,2015,13.8,26.2,40,192,0.5,4.4
18,Louisiana,2015,17.6,21.9,39.4,234.3,-0.2,4.7
19,Maine,2015,5,2.9,7.9,57.5,0.4,1.3
20,Maryland,2015,26.6,24.5,51.1,367.2,1.7,6.0
21,Massachusetts,2015,75.3,17.9,93.2,502.7,3.6,6.8
22,Michigan,2015,33.2,43.2,76.5,474,2.3,9.9
23,Minnesota,2015,16.8,34.7,51.4,328.7,1.0,5.5
24,Mississippi,2015,7.5,6.7,14.2,105.8,0.4,3.0
25,Missouri,2015,19.4,27.6,46.9,294.8,1.1,6.1
26,Montana,2015,3.2,1.9,5.2,46.2,3.8,1.0
27,Nebraska,2015,1.8,13.7,15.5,115.1,2.4,1.9
28,Nevada,2015,3.4,25.3,28.7,144.3,4.2,2.9
29,New Hampshire,2015,8.2,2.6,10.8,75.9,2.4,1.3
30,New Jersey,2015,66.9,33.2,100.1,569.5,1.6,8.9
31,New Mexico,2015,6.7,8.8,15.5,90.9,1.9,2.1
32,New York,2015,137.4,208.8,346.1,"1,487.80",1.6,19.7
33,North Carolina,2015,17.5,32.7,50.1,503.3,3.1,10.0
34,North Dakota,2015,2.1,4,6,54.9,-3.0,0.8
35,Ohio,2015,33.1,52.6,85.7,609.8,1.2,11.6
36,Oklahoma,2015,8.9,10,18.9,185.3,3.5,3.9
37,Oregon,2015,13.1,21.8,34.9,203.3,5.3,4.0
38,Pennsylvania,2015,47.1,80.1,127.1,710,2.0,12.8
39,Rhode Island,2015,9,2.6,11.6,56.8,1.5,1.1
40,South Carolina,2015,15.1,28.3,43.4,203.8,3.2,4.9
41,South Dakota,2015,3.3,2.5,5.8,47.7,2.6,0.9
42,Tennessee,2015,6,38.8,44.8,322.7,3.1,6.6
43,Texas,2015,48.2,229.4,277.6,"1,568.20",5.1,27.5
44,All states combined,2015,"1,149.90","1,847.80","2,997.80","18,224.80",2.9,320.6
45,Utah,2015,7.5,12.8,20.3,149.5,4.0,3.0
46,Vermont,2015,3.3,1.2,4.6,30.7,1.1,0.6
47,Virginia,2015,28.2,36.9,65.1,484.6,1.9,8.4
48,Washington,2015,32.2,49.2,81.4,470.6,4.2,7.2
49,West Virginia,2015,7.1,3.3,10.5,70.3,-0.5,1.8
50,Wisconsin,2015,22.1,21.8,43.9,304.9,1.4,5.8
51,Wyoming,2015,0.8,1.1,2,37.7,2.6,0.6
