,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1994,3.9,7.4,11.3,90.1,4.3,4.2
1,Alaska,1994,3.6,3.8,7.4,23.6,-0.7,0.6
2,Arizona,1994,3.2,16.0,19.2,100.4,10.1,4.2
3,Arkansas,1994,1.8,3.2,5,51.4,5.8,2.5
4,California,1994,48.1,92.8,140.9,861.4,2.0,31.3
5,Colorado,1994,3.3,14.7,17.9,104.5,7.0,3.7
6,Connecticut,1994,13.6,4.4,18,113.1,2.9,3.3
7,Delaware,1994,3.4,1.2,4.6,25.6,6.8,0.7
8,District of Columbia,1994,0.0,4.4,4.4,46.7,0.7,0.6
9,Florida,1994,14.6,45.9,60.5,327.2,5.2,14.1
10,Georgia,1994,5.2,15.5,20.7,188,7.2,7.1
11,Hawaii,1994,5.1,1.9,7.1,37.4,-0.3,1.1
12,Idaho,1994,1.3,0.9,2.1,25.5,7.9,1.1
13,Illinois,1994,20.4,26.1,46.4,348,6.4,11.8
14,Indiana,1994,5.6,7.7,13.2,143.3,6.2,5.8
15,Iowa,1994,2.0,3.9,5.9,70.2,8.4,2.8
16,Kansas,1994,1.1,6.9,8,63.3,5.1,2.6
17,Kentucky,1994,6.7,12.0,18.7,87.6,5.1,3.8
18,Louisiana,1994,8.8,8.2,17,105.1,7.4,4.3
19,Maine,1994,3.0,1.6,4.6,26.5,3.1,1.2
20,Maryland,1994,9.1,11.9,21.1,133.3,4.0,5.0
21,Massachusetts,1994,26.7,9.2,35.9,185.7,4.8,6.1
22,Michigan,1994,11.5,16.6,28.1,251.5,8.8,9.5
23,Minnesota,1994,4.4,17.6,22,128.2,6.4,4.6
24,Mississippi,1994,2.1,3.7,5.8,51.6,6.7,2.7
25,Missouri,1994,6.5,6.2,12.7,130.6,7.5,5.3
26,Montana,1994,2.1,0.8,3,17.1,4.1,0.8
27,Nebraska,1994,1.5,4.7,6.2,43.5,8.2,1.6
28,Nevada,1994,1.7,5.0,6.6,45.2,10.5,1.5
29,New Hampshire,1994,5.7,1.0,6.7,29.2,4.5,1.2
30,New Jersey,1994,22.9,16.5,39.3,251.6,2.5,8.0
31,New Mexico,1994,1.7,2.9,4.7,41.7,10.7,1.6
32,New York,1994,65.1,68.3,133.4,555.3,1.2,18.4
33,North Carolina,1994,4.5,15.6,20.2,181.3,5.7,7.2
34,North Dakota,1994,0.8,1.0,1.7,14.3,7.3,0.6
35,Ohio,1994,12.1,15.4,27.5,281.9,6.3,11.0
36,Oklahoma,1994,3.9,4.9,8.7,68.3,1.9,3.3
37,Oregon,1994,5.6,5.3,11,75.4,6.4,3.1
38,Pennsylvania,1994,13.7,41.6,55.3,296.6,3.1,12.0
39,Rhode Island,1994,5.5,0.8,6.3,24.4,1.2,1.0
40,South Carolina,1994,5.0,7.2,12.2,82.1,5.5,3.7
41,South Dakota,1994,1.7,0.6,2.3,17.3,5.4,0.7
42,Tennessee,1994,2.6,9.8,12.5,129.9,6.4,5.2
43,Texas,1994,9.4,60.3,69.7,476,5.0,18.4
44,All states combined,1994,411.0,663.7,"1,074.70","7,287.20",4.0,261.3
45,Utah,1994,2.1,8.5,10.6,42.6,7.9,1.9
46,Vermont,1994,1.6,0.5,2.1,13.7,2.9,0.6
47,Virginia,1994,7.9,14.1,22,177.1,3.4,6.5
48,Washington,1994,8.3,20.5,28.8,150.8,3.6,5.3
49,West Virginia,1994,2.5,3.8,6.3,34.6,6.2,1.8
50,Wisconsin,1994,7.7,9.6,17.4,129.4,5.6,5.1
51,Wyoming,1994,0.7,1.1,1.8,14.1,-0.1,0.5
