,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1976,1.0,2.0,3.0,24.3,8.0,3.7
1,Alaska,1976,0.8,0.6,1.4,7.5,13.8,0.4
2,Arizona,1976,0.1,2.3,2.4,17,5.2,2.3
3,Arkansas,1976,0.1,1.0,1.1,13.7,8.8,2.1
4,California,1976,6.5,13.9,20.4,197.3,4.9,22.1
5,Colorado,1976,0.1,2.0,2.1,22.3,4.6,2.6
6,Connecticut,1976,3.1,1.9,5.0,26.2,3.7,3.1
7,Delaware,1976,0.7,0.4,1.1,5.5,3.2,0.6
8,District of Columbia,1976,0.0,2.4,2.4,13.9,4.0,0.7
9,Florida,1976,1.7,5.4,7.1,58.7,0.7,8.4
10,Georgia,1976,1.3,2.7,4.0,36.4,7.9,5.1
11,Hawaii,1976,1.3,0.3,1.6,8.5,-1.1,0.9
12,Idaho,1976,0.0,0.2,0.3,6.6,7.1,0.8
13,Illinois,1976,3.4,7.1,10.5,104.8,3.6,11.3
14,Indiana,1976,0.6,2.2,2.8,43.8,10.1,5.4
15,Iowa,1976,0.1,1.2,1.3,24.4,5.3,2.9
16,Kansas,1976,0.4,1.7,2.1,19,6.6,2.3
17,Kentucky,1976,2.0,2.1,4.1,26,8.2,3.5
18,Louisiana,1976,1.5,2.9,4.3,34.4,6.3,4.0
19,Maine,1976,0.5,0.4,1.0,7,10.2,1.1
20,Maryland,1976,2.5,3.3,5.8,32.6,4.4,4.1
21,Massachusetts,1976,5.0,3.8,8.8,45.5,2.9,5.7
22,Michigan,1976,1.9,6.9,8.8,78.8,11.4,9.1
23,Minnesota,1976,1.0,3.8,4.8,32.8,4.9,4.0
24,Mississippi,1976,0.8,1.0,1.8,14.6,12.2,2.4
25,Missouri,1976,0.3,2.5,2.8,37.2,6.9,4.8
26,Montana,1976,0.1,0.4,0.5,6,9.6,0.7
27,Nebraska,1976,0.1,2.5,2.6,13,4.1,1.5
28,Nevada,1976,0.1,0.6,0.7,6.3,7.4,0.7
29,New Hampshire,1976,0.3,0.4,0.7,5.5,7.9,0.8
30,New Jersey,1976,4.0,5.0,9.0,60.5,2.3,7.3
31,New Mexico,1976,0.2,0.6,0.8,9.3,8.3,1.2
32,New York,1976,20.5,25.6,46.0,163.3,-0.3,17.8
33,North Carolina,1976,0.7,1.9,2.6,40.5,6.5,5.5
34,North Dakota,1976,0.1,0.3,0.4,5.1,-1.6,0.6
35,Ohio,1976,3.0,5.5,8.5,87.4,6.0,10.7
36,Oklahoma,1976,0.9,1.3,2.3,20.8,8.7,2.8
37,Oregon,1976,2.0,1.3,3.4,19.8,11.3,2.4
38,Pennsylvania,1976,5.9,9.7,15.6,90.7,2.2,11.8
39,Rhode Island,1976,0.5,0.5,1.0,6.5,3.1,0.9
40,South Carolina,1976,1.0,1.1,2.2,18.2,7.5,2.9
41,South Dakota,1976,0.1,0.1,0.2,4.6,0.1,0.7
42,Tennessee,1976,1.0,3.1,4.1,30.5,8.7,4.3
43,Texas,1976,2.1,10.0,12.1,113.8,9.1,12.9
44,All states combined,1976,85.0,156.0,241.0,"1,873.40",5.4,216.9
45,Utah,1976,0.2,0.5,0.7,9.3,7.7,1.3
46,Vermont,1976,0.4,0.2,0.6,3.2,8.8,0.5
47,Virginia,1976,0.7,3.2,3.9,39.6,7.0,5.1
48,Washington,1976,1.2,4.8,6.0,32.7,6.0,3.8
49,West Virginia,1976,1.2,0.6,1.8,13.2,4.9,1.9
50,Wisconsin,1976,1.4,2.2,3.5,37,8.7,4.6
51,Wyoming,1976,0.1,0.4,0.5,4.7,12.4,0.4
