,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1971,0.8,1.9,2.7,13.6,3.9,3.5
1,Alaska,1971,0.3,0.3,0.6,2.5,2.4,0.3
2,Arizona,1971,0.1,1.0,1.1,9.6,7.2,1.9
3,Arkansas,1971,0.1,1.0,1.1,7.4,6.2,2.0
4,California,1971,5.7,11.2,16.9,120.4,2.3,20.3
5,Colorado,1971,0.1,1.1,1.3,12,9.5,2.3
6,Connecticut,1971,2.2,1.6,3.8,17.1,-0.3,3.0
7,Delaware,1971,0.4,0.3,0.8,3.6,8.9,0.6
8,District of Columbia,1971,0.0,0.7,0.7,9.2,2.1,0.7
9,Florida,1971,1.0,3.0,4.0,34.2,5.9,7.0
10,Georgia,1971,0.9,1.9,2.8,21.6,6.0,4.7
11,Hawaii,1971,0.7,0.3,1.0,5.2,2.6,0.8
12,Idaho,1971,0.0,0.2,0.2,3.3,3.1,0.7
13,Illinois,1971,1.6,5.7,7.3,67.4,2.2,11.1
14,Indiana,1971,0.6,1.7,2.3,26.9,4.2,5.2
15,Iowa,1971,0.1,1.0,1.1,13.7,0.4,2.8
16,Kansas,1971,0.2,0.9,1.2,10.8,5.6,2.3
17,Kentucky,1971,1.5,1.4,3.0,15.6,6.3,3.3
18,Louisiana,1971,0.9,2.3,3.3,18.6,3.2,3.7
19,Maine,1971,0.3,0.2,0.5,4.2,1.1,1.0
20,Maryland,1971,1.3,2.3,3.6,20.5,4.2,4.0
21,Massachusetts,1971,2.0,2.6,4.6,31,1.5,5.7
22,Michigan,1971,1.2,4.9,6.1,51.7,6.6,8.9
23,Minnesota,1971,0.6,2.5,3.1,20,2.0,3.8
24,Mississippi,1971,0.5,0.8,1.3,7.9,4.0,2.2
25,Missouri,1971,0.1,2.3,2.4,24.2,3.8,4.7
26,Montana,1971,0.1,0.2,0.3,3.1,2.5,0.7
27,Nebraska,1971,0.1,1.5,1.6,7.7,5.5,1.5
28,Nevada,1971,0.0,0.4,0.5,3.6,5.3,0.5
29,New Hampshire,1971,0.2,0.2,0.4,3.3,4.0,0.8
30,New Jersey,1971,2.0,3.5,5.5,41.3,2.1,7.2
31,New Mexico,1971,0.1,0.3,0.5,4.8,3.6,1.0
32,New York,1971,8.6,18.5,27.2,119.1,0.9,18.2
33,North Carolina,1971,0.6,1.3,1.9,25,4.3,5.2
34,North Dakota,1971,0.0,0.2,0.2,2.6,9.2,0.6
35,Ohio,1971,1.8,4.5,6.3,58,2.7,10.7
36,Oklahoma,1971,0.8,0.9,1.7,11.3,3.5,2.6
37,Oregon,1971,0.8,0.7,1.5,10.9,5.5,2.1
38,Pennsylvania,1971,3.8,6.3,10.1,60.3,1.3,11.8
39,Rhode Island,1971,0.4,0.4,0.8,4.6,1.5,0.9
40,South Carolina,1971,0.4,1.1,1.5,10.6,5.1,2.6
41,South Dakota,1971,0.0,0.1,0.1,2.7,3.7,0.7
42,Tennessee,1971,0.5,2.4,2.8,17.9,5.6,4.0
43,Texas,1971,1.2,6.5,7.7,57.3,4.3,11.5
44,All states combined,1971,48.0,111.0,159.0,"1,164.90",3.3,205.5
45,Utah,1971,0.1,0.5,0.6,4.9,5.6,1.1
46,Vermont,1971,0.3,0.1,0.4,2.1,2.0,0.5
47,Virginia,1971,0.4,2.3,2.6,23.2,4.7,4.7
48,Washington,1971,0.9,3.6,4.4,18.8,-1.4,3.5
49,West Virginia,1971,0.6,0.3,0.9,7.6,2.1,1.8
50,Wisconsin,1971,0.7,1.9,2.6,22.1,4.1,4.4
51,Wyoming,1971,0.0,0.2,0.2,2.1,2.9,0.3
