,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1962,0.3,0.8,1.1,7.0,6.1,3.3
1,Alaska,1962,0.0,0.1,0.1,1.0,6.1,0.2
2,Arizona,1962,0.0,0.5,0.6,4.2,6.1,1.4
3,Arkansas,1962,0.1,0.3,0.4,3.6,6.1,1.8
4,California,1962,2.8,5.9,8.7,64.3,6.1,16.5
5,Colorado,1962,0.1,0.6,0.7,5.6,6.1,1.8
6,Connecticut,1962,1.1,0.9,2.0,9.4,6.1,2.6
7,Delaware,1962,0.2,0.1,0.3,1.8,6.1,0.5
8,District of Columbia,1962,0.0,0.2,0.2,4.9,6.1,0.8
9,Florida,1962,0.4,1.6,2.0,13.9,6.1,5.3
10,Georgia,1962,0.4,0.9,1.3,9.8,6.1,4.1
11,Hawaii,1962,0.2,0.2,0.4,2.2,6.1,0.7
12,Idaho,1962,0.0,0.1,0.1,1.7,6.1,0.7
13,Illinois,1962,0.9,3.8,4.7,37.4,6.1,10.3
14,Indiana,1962,0.4,0.9,1.3,14.8,6.1,4.8
15,Iowa,1962,0.0,0.5,0.5,7.5,6.1,2.8
16,Kansas,1962,0.2,0.7,0.9,5.8,6.1,2.2
17,Kentucky,1962,0.6,0.6,1.2,7.9,6.1,3.1
18,Louisiana,1962,0.4,1.2,1.5,9.2,6.1,3.3
19,Maine,1962,0.1,0.1,0.3,2.3,6.1,1.0
20,Maryland,1962,0.7,1.2,1.9,9.7,6.1,3.3
21,Massachusetts,1962,1.5,1.4,2.9,16.5,6.1,5.3
22,Michigan,1962,0.9,2.1,3.1,28.9,6.1,8.0
23,Minnesota,1962,0.2,1.1,1.3,10.2,6.1,3.5
24,Mississippi,1962,0.2,0.4,0.7,4.2,6.1,2.2
25,Missouri,1962,0.1,1.1,1.1,12.9,6.1,4.4
26,Montana,1962,0.1,0.1,0.2,1.9,6.1,0.7
27,Nebraska,1962,0.0,0.6,0.6,4.0,6.1,1.4
28,Nevada,1962,0.0,0.1,0.1,1.7,6.1,0.3
29,New Hampshire,1962,0.1,0.1,0.2,1.6,6.1,0.6
30,New Jersey,1962,0.9,2.0,2.9,22.2,6.1,6.3
31,New Mexico,1962,0.1,0.2,0.3,2.9,6.1,1.0
32,New York,1962,3.3,10.7,14.0,66.9,6.1,17.1
33,North Carolina,1962,0.3,0.7,1.0,12.0,6.1,4.7
34,North Dakota,1962,0.0,0.1,0.2,1.5,6.1,0.6
35,Ohio,1962,0.9,2.7,3.6,31.5,6.1,9.9
36,Oklahoma,1962,0.3,0.6,0.9,5.8,6.1,2.4
37,Oregon,1962,0.4,0.4,0.8,5.4,6.1,1.8
38,Pennsylvania,1962,1.5,3.4,5.0,32.7,6.1,11.4
39,Rhode Island,1962,0.1,0.2,0.4,2.5,6.1,0.9
40,South Carolina,1962,0.3,0.3,0.5,4.8,6.1,2.4
41,South Dakota,1962,0.0,0.1,0.1,1.5,6.2,0.7
42,Tennessee,1962,0.1,1.3,1.4,8.6,6.1,3.6
43,Texas,1962,0.4,3.7,4.2,27.7,6.1,9.9
44,All states combined,1962,22.0,58.8,80.8,603.9,6.1,183.9
45,Utah,1962,0.0,0.3,0.3,2.8,6.2,0.9
46,Vermont,1962,0.1,0.1,0.1,0.9,6.1,0.4
47,Virginia,1962,0.2,1.1,1.3,11.1,6.1,4.1
48,Washington,1962,0.5,1.9,2.4,10.6,6.1,3.0
49,West Virginia,1962,0.3,0.2,0.5,4.4,6.1,1.8
50,Wisconsin,1962,0.1,1.0,1.2,12.1,6.1,4.0
51,Wyoming,1962,0.0,0.1,0.1,1.3,6.2,0.3
