,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1974,0.9,2.0,2.8,19.5,2.4,3.6
1,Alaska,1974,0.6,0.5,1.0,4,20.7,0.3
2,Arizona,1974,0.1,1.6,1.7,14.6,0.6,2.1
3,Arkansas,1974,0.1,0.9,1.0,10.9,0.8,2.1
4,California,1974,6.2,13.1,19.3,161.8,0.8,21.4
5,Colorado,1974,0.1,1.6,1.8,17.9,1.6,2.5
6,Connecticut,1974,2.6,1.8,4.4,22.5,-0.8,3.1
7,Delaware,1974,0.6,0.3,0.9,4.7,-3.8,0.6
8,District of Columbia,1974,0.0,1.9,1.9,11.4,0.8,0.7
9,Florida,1974,1.5,4.6,6.0,52.1,1.8,7.8
10,Georgia,1974,1.1,2.5,3.6,30.4,-1.3,4.9
11,Hawaii,1974,1.1,0.3,1.4,7.1,3.2,0.8
12,Idaho,1974,0.0,0.2,0.2,5.2,6.2,0.8
13,Illinois,1974,2.3,6.4,8.8,88.1,-0.6,11.2
14,Indiana,1974,0.6,2.0,2.7,35.6,-3.8,5.3
15,Iowa,1974,0.1,1.1,1.2,19.3,-4.1,2.9
16,Kansas,1974,0.2,1.4,1.6,15.1,-1.3,2.3
17,Kentucky,1974,1.9,1.8,3.7,21.2,2.8,3.4
18,Louisiana,1974,1.2,2.6,3.9,26.9,8.5,3.9
19,Maine,1974,0.4,0.3,0.7,5.6,-1.2,1.0
20,Maryland,1974,1.8,2.9,4.7,27.4,0.0,4.0
21,Massachusetts,1974,3.2,3.5,6.7,39.3,-2.3,5.7
22,Michigan,1974,1.4,6.6,8.1,63,-8.1,9.0
23,Minnesota,1974,0.8,3.1,3.8,27.7,-2.3,3.9
24,Mississippi,1974,0.6,0.9,1.5,11.3,-2.0,2.3
25,Missouri,1974,0.2,2.5,2.8,30.5,-4.5,4.8
26,Montana,1974,0.1,0.3,0.4,4.7,-1.5,0.7
27,Nebraska,1974,0.1,2.1,2.2,10.4,-3.8,1.5
28,Nevada,1974,0.1,0.5,0.6,5,0.6,0.6
29,New Hampshire,1974,0.2,0.3,0.5,4.5,-1.7,0.8
30,New Jersey,1974,3.6,4.7,8.3,53,-1.4,7.2
31,New Mexico,1974,0.2,0.4,0.6,7.1,5.5,1.1
32,New York,1974,13.4,24.1,37.5,145.4,-2.2,18.0
33,North Carolina,1974,0.5,1.6,2.1,33.6,-2.9,5.4
34,North Dakota,1974,0.1,0.2,0.3,4.5,-6.1,0.6
35,Ohio,1974,2.4,5.1,7.5,74.2,-2.5,10.7
36,Oklahoma,1974,0.8,1.3,2.1,16.2,2.7,2.7
37,Oregon,1974,1.3,1.0,2.3,15.4,-0.2,2.3
38,Pennsylvania,1974,5.1,9.1,14.2,78.2,-0.1,11.8
39,Rhode Island,1974,0.4,0.4,0.8,5.6,-5.2,0.9
40,South Carolina,1974,0.9,0.9,1.8,15.3,2.1,2.8
41,South Dakota,1974,0.0,0.1,0.1,4,-8.1,0.7
42,Tennessee,1974,0.7,3.0,3.7,25.1,-0.5,4.2
43,Texas,1974,1.8,9.2,11.0,85.4,6.1,12.3
44,All states combined,1974,65.0,141.0,206.0,"1,545.20",-0.5,212.3
45,Utah,1974,0.1,0.4,0.5,7.3,4.2,1.2
46,Vermont,1974,0.4,0.2,0.6,2.6,-4.8,0.5
47,Virginia,1974,0.6,2.8,3.4,32.4,1.0,4.9
48,Washington,1974,1.2,4.2,5.4,26.2,3.1,3.7
49,West Virginia,1974,0.9,0.5,1.4,10.7,6.7,1.8
50,Wisconsin,1974,0.9,2.1,3.1,28.7,-2.6,4.5
51,Wyoming,1974,0.1,0.3,0.3,3.5,12.0,0.4
