,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1981,1.3,3.3,4.6,40.3,1.8,3.9
1,Alaska,1981,2.4,2.8,5.2,21.8,30.5,0.4
2,Arizona,1981,0.1,5.2,5.3,34.3,1.8,2.8
3,Arkansas,1981,0.5,1.9,2.3,22.9,3.1,2.3
4,California,1981,9.0,17.3,26.3,368.8,2.7,24.2
5,Colorado,1981,0.7,3.7,4.5,44,4.8,2.9
6,Connecticut,1981,4.4,2.0,6.4,45.6,2.3,3.1
7,Delaware,1981,1.1,0.7,1.8,8.8,2.2,0.6
8,District of Columbia,1981,0.0,2.7,2.7,21.7,0.0,0.6
9,Florida,1981,2.8,9.8,12.6,112.2,4.7,10.0
10,Georgia,1981,1.4,5.5,6.9,63.8,3.6,5.6
11,Hawaii,1981,1.9,0.3,2.1,14.6,0.0,1.0
12,Idaho,1981,0.4,0.4,0.8,10.7,-1.6,1.0
13,Illinois,1981,6.9,9.6,16.5,159.6,0.4,11.4
14,Indiana,1981,1.0,3.4,4.4,64.7,0.4,5.5
15,Iowa,1981,0.4,2.0,2.4,38.3,1.1,2.9
16,Kansas,1981,0.4,3.6,4.0,32,3.2,2.4
17,Kentucky,1981,3.0,4.4,7.5,41.1,1.4,3.7
18,Louisiana,1981,3.5,5.2,8.7,77.2,10.3,4.2
19,Maine,1981,0.8,0.6,1.4,11.3,0.2,1.1
20,Maryland,1981,4.0,4.5,8.5,53.1,2.1,4.3
21,Massachusetts,1981,6.3,4.5,10.7,77.8,2.0,5.8
22,Michigan,1981,3.5,8.2,11.7,114.7,0.6,9.3
23,Minnesota,1981,2.4,5.5,7.9,55.4,0.8,4.1
24,Mississippi,1981,0.8,1.4,2.2,24,2.8,2.5
25,Missouri,1981,1.3,3.2,4.6,57.8,0.7,4.9
26,Montana,1981,0.3,0.9,1.2,10.2,4.4,0.8
27,Nebraska,1981,0.2,4.5,4.7,20.9,4.2,1.6
28,Nevada,1981,0.6,0.8,1.4,13.2,3.7,0.8
29,New Hampshire,1981,1.0,0.4,1.5,10.5,3.4,0.9
30,New Jersey,1981,7.6,6.6,14.2,98.8,2.1,7.4
31,New Mexico,1981,0.8,1.9,2.7,18.5,7.5,1.3
32,New York,1981,24.7,22.5,47.2,261.8,1.5,17.6
33,North Carolina,1981,1.4,3.6,5.0,65.9,2.4,6.0
34,North Dakota,1981,0.2,0.6,0.8,10,18.9,0.7
35,Ohio,1981,4.7,6.6,11.3,132.8,0.1,10.8
36,Oklahoma,1981,1.7,2.1,3.9,45.4,10.4,3.0
37,Oregon,1981,5.9,2.4,8.3,31.6,-3.8,2.7
38,Pennsylvania,1981,6.3,13.1,19.4,138.6,-0.5,11.9
39,Rhode Island,1981,1.7,0.6,2.3,10.7,1.8,1.0
40,South Carolina,1981,2.5,1.6,4.1,31,2.7,3.2
41,South Dakota,1981,0.7,0.4,1.1,7.7,3.5,0.7
42,Tennessee,1981,1.5,5.1,6.5,50.3,2.1,4.6
43,Texas,1981,2.7,19.9,22.5,245.2,10.3,14.5
44,All states combined,1981,135.0,229.0,364.0,"3,207.00",2.5,228.7
45,Utah,1981,0.6,1.6,2.2,17.3,3.3,1.5
46,Vermont,1981,0.7,0.2,0.9,5.4,2.3,0.5
47,Virginia,1981,2.1,4.1,6.3,66.2,3.1,5.4
48,Washington,1981,1.8,11.4,13.2,58.9,2.2,4.2
49,West Virginia,1981,1.8,1.9,3.7,19.8,-1.6,1.9
50,Wisconsin,1981,2.6,3.5,6.1,57.5,-0.7,4.7
51,Wyoming,1981,0.5,1.1,1.5,12.7,11.3,0.5
