State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,3.6,a,8,a,11.6,a,100.1,a,2.6,a,4.3,i
Alaska,3.2,a,3.6,a,6.8,a,26.7,a,3.2,a,0.6,i
Arizona,2.9,a,16.3,a,19.2,a,119.5,a,6.8,a,4.5,i
Arkansas,2.1,a,3.7,a,5.8,a,58,a,4.3,a,2.5,i
California,45.9,a,97.9,a,143.8,a,964.2,a,3.9,a,32.2,i
Colorado,3.6,a,15.7,a,19.3,a,121.1,a,5.5,a,3.9,i
Connecticut,21.5,a,4.1,a,25.6,a,129.1,a,2.9,a,3.4,i
Delaware,4.3,a,1.2,a,5.5,a,29.2,a,3.3,a,0.7,i
District of Columbia,0,a,4.1,a,4.1,a,47.8,a,-0.3,a,0.6,i
Florida,15.5,a,49.6,a,65.2,a,370.9,a,5,a,14.7,i
Georgia,6.2,a,17.5,a,23.7,a,220,a,6.2,a,7.5,i
Hawaii,5.1,a,2.1,a,7.2,a,38.1,a,-0.9,a,1.2,i
Idaho,1.5,a,0.9,a,2.3,a,28.9,a,2.3,a,1.2,i
Illinois,22.7,a,29.7,a,52.4,a,383.5,a,3.3,a,12,i
Indiana,6.1,a,9.3,a,15.4,a,158.4,a,3.4,a,5.9,i
Iowa,2.1,a,4.3,a,6.4,a,78.8,a,5.8,a,2.9,i
Kansas,1.2,a,6.9,a,8.1,a,69.6,a,4.7,a,2.6,i
Kentucky,7,a,12.4,a,19.4,a,96.6,a,3.2,a,3.9,i
Louisiana,7.5,a,8.9,a,16.3,a,118.8,a,3.4,a,4.4,i
Maine,3.2,a,1.5,a,4.7,a,29.3,a,2,a,1.3,i
Maryland,9.7,a,12.6,a,22.2,a,145,a,2.4,a,5.1,i
Massachusetts,29.3,a,11.3,a,40.6,a,210.6,a,5.3,a,6.2,i
Michigan,13.7,a,17.9,a,31.6,a,270.3,a,3.4,a,9.7,i
Minnesota,4.9,a,17.2,a,22.1,a,145.9,a,6,a,4.7,i
Mississippi,2.2,a,3.9,a,6.1,a,57.5,a,2.6,a,2.7,i
Missouri,7.1,a,6.7,a,13.9,a,148.3,a,3.9,a,5.4,i
Montana,2.2,a,0.7,a,2.9,a,18.1,a,1.6,a,0.9,i
Nebraska,1.4,a,4.8,a,6.2,a,49,a,6.7,a,1.7,i
Nevada,2.3,a,5.9,a,8.2,a,54.4,a,8.5,a,1.6,i
New Hampshire,5.8,a,1.1,a,6.9,a,34.6,a,6.5,a,1.2,i
New Jersey,25.6,a,16,a,41.6,a,278.2,a,3.7,a,8.1,i
New Mexico,2.1,a,3.3,a,5.4,a,44.5,a,3.8,a,1.7,i
New York,73.1,a,76.6,a,149.7,a,620.2,a,4.5,a,18.6,i
North Carolina,4.5,a,17,a,21.5,a,203.8,a,3.5,a,7.4,i
North Dakota,0.8,a,0.9,a,1.7,a,16.5,a,9.1,a,0.6,i
Ohio,12.6,a,16.3,a,29,a,311.1,a,2.7,a,11.1,i
Oklahoma,3.9,a,5.1,a,9,a,76.3,a,5.8,a,3.3,i
Oregon,6.1,a,6.4,a,12.5,a,93.3,a,12.4,a,3.2,i
Pennsylvania,15,a,43.4,a,58.5,a,325,a,2,a,12.1,i
Rhode Island,5.5,a,1,a,6.5,a,26.5,a,1.7,a,1,i
South Carolina,5.3,a,6.8,a,12.1,a,90.8,a,2.1,a,3.8,i
South Dakota,1.7,a,0.7,a,2.4,a,19.4,a,5.6,a,0.7,i
Tennessee,3.1,a,19.4,a,22.5,a,143.2,a,2.6,a,5.3,i
Texas,14.6,a,61.4,a,76,a,551.5,a,6.7,a,19.2,i
All states combined,452.4,a,717.3,a,"1,169.70",a,"8,073.10",a,3.8,a,267.9,i
Utah,2.5,a,9,a,11.5,a,52,a,9.3,a,2,i
Vermont,1.7,a,0.5,a,2.3,a,14.7,a,3.7,a,0.6,i
Virginia,8.8,a,15.4,a,24.2,a,197.8,a,4.3,a,6.7,i
Washington,9,a,22.8,a,31.8,a,166.5,a,5.5,a,5.5,i
West Virginia,2.8,a,3.7,a,6.5,a,37.2,a,1.1,a,1.8,i
Wisconsin,9.1,a,10.6,a,19.7,a,143.4,a,4.1,a,5.2,i
Wyoming,0.8,a,1.1,a,1.9,a,15.8,a,5.9,a,0.5,i
