State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,2.3,a,3.7,a,6,a,45.7,a,5.2,a,3.9,i
Alaska,4.7,a,3.8,a,8.5,a,22.6,a,-7.3,a,0.4,i
Arizona,0.6,a,7.1,a,7.7,a,39.8,a,6.9,a,3,i
Arkansas,0.7,a,2.5,a,3.2,a,25.3,a,3.4,a,2.3,i
California,12.1,a,21.8,a,33.8,a,426.1,a,4.1,a,25.4,i
Colorado,1.2,a,5.5,a,6.7,a,50.7,a,2.4,a,3,i
Connecticut,5.2,a,2.2,a,7.5,a,55.5,a,6.5,a,3.2,i
Delaware,1.6,a,0.7,a,2.3,a,10.6,a,7.5,a,0.6,i
District of Columbia,0,a,3,a,3,a,24.6,a,3,a,0.6,i
Florida,3.6,a,11.6,a,15.2,a,136.8,a,7.6,a,10.6,i
Georgia,1.8,a,6.7,a,8.6,a,76.7,a,7.9,a,5.7,i
Hawaii,2.3,a,0.3,a,2.7,a,17.3,a,5.5,a,1,i
Idaho,0.4,a,0.5,a,1,a,11.8,a,6.5,a,1,i
Illinois,7.9,a,10.8,a,18.7,a,173.1,a,1.4,a,11.4,i
Indiana,1.2,a,4.1,a,5.3,a,69.3,a,2.7,a,5.5,i
Iowa,0.6,a,2.4,a,3,a,37.5,a,-3.3,a,2.9,i
Kansas,0.4,a,5.2,a,5.6,a,35.3,a,1.3,a,2.4,i
Kentucky,3,a,6.3,a,9.4,a,44.1,a,0.6,a,3.7,i
Louisiana,5.2,a,6.5,a,11.8,a,76.9,a,-5.2,a,4.2,i
Maine,1.1,a,0.7,a,1.7,a,13.2,a,5.2,a,1.2,i
Maryland,4.7,a,6,a,10.7,a,62.2,a,6.3,a,4.4,i
Massachusetts,7.9,a,5.2,a,13.1,a,93.1,a,6.9,a,5.8,i
Michigan,4.7,a,9.2,a,13.9,a,127.8,a,6.7,a,9.3,i
Minnesota,2.8,a,8.9,a,11.6,a,62,a,3.7,a,4.2,i
Mississippi,0.9,a,1.7,a,2.7,a,26,a,1.5,a,2.5,i
Missouri,2.3,a,3.5,a,5.8,a,65.5,a,3.9,a,5,i
Montana,0.5,a,1,a,1.5,a,10.6,a,-0.2,a,0.8,i
Nebraska,0.4,a,4.9,a,5.3,a,21.8,a,-1.3,a,1.6,i
Nevada,0.8,a,1.3,a,2,a,15.1,a,4.4,a,0.9,i
New Hampshire,1.5,a,0.4,a,2,a,12.6,a,6.5,a,1,i
New Jersey,10.3,a,7.5,a,17.8,a,118,a,7.3,a,7.5,i
New Mexico,1.1,a,2.4,a,3.5,a,19.9,a,-0.6,a,1.4,i
New York,27.8,a,26.5,a,54.2,a,305.3,a,4.1,a,17.7,i
North Carolina,1.6,a,6.3,a,7.9,a,77.5,a,8.2,a,6.1,i
North Dakota,0.4,a,0.7,a,1,a,10,a,-2.9,a,0.6,i
Ohio,6.1,a,7.9,a,14,a,144.9,a,3.6,a,10.8,i
Oklahoma,1.3,a,3.8,a,5.1,a,47.7,a,-6.9,a,3.1,i
Oregon,6.6,a,2.8,a,9.4,a,33.7,a,2.7,a,2.7,i
Pennsylvania,6.5,a,14.9,a,21.3,a,152,a,3,a,11.9,i
Rhode Island,2.2,a,0.6,a,2.8,a,12.3,a,3.8,a,1,i
South Carolina,3.2,a,2.2,a,5.4,a,35.9,a,6.6,a,3.2,i
South Dakota,0.8,a,0.5,a,1.3,a,8.1,a,1.4,a,0.7,i
Tennessee,1.8,a,5.7,a,7.5,a,57.1,a,5.5,a,4.7,i
Texas,3,a,27.1,a,30.2,a,264.9,a,-2,a,15,i
All states combined,167,a,287,a,454,a,"3,634.00",a,4.6,a,233,i
Utah,1.1,a,4.1,a,5.2,a,19.8,a,3.5,a,1.5,i
Vermont,0.8,a,0.3,a,1.1,a,6.3,a,4.8,a,0.5,i
Virginia,2.7,a,4.7,a,7.4,a,79.4,a,7,a,5.6,i
Washington,2.5,a,14.4,a,17,a,67.9,a,3.9,a,4.3,i
West Virginia,1.7,a,2.2,a,3.9,a,20.4,a,-4.3,a,1.9,i
Wisconsin,3.2,a,3.7,a,6.9,a,63.2,a,2.2,a,4.8,i
Wyoming,0.6,a,1.2,a,1.8,a,11.6,a,-10.3,a,0.5,i
