State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,0.3,a,0.8,a,1.1,a,7.3,a,4.3,a,3.3,i
Alaska,0.1,a,0.1,a,0.2,a,1.1,a,4.3,a,0.2,i
Arizona,0,a,0.6,a,0.6,a,4.5,a,4.3,a,1.4,i
Arkansas,0.1,a,0.3,a,0.4,a,3.8,a,4.3,a,1.8,i
California,2.9,a,6.5,a,9.5,a,67.8,a,4.3,a,16.9,i
Colorado,0.1,a,0.6,a,0.7,a,5.9,a,4.3,a,1.9,i
Connecticut,1.1,a,0.9,a,2,a,9.9,a,4.3,a,2.7,i
Delaware,0.2,a,0.1,a,0.4,a,1.9,a,4.3,a,0.5,i
District of Columbia,0,a,0.3,a,0.3,a,5.1,a,4.3,a,0.8,i
Florida,0.5,a,1.9,a,2.4,a,14.7,a,4.3,a,5.4,i
Georgia,0.5,a,1,a,1.5,a,10.3,a,4.3,a,4.1,i
Hawaii,0.2,a,0.2,a,0.4,a,2.4,a,4.3,a,0.7,i
Idaho,0,a,0.1,a,0.2,a,1.8,a,4.4,a,0.7,i
Illinois,1,a,3.7,a,4.8,a,39.5,a,4.3,a,10.4,i
Indiana,0.5,a,0.9,a,1.3,a,15.6,a,4.3,a,4.8,i
Iowa,0,a,0.5,a,0.5,a,7.9,a,4.3,a,2.8,i
Kansas,0.2,a,0.7,a,0.9,a,6.1,a,4.3,a,2.2,i
Kentucky,0.6,a,0.7,a,1.3,a,8.4,a,4.3,a,3.1,i
Louisiana,0.5,a,1.2,a,1.7,a,9.7,a,4.3,a,3.4,i
Maine,0.1,a,0.1,a,0.3,a,2.4,a,4.3,a,1,i
Maryland,0.7,a,1.3,a,2.1,a,10.3,a,4.3,a,3.3,i
Massachusetts,1.5,a,1.6,a,3.1,a,17.4,a,4.3,a,5.3,i
Michigan,1,a,2.5,a,3.5,a,30.5,a,4.3,a,8.1,i
Minnesota,0.2,a,1.2,a,1.5,a,10.7,a,4.3,a,3.5,i
Mississippi,0.2,a,0.4,a,0.6,a,4.4,a,4.3,a,2.2,i
Missouri,0.1,a,1.1,a,1.2,a,13.6,a,4.3,a,4.4,i
Montana,0.1,a,0.2,a,0.2,a,2,a,4.4,a,0.7,i
Nebraska,0,a,0.6,a,0.6,a,4.3,a,4.3,a,1.4,i
Nevada,0,a,0.1,a,0.1,a,1.8,a,4.3,a,0.3,i
New Hampshire,0.1,a,0.1,a,0.2,a,1.7,a,4.4,a,0.6,i
New Jersey,1,a,2.1,a,3.1,a,23.4,a,4.3,a,6.4,i
New Mexico,0.1,a,0.2,a,0.3,a,3,a,4.3,a,1,i
New York,3.5,a,11.3,a,14.8,a,70.6,a,4.3,a,17.2,i
North Carolina,0.2,a,0.8,a,1,a,12.6,a,4.3,a,4.7,i
North Dakota,0,a,0.1,a,0.2,a,1.6,a,4.3,a,0.6,i
Ohio,0.8,a,2.9,a,3.8,a,33.3,a,4.3,a,10,i
Oklahoma,0.3,a,0.6,a,0.9,a,6.2,a,4.3,a,2.4,i
Oregon,0.4,a,0.4,a,0.8,a,5.7,a,4.3,a,1.9,i
Pennsylvania,1.6,a,4.1,a,5.6,a,34.5,a,4.3,a,11.5,i
Rhode Island,0.1,a,0.2,a,0.4,a,2.7,a,4.3,a,0.9,i
South Carolina,0.3,a,0.3,a,0.5,a,5.1,a,4.3,a,2.4,i
South Dakota,0,a,0.1,a,0.1,a,1.6,a,4.3,a,0.7,i
Tennessee,0.2,a,1.6,a,1.7,a,9.1,a,4.3,a,3.7,i
Texas,0.5,a,4,a,4.5,a,29.3,a,4.3,a,10,i
All states combined,23.2,a,61.9,a,85.1,a,637.5,a,4.4,a,186.2,i
Utah,0,a,0.3,a,0.3,a,3,a,4.3,a,0.9,i
Vermont,0.1,a,0.1,a,0.1,a,1,a,4.3,a,0.4,i
Virginia,0.2,a,1.1,a,1.3,a,11.7,a,4.3,a,4.2,i
Washington,0.5,a,2.1,a,2.6,a,11.2,a,4.3,a,3,i
West Virginia,0.3,a,0.2,a,0.5,a,4.6,a,4.3,a,1.8,i
Wisconsin,0.1,a,1.1,a,1.3,a,12.7,a,4.3,a,4.1,i
Wyoming,0,a,0.1,a,0.1,a,1.4,a,4.3,a,0.3,i
