State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,8.8,a,21.2,a,30,a,211.7,a,1.8,a,4.9,e
Alaska,5.9,a,3.5,a,9.5,a,51.7,a,-0.2,a,0.7,e
Arizona,14.3,a,32.8,a,47.1,a,326.5,a,3,a,7,e
Arkansas,4.8,a,11.6,a,16.4,a,123.7,a,0.9,a,3,e
California,152.8,a,314.7,a,467.5,a,"2,809.90",a,3.6,a,39.4,e
Colorado,17,a,40.4,a,57.3,a,347.2,a,3.1,a,5.6,e
Connecticut,38.8,a,11.2,a,50,a,265.5,a,-0.6,a,3.6,e
Delaware,4.6,a,2.5,a,7.1,a,72.2,a,-0.1,a,1,e
District of Columbia,0,a,14.9,a,14.9,a,134.9,a,1.7,a,0.7,e
Florida,28.8,a,105.9,a,134.7,a,979.5,a,2.5,a,21,e
Georgia,13.1,a,44.8,a,57.8,a,562.1,a,2.9,a,10.4,e
Hawaii,9.7,a,6.3,a,16,a,89,a,1.6,a,1.4,e
Idaho,3.4,a,2.7,a,6.1,a,72.4,a,2.4,a,1.7,e
Illinois,61.8,a,93.1,a,154.9,a,825.8,a,0.6,a,12.8,e
Indiana,21.8,a,25.9,a,47.7,a,351.1,a,1.6,a,6.7,e
Iowa,6.1,a,13.2,a,19.4,a,183,a,-0.3,a,3.1,e
Kansas,7.5,a,19.6,a,27.2,a,160.1,a,0.8,a,2.9,e
Kentucky,14.4,a,30.4,a,44.8,a,201,a,1.1,a,4.5,e
Louisiana,18.1,a,18.2,a,36.3,a,238.1,a,0.1,a,4.7,e
Maine,4.8,a,3.1,a,7.9,a,61.7,a,1.7,a,1.3,e
Maryland,28,a,26.5,a,54.5,a,398.4,a,2,a,6,e
Massachusetts,77,a,20,a,97,a,540.9,a,2.2,a,6.9,e
Michigan,33.5,a,38.6,a,72,a,505.8,a,1.6,a,10,e
Minnesota,16.4,a,36.7,a,53,a,352.3,a,2.1,a,5.6,e
Mississippi,7.5,a,7.1,a,14.6,a,109.9,a,0.5,a,3,e
Missouri,18.4,a,28.7,a,47.1,a,304.1,a,0.9,a,6.1,e
Montana,2.8,a,2.5,a,5.3,a,47.1,a,0.4,a,1.1,e
Nebraska,2,a,13.9,a,15.9,a,118.5,a,0.3,a,1.9,e
Nevada,3.2,a,24.1,a,27.4,a,157,a,2.5,a,3,e
New Hampshire,7.7,a,2.7,a,10.4,a,81.2,a,2,a,1.3,e
New Jersey,65.9,a,31.1,a,97,a,599.3,a,1.3,a,8.9,e
New Mexico,7.1,a,8.7,a,15.8,a,94.2,a,0,a,2.1,e
New York,139.2,a,211,a,350.3,a,"1,598.50",a,1.4,a,19.6,e
North Carolina,16.3,a,31,a,47.3,a,537.9,a,1.9,a,10.3,e
North Dakota,2.9,a,5.1,a,8,a,51.6,a,-1.6,a,0.8,e
Ohio,33.5,a,54.2,a,87.7,a,645.8,a,1.6,a,11.7,e
Oklahoma,8.5,a,10.3,a,18.7,a,187.3,a,0.2,a,3.9,e
Oregon,12.7,a,22.9,a,35.5,a,226.1,a,3.2,a,4.1,e
Pennsylvania,47.5,a,75.3,a,122.9,a,752.3,a,1.7,a,12.8,e
Rhode Island,8.9,a,2.7,a,11.6,a,59.3,a,0.8,a,1.1,e
South Carolina,15.7,a,23.3,a,39.1,a,221.9,a,2.6,a,5,e
South Dakota,3.5,a,2.7,a,6.2,a,49.6,a,-0.4,a,0.9,e
Tennessee,6.1,a,36.4,a,42.6,a,347.8,a,2.4,a,6.7,e
Texas,51,a,238.7,a,289.6,a,"1,654.50",a,2,a,28.3,e
All states combined,"1,155.50",a,"1,905.80",a,"3,061.30",a,"19,519.40",a,2.4,a,325,e
Utah,7.5,a,13.3,a,20.7,a,165.7,a,2.7,a,3.1,e
Vermont,3.5,a,1.3,a,4.8,a,32.6,a,1.3,a,0.6,e
Virginia,27.8,a,38.1,a,65.9,a,510.4,a,1.8,a,8.5,e
Washington,33.4,a,55.1,a,88.6,a,522.4,a,4.1,a,7.4,e
West Virginia,7.5,a,3.6,a,11.2,a,73.1,a,1.4,a,1.8,e
Wisconsin,23.3,a,23.1,a,46.3,a,321.6,a,1.4,a,5.8,e
Wyoming,0.8,a,1.2,a,2,a,37.6,a,0.5,a,0.6,e
