State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,0.4,a,0.9,a,1.3,a,9,a,7.5,a,3.4,i
Alaska,0.1,a,0.1,a,0.2,a,1.4,a,9.7,a,0.3,i
Arizona,0,a,0.6,a,0.7,a,5,a,2.5,a,1.5,i
Arkansas,0.1,a,0.4,a,0.5,a,4.4,a,5.3,a,1.9,i
California,3.7,a,7.5,a,11.2,a,78.3,a,4.5,a,17.7,i
Colorado,0.1,a,0.8,a,1,a,6.6,a,4.6,a,2,i
Connecticut,1.2,a,1,a,2.2,a,11.5,a,6.6,a,2.8,i
Delaware,0.3,a,0.3,a,0.6,a,2.3,a,9.8,a,0.5,i
District of Columbia,0,a,0.3,a,0.3,a,6,a,6.8,a,0.8,i
Florida,0.7,a,2.1,a,2.8,a,17.4,a,6.9,a,5.8,i
Georgia,0.6,a,1.1,a,1.7,a,12.5,a,9.3,a,4.3,i
Hawaii,0.3,a,0.2,a,0.5,a,2.8,a,8.8,a,0.7,i
Idaho,0,a,0.1,a,0.2,a,2.2,a,10.9,a,0.7,i
Illinois,1.1,a,3.9,a,5,a,46,a,6.3,a,10.6,i
Indiana,0.5,a,1,a,1.5,a,18.5,a,8.7,a,4.9,i
Iowa,0.1,a,0.5,a,0.6,a,9.2,a,8.2,a,2.8,i
Kansas,0.2,a,0.7,a,1,a,6.8,a,4.5,a,2.2,i
Kentucky,0.7,a,0.8,a,1.5,a,9.5,a,6.5,a,3.1,i
Louisiana,0.6,a,1.4,a,2,a,11.5,a,7.4,a,3.4,i
Maine,0.2,a,0.1,a,0.3,a,2.8,a,5.9,a,1,i
Maryland,0.8,a,1.5,a,2.2,a,12.3,a,7.8,a,3.5,i
Massachusetts,1.8,a,1.6,a,3.3,a,20,a,5.4,a,5.4,i
Michigan,1,a,2.9,a,3.8,a,37,a,11.5,a,8.3,i
Minnesota,0.3,a,1.3,a,1.6,a,12.5,a,8,a,3.6,i
Mississippi,0.3,a,0.5,a,0.8,a,4.9,a,6.9,a,2.2,i
Missouri,0.1,a,1.3,a,1.4,a,15.6,a,6.2,a,4.5,i
Montana,0.1,a,0.2,a,0.2,a,2.2,a,5.7,a,0.7,i
Nebraska,0,a,0.7,a,0.7,a,4.7,a,6,a,1.4,i
Nevada,0,a,0.2,a,0.2,a,2,a,3.2,a,0.4,i
New Hampshire,0.1,a,0.1,a,0.2,a,2,a,6.3,a,0.7,i
New Jersey,1.1,a,2.4,a,3.5,a,26.7,a,5.7,a,6.6,i
New Mexico,0.1,a,0.3,a,0.4,a,3.3,a,3,a,1,i
New York,4.1,a,12.5,a,16.6,a,80.3,a,4.5,a,17.5,i
North Carolina,0.2,a,0.9,a,1.1,a,14.5,a,5.9,a,4.8,i
North Dakota,0,a,0.2,a,0.2,a,1.8,a,12.6,a,0.6,i
Ohio,0.9,a,3.2,a,4.1,a,39.1,a,7.6,a,10.2,i
Oklahoma,0.4,a,0.7,a,1.1,a,7,a,4.5,a,2.4,i
Oregon,0.5,a,0.5,a,1,a,6.7,a,7.1,a,1.9,i
Pennsylvania,1.8,a,4.6,a,6.3,a,40.5,a,6.5,a,11.6,i
Rhode Island,0.2,a,0.3,a,0.5,a,3.2,a,7.6,a,0.9,i
South Carolina,0.2,a,0.3,a,0.6,a,6.2,a,10,a,2.5,i
South Dakota,0,a,0.1,a,0.1,a,1.8,a,8.4,a,0.7,i
Tennessee,0.2,a,1.6,a,1.8,a,10.8,a,8.9,a,3.7,i
Texas,0.5,a,4.5,a,5.1,a,33.9,a,6,a,10.4,i
All states combined,27,a,72.5,a,99.5,a,742.3,a,6.5,a,190.9,i
Utah,0,a,0.3,a,0.4,a,3.2,a,2.3,a,1,i
Vermont,0.1,a,0,a,0.1,a,1.2,a,8.8,a,0.4,i
Virginia,0.2,a,1.3,a,1.6,a,13.7,a,5.6,a,4.3,i
Washington,0.5,a,3,a,3.5,a,12.3,a,6.3,a,3.1,i
West Virginia,0.4,a,0.2,a,0.6,a,5.2,a,4.5,a,1.8,i
Wisconsin,0.2,a,1.2,a,1.5,a,14.8,a,5.8,a,4.2,i
Wyoming,0,a,0.1,a,0.1,a,1.4,a,1.2,a,0.3,i
