State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,0.7,a,1.8,a,2.5,a,12.5,a,-0.1,a,3.4,a
Alaska,0.2,a,0.2,a,0.4,a,2.4,a,8.1,a,0.3,a
Arizona,0.1,a,0.9,a,0.9,a,8.6,a,7.6,a,1.8,a
Arkansas,0.1,a,0.9,a,1,a,6.7,a,1.6,a,1.9,a
California,5.3,a,10.5,a,15.9,a,112,a,-0.2,a,20,a
Colorado,0.1,a,1.1,a,1.2,a,10.4,a,4.5,a,2.2,a
Connecticut,1.9,a,1.5,a,3.4,a,16.3,a,-0.6,a,3,a
Delaware,0.4,a,0.3,a,0.7,a,3.2,a,-2,a,0.5,a
District of Columbia,0,a,0.6,a,0.6,a,8.6,a,0.4,a,0.8,a
Florida,0.9,a,2.9,a,3.7,a,30.7,a,6.3,a,6.8,a
Georgia,0.9,a,1.7,a,2.6,a,19.4,a,1.7,a,4.6,a
Hawaii,0.5,a,0.3,a,0.8,a,4.8,a,7.3,a,0.8,a
Idaho,0,a,0.2,a,0.2,a,3,a,4.1,a,0.7,a
Illinois,1.3,a,5.4,a,6.7,a,62.8,a,-2,a,11.1,a
Indiana,0.6,a,1.5,a,2.1,a,24.5,a,-3.7,a,5.2,a
Iowa,0.1,a,0.9,a,1,a,13,a,-0.2,a,2.8,a
Kansas,0.2,a,0.9,a,1.2,a,9.8,a,1.1,a,2.2,a
Kentucky,1.2,a,1.4,a,2.6,a,13.9,a,0.3,a,3.2,a
Louisiana,0.9,a,2.2,a,3.1,a,17.2,a,0,a,3.6,a
Maine,0.2,a,0.2,a,0.4,a,4,a,1.8,a,1,a
Maryland,1.1,a,2.2,a,3.3,a,18.7,a,2.3,a,3.9,a
Massachusetts,1.9,a,2.3,a,4.2,a,29.1,a,0.4,a,5.7,a
Michigan,1,a,4.2,a,5.2,a,46.2,a,-8.4,a,8.9,a
Minnesota,0.5,a,2.2,a,2.6,a,18.7,a,0.5,a,3.8,a
Mississippi,0.5,a,0.8,a,1.2,a,7.3,a,1.3,a,2.2,a
Missouri,0.1,a,2.1,a,2.3,a,22.2,a,0.1,a,4.7,a
Montana,0.1,a,0.2,a,0.2,a,2.9,a,0.4,a,0.7,a
Nebraska,0.1,a,1.3,a,1.3,a,6.9,a,0.4,a,1.5,a
Nevada,0,a,0.3,a,0.4,a,3.3,a,5.1,a,0.5,a
New Hampshire,0.2,a,0.2,a,0.4,a,3.1,a,2.8,a,0.7,a
New Jersey,1.8,a,3.3,a,5,a,38.5,a,2,a,7.2,a
New Mexico,0.1,a,0.3,a,0.4,a,4.4,a,2.9,a,1,a
New York,7.4,a,16.4,a,23.8,a,112.3,a,-0.3,a,18.2,a
North Carolina,0.5,a,1.2,a,1.7,a,22.8,a,3.9,a,5.1,a
North Dakota,0,a,0.2,a,0.2,a,2.3,a,0,a,0.6,a
Ohio,1.6,a,4.2,a,5.9,a,53.7,a,-3.4,a,10.7,a
Oklahoma,0.7,a,0.9,a,1.6,a,10.4,a,2.4,a,2.6,a
Oregon,0.7,a,0.7,a,1.3,a,9.8,a,-0.5,a,2.1,a
Pennsylvania,3.2,a,5.8,a,9.1,a,56.7,a,-1.2,a,11.8,a
Rhode Island,0.4,a,0.4,a,0.8,a,4.3,a,-0.4,a,0.9,a
South Carolina,0.4,a,0.5,a,0.9,a,9.6,a,2.3,a,2.6,a
South Dakota,0,a,0.1,a,0.1,a,2.4,a,1.8,a,0.7,a
Tennessee,0.4,a,2.2,a,2.6,a,16.1,a,0.8,a,3.9,a
Texas,1,a,6,a,7,a,52.3,a,2.3,a,11.2,a
All states combined,42,a,101.6,a,143.6,a,"1,073.30",a,0.2,a,203.3,a
Utah,0.1,a,0.5,a,0.6,a,4.4,a,4.7,a,1.1,a
Vermont,0.2,a,0.1,a,0.3,a,2,a,4.6,a,0.4,a
Virginia,0.3,a,1.9,a,2.2,a,21,a,1.8,a,4.7,a
Washington,0.7,a,3.6,a,4.3,a,18.1,a,-4.9,a,3.4,a
West Virginia,0.6,a,0.3,a,0.9,a,7.1,a,5.5,a,1.7,a
Wisconsin,0.5,a,1.8,a,2.4,a,20.2,a,-1.7,a,4.4,a
Wyoming,0.1,a,0.2,a,0.2,a,1.9,a,2.5,a,0.3,a
