State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,8.7,a,20.2,a,28.9,a,203.4,a,0.5,a,4.9,e
Alaska,6,a,3.3,a,9.3,a,49.4,a,-1.8,a,0.7,e
Arizona,14.4,a,34.4,a,48.8,a,311.4,a,3.3,a,6.9,e
Arkansas,4.8,a,11.1,a,15.9,a,120.1,a,0.5,a,3,e
California,151.3,a,282.5,a,433.8,a,"2,663.40",a,3,a,39.2,e
Colorado,16.7,a,36.2,a,52.9,a,329.1,a,2.4,a,5.5,e
Connecticut,37,a,11.3,a,48.3,a,263,a,-0.2,a,3.6,e
Delaware,5,a,2.5,a,7.6,a,70.4,a,-2.9,a,0.9,e
District of Columbia,0,a,14.5,a,14.5,a,129.8,a,2,a,0.7,e
Florida,33.5,a,105.6,a,139.1,a,938.4,a,3.4,a,20.6,e
Georgia,13.1,a,44.8,a,57.9,a,538.2,a,3.3,a,10.3,e
Hawaii,9.2,a,6.2,a,15.4,a,85.9,a,2.3,a,1.4,e
Idaho,3.5,a,2.4,a,6,a,69.3,a,3.7,a,1.7,e
Illinois,65.8,a,85.9,a,151.7,a,805.4,a,0.3,a,12.8,e
Indiana,22.5,a,28.4,a,50.8,a,338.2,a,1.7,a,6.6,e
Iowa,6,a,12.6,a,18.5,a,180.4,a,0.4,a,3.1,e
Kansas,9.5,a,19.7,a,29.2,a,155.7,a,2.3,a,2.9,e
Kentucky,14.5,a,24.4,a,38.8,a,195.1,a,0.5,a,4.4,e
Louisiana,17.9,a,19.2,a,37.1,a,228.1,a,-1.2,a,4.7,e
Maine,4.8,a,3,a,7.8,a,59.6,a,2.1,a,1.3,e
Maryland,27.9,a,25,a,52.9,a,384.2,a,3.1,a,6,e
Massachusetts,76.9,a,18.1,a,95,a,519.7,a,1.7,a,6.8,e
Michigan,33.7,a,38.8,a,72.5,a,490.2,a,1.9,a,10,e
Minnesota,16.2,a,35,a,51.2,a,338.6,a,2,a,5.5,e
Mississippi,7.3,a,6.7,a,14,a,106.9,a,0.3,a,3,e
Missouri,19.1,a,26.8,a,45.9,a,296.1,a,-0.9,a,6.1,e
Montana,3.1,a,2.2,a,5.3,a,45.6,a,-1.1,a,1,e
Nebraska,2,a,13.3,a,15.3,a,116.1,a,0.5,a,1.9,e
Nevada,3.2,a,25.9,a,29.1,a,150.4,a,2.4,a,2.9,e
New Hampshire,7.9,a,2.6,a,10.4,a,78.4,a,1.9,a,1.3,e
New Jersey,66.7,a,33.4,a,100.1,a,581.3,a,0.7,a,8.9,e
New Mexico,7,a,8.4,a,15.3,a,91,a,0.1,a,2.1,e
New York,137.5,a,219,a,356.5,a,"1,541.50",a,1.4,a,19.6,e
North Carolina,16.9,a,30.3,a,47.2,a,518.2,a,1.1,a,10.2,e
North Dakota,2.4,a,4.4,a,6.8,a,50.8,a,-7.1,a,0.8,e
Ohio,33.2,a,52.1,a,85.2,a,621.4,a,0.7,a,11.6,e
Oklahoma,8.7,a,10,a,18.7,a,178.5,a,-2.8,a,3.9,e
Oregon,13.4,a,20.5,a,33.9,a,215.2,a,4.6,a,4.1,e
Pennsylvania,47.1,a,74.8,a,121.9,a,724.3,a,1.1,a,12.8,e
Rhode Island,9.1,a,2.7,a,11.7,a,57.7,a,0,a,1.1,e
South Carolina,16.2,a,27.4,a,43.6,a,212.7,a,2.8,a,5,e
South Dakota,3.4,a,2.4,a,5.8,a,48.5,a,0.3,a,0.9,e
Tennessee,6.1,a,36.6,a,42.7,a,334.4,a,1.9,a,6.6,e
Texas,49.4,a,230,a,279.3,a,"1,564.40",a,0.2,a,27.9,e
All states combined,"1,160.50",a,"1,842.20",a,"3,002.70",a,"18,715.00",a,1.6,a,322.9,e
Utah,7,a,11.4,a,18.4,a,157.9,a,3.9,a,3,e
Vermont,2.5,a,1.1,a,3.6,a,31.6,a,1.6,a,0.6,e
Virginia,28.6,a,37.5,a,66.1,a,493.9,a,0.3,a,8.4,e
Washington,33.1,a,52,a,85.1,a,492.9,a,3.8,a,7.3,e
West Virginia,7.2,a,3.5,a,10.7,a,69.8,a,-1.2,a,1.8,e
Wisconsin,23.1,a,0,a,23.1,a,312.1,a,1.1,a,5.8,e
Wyoming,0.8,a,1.1,a,1.9,a,35.9,a,-3.8,a,0.6,e
