State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,3.3,a,5.1,a,8.4,a,60.8,a,5.6,a,4,i
Alaska,6.2,a,5,a,11.2,a,22.9,a,16.6,a,0.5,i
Arizona,1.9,a,13.1,a,15.1,a,60,a,4.9,a,3.4,i
Arkansas,1.4,a,2.8,a,4.3,a,32.7,a,3.5,a,2.3,i
California,22.4,a,54.4,a,76.8,a,615.4,a,6.6,a,27.8,i
Colorado,2.3,a,9.3,a,11.6,a,63.9,a,2.3,a,3.2,i
Connecticut,8,a,2.8,a,10.8,a,83,a,7.5,a,3.2,i
Delaware,2.8,a,1,a,3.8,a,15.6,a,7.5,a,0.6,i
District of Columbia,0,a,3.7,a,3.7,a,32.1,a,4.2,a,0.6,i
Florida,7.8,a,33.1,a,40.9,a,204.8,a,7.5,a,11.9,i
Georgia,2.6,a,12.2,a,14.8,a,117,a,5.7,a,6.2,i
Hawaii,2.9,a,0.6,a,3.5,a,24.3,a,5.6,a,1.1,i
Idaho,0.6,a,0.6,a,1.2,a,14,a,3.3,a,1,i
Illinois,12.7,a,14.3,a,27,a,231.2,a,3.2,a,11.4,i
Indiana,2.7,a,5.3,a,8,a,91.7,a,3.5,a,5.5,i
Iowa,1.8,a,3.1,a,4.9,a,45.3,a,2.2,a,2.8,i
Kansas,0.4,a,6.4,a,6.8,a,44.2,a,3.1,a,2.4,i
Kentucky,4.7,a,7.8,a,12.5,a,56.3,a,3.2,a,3.7,i
Louisiana,10.2,a,8.1,a,18.4,a,78.5,a,-0.7,a,4.2,i
Maine,1.6,a,1,a,2.6,a,19.2,a,7.6,a,1.2,i
Maryland,5.3,a,8.5,a,13.9,a,91.4,a,6.5,a,4.6,i
Massachusetts,12.8,a,6.5,a,19.3,a,138.9,a,6.6,a,5.9,i
Michigan,7.7,a,10.8,a,18.5,a,169.2,a,1,a,9.3,i
Minnesota,3.6,a,13.8,a,17.4,a,85.4,a,4.9,a,4.3,i
Mississippi,1.3,a,4.1,a,5.5,a,33.5,a,5.6,a,2.6,i
Missouri,4.3,a,4.5,a,8.8,a,88.9,a,4.1,a,5.1,i
Montana,1.1,a,1.1,a,2.2,a,11.4,a,1.2,a,0.8,i
Nebraska,1.5,a,4.7,a,6.2,a,26.8,a,0.3,a,1.6,i
Nevada,1.3,a,2.1,a,3.4,a,22,a,8.6,a,1.1,i
New Hampshire,2.4,a,0.7,a,3.1,a,21,a,11.5,a,1,i
New Jersey,17.5,a,11.9,a,29.4,a,174.6,a,7.3,a,7.6,i
New Mexico,1.8,a,3.5,a,5.3,a,22.4,a,0.4,a,1.4,i
New York,40.6,a,36.9,a,77.5,a,418.3,a,4.6,a,17.9,i
North Carolina,2.7,a,11,a,13.8,a,113.3,a,5.5,a,6.4,i
North Dakota,0.8,a,0.8,a,1.6,a,10.3,a,2.9,a,0.6,i
Ohio,9.4,a,9.8,a,19.3,a,191.8,a,2.5,a,10.8,i
Oklahoma,4.1,a,4.2,a,8.3,a,49.1,a,-2.3,a,3.1,i
Oregon,7.1,a,3.7,a,10.9,a,44.6,a,4.3,a,2.8,i
Pennsylvania,8.8,a,27.9,a,36.7,a,202.9,a,5.7,a,11.9,i
Rhode Island,2.8,a,0.6,a,3.4,a,17.9,a,5,a,1,i
South Carolina,3.7,a,5.2,a,9,a,52.7,a,7.7,a,3.4,i
South Dakota,1.5,a,0.4,a,2,a,10.7,a,3.4,a,0.7,i
Tennessee,2.3,a,8.8,a,11.1,a,80.7,a,7.5,a,4.8,i
Texas,6.5,a,49.2,a,55.7,a,300.7,a,-0.8,a,16.1,i
All states combined,265.7,a,453,a,718.7,a,"4,855.20",a,3.5,a,241.8,i
Utah,1.4,a,7.9,a,9.3,a,25.1,a,0.9,a,1.6,i
Vermont,1,a,0.4,a,1.3,a,9.2,a,9.4,a,0.5,i
Virginia,4.2,a,6.9,a,11.1,a,117.6,a,6.9,a,5.9,i
Washington,3.8,a,16.1,a,20,a,90.3,a,4.9,a,4.6,i
West Virginia,2.2,a,3,a,5.2,a,23.4,a,-0.1,a,1.8,i
Wisconsin,4.8,a,5.1,a,9.9,a,82,a,2.8,a,4.8,i
Wyoming,0.8,a,1.4,a,2.2,a,10.4,a,-3.8,a,0.5,i
