State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,3.2,a,4.5,a,7.7,a,53.8,a,4.3,a,4,i
Alaska,5.7,a,4.2,a,9.9,a,26.1,a,6.5,a,0.5,i
Arizona,0.7,a,11.1,a,11.8,a,50.7,a,6.5,a,3.2,i
Arkansas,0.8,a,2.5,a,3.3,a,29.3,a,-0.1,a,2.3,i
California,16.1,a,34.3,a,50.4,a,523.9,a,5.3,a,26.5,i
Colorado,1.5,a,7.4,a,9,a,59.6,a,2.8,a,3.1,i
Connecticut,6.4,a,2.3,a,8.7,a,69.2,a,5.5,a,3.2,i
Delaware,1.8,a,0.8,a,2.6,a,13.1,a,6.4,a,0.6,i
District of Columbia,0,a,3.4,a,3.4,a,28.5,a,4,a,0.6,i
Florida,5,a,21.1,a,26.1,a,170.9,a,6.2,a,11.2,i
Georgia,2.2,a,9.1,a,11.3,a,98.2,a,7.6,a,5.9,i
Hawaii,2.7,a,0.3,a,3.1,a,20.7,a,5,a,1,i
Idaho,0.6,a,0.5,a,1.1,a,13,a,0.5,a,1,i
Illinois,9.8,a,11.9,a,21.7,a,206.3,a,2.9,a,11.4,i
Indiana,1.7,a,5.4,a,7.1,a,82,a,0.8,a,5.5,i
Iowa,1.3,a,2.8,a,4.1,a,42.4,a,-0.3,a,2.8,i
Kansas,0.3,a,5.7,a,6,a,40.7,a,2.5,a,2.4,i
Kentucky,3.6,a,6.7,a,10.4,a,51.9,a,1.9,a,3.7,i
Louisiana,8.1,a,7.2,a,15.3,a,84.4,a,-1,a,4.2,i
Maine,1.2,a,0.7,a,2,a,16,a,4.4,a,1.2,i
Maryland,5.1,a,7.2,a,12.3,a,76.9,a,6.6,a,4.5,i
Massachusetts,10.1,a,5.3,a,15.4,a,116.6,a,6.2,a,5.9,i
Michigan,5.9,a,9.3,a,15.2,a,153.6,a,3.6,a,9.3,i
Minnesota,3.5,a,10.5,a,14,a,75.8,a,3,a,4.2,i
Mississippi,1,a,2.2,a,3.2,a,30.1,a,1.6,a,2.5,i
Missouri,3.3,a,3.9,a,7.2,a,77.9,a,1.3,a,5,i
Montana,0.7,a,1.1,a,1.9,a,10.9,a,-3.7,a,0.8,i
Nebraska,1,a,4.9,a,6,a,25.7,a,1.2,a,1.6,i
Nevada,1.1,a,1.7,a,2.8,a,17.9,a,5.3,a,1,i
New Hampshire,2,a,0.5,a,2.5,a,16.6,a,8.8,a,1,i
New Jersey,13.4,a,9.3,a,22.6,a,145.9,a,5.9,a,7.5,i
New Mexico,1.3,a,2.7,a,4,a,22.5,a,2.1,a,1.4,i
New York,32.4,a,30.1,a,62.5,a,364.3,a,4,a,17.8,i
North Carolina,2.2,a,7.9,a,10,a,96.5,a,6.2,a,6.2,i
North Dakota,0.6,a,0.7,a,1.3,a,10.7,a,-2.9,a,0.6,i
Ohio,8.2,a,8.4,a,16.6,a,174.2,a,3,a,10.8,i
Oklahoma,3.6,a,3.8,a,7.4,a,52.8,a,-0.3,a,3.1,i
Oregon,6.6,a,3.3,a,9.9,a,39.4,a,2.1,a,2.7,i
Pennsylvania,7.3,a,17.9,a,25.2,a,176.9,a,2.4,a,11.9,i
Rhode Island,2.8,a,0.6,a,3.4,a,15.2,a,6.9,a,1,i
South Carolina,3.4,a,3.3,a,6.7,a,44,a,3.5,a,3.3,i
South Dakota,1.1,a,0.5,a,1.6,a,9.6,a,1.1,a,0.7,i
Tennessee,1.9,a,6.4,a,8.3,a,68.4,a,3.7,a,4.7,i
Texas,5.2,a,37.2,a,42.4,a,307.2,a,3.2,a,15.5,i
All states combined,211.9,a,357,a,568.9,a,"4,339.00",a,4.2,a,237.4,i
Utah,1.3,a,6.6,a,7.9,a,24.1,a,5.4,a,1.6,i
Vermont,0.9,a,0.3,a,1.2,a,7.5,a,5.8,a,0.5,i
Virginia,3.3,a,5.4,a,8.8,a,98,a,5.8,a,5.8,i
Washington,3,a,14.8,a,17.9,a,77.3,a,1.1,a,4.5,i
West Virginia,1.6,a,2.8,a,4.4,a,22.9,a,0.3,a,1.9,i
Wisconsin,4.5,a,4.3,a,8.8,a,73.8,a,2.2,a,4.8,i
Wyoming,0.8,a,1.5,a,2.3,a,12.2,a,-2.6,a,0.5,i
