State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,4.2,a,7.3,a,11.4,a,84.6,a,1.7,a,4.2,i
Alaska,4.4,a,3.8,a,8.3,a,23.3,a,0,a,0.6,i
Arizona,3.1,a,15.6,a,18.7,a,89.3,a,5.5,a,4.1,i
Arkansas,1.9,a,3.1,a,5,a,47.6,a,3.2,a,2.4,i
California,41.3,a,81.6,a,122.9,a,826.4,a,0,a,30.9,i
Colorado,3.1,a,11.3,a,14.4,a,95.7,a,7,a,3.6,i
Connecticut,12.8,a,4,a,16.8,a,107.7,a,-0.5,a,3.3,i
Delaware,3.5,a,1.2,a,4.7,a,23.5,a,0.2,a,0.7,i
District of Columbia,0,a,5.1,a,5.1,a,45.4,a,2.6,a,0.6,i
Florida,13.6,a,45.4,a,59.1,a,304.4,a,4.5,a,13.8,i
Georgia,4.5,a,15.6,a,20.1,a,171.7,a,4.8,a,6.9,i
Hawaii,5,a,1.7,a,6.7,a,36.7,a,-0.7,a,1.1,i
Idaho,1.3,a,0.7,a,2,a,23.1,a,9.4,a,1.1,i
Illinois,19.9,a,23.9,a,43.8,a,320.1,a,2.1,a,11.7,i
Indiana,5.5,a,7.4,a,12.8,a,132.1,a,3.5,a,5.7,i
Iowa,1.8,a,4,a,5.8,a,63.4,a,0.1,a,2.8,i
Kansas,0.9,a,7,a,8,a,59,a,1.2,a,2.5,i
Kentucky,6.8,a,10.5,a,17.3,a,81.6,a,2.8,a,3.8,i
Louisiana,9.6,a,8.3,a,17.8,a,95.9,a,3,a,4.3,i
Maine,3,a,1.5,a,4.5,a,25.2,a,1.2,a,1.2,i
Maryland,8.7,a,11.3,a,20.1,a,125.5,a,2.6,a,4.9,i
Massachusetts,25.4,a,9.1,a,34.5,a,173.5,a,1.2,a,6.1,i
Michigan,11,a,16.3,a,27.3,a,226.4,a,4.3,a,9.5,i
Minnesota,4.1,a,17,a,21.1,a,117.9,a,0.6,a,4.5,i
Mississippi,1.7,a,3.5,a,5.2,a,47.3,a,5.1,a,2.7,i
Missouri,6.5,a,5.6,a,12.1,a,118.9,a,0.7,a,5.3,i
Montana,1.7,a,0.9,a,2.7,a,16.1,a,5,a,0.8,i
Nebraska,1.6,a,4.6,a,6.2,a,39.4,a,0.6,a,1.6,i
Nevada,1.7,a,4.9,a,6.6,a,40,a,8.5,a,1.4,i
New Hampshire,5.2,a,1,a,6.3,a,27.4,a,1.5,a,1.1,i
New Jersey,21.8,a,15.7,a,37.5,a,240.4,a,1.8,a,7.9,i
New Mexico,1.6,a,2.9,a,4.5,a,36.9,a,10.4,a,1.6,i
New York,59.2,a,63.4,a,122.6,a,537.5,a,1,a,18.3,i
North Carolina,4,a,14.6,a,18.6,a,168,a,3,a,7,i
North Dakota,0.8,a,1,a,1.8,a,13,a,-1.2,a,0.6,i
Ohio,12.5,a,14.2,a,26.7,a,259.6,a,1.2,a,11,i
Oklahoma,3.9,a,4.9,a,8.8,a,65.6,a,2.9,a,3.2,i
Oregon,5.8,a,4.9,a,10.7,a,69.4,a,7,a,3,i
Pennsylvania,13,a,38,a,51,a,281.7,a,2,a,12,i
Rhode Island,5,a,0.7,a,5.7,a,23.6,a,1.6,a,1,i
South Carolina,4.9,a,6.2,a,11.1,a,76.2,a,3.5,a,3.6,i
South Dakota,1.8,a,0.6,a,2.4,a,16.1,a,5.7,a,0.7,i
Tennessee,2.6,a,9.9,a,12.5,a,119.6,a,4.6,a,5.1,i
Texas,8.7,a,59.8,a,68.5,a,443.8,a,4.1,a,18.1,i
All states combined,389.7,a,628,a,"1,017.70",a,"6,858.60",a,2.8,a,258.1,i
Utah,2.2,a,8.4,a,10.6,a,38.6,a,6,a,1.9,i
Vermont,1.4,a,0.5,a,1.9,a,13,a,1.5,a,0.6,i
Virginia,7.4,a,13.2,a,20.6,a,167.7,a,3,a,6.4,i
Washington,7.8,a,22.1,a,29.9,a,142.5,a,3.5,a,5.2,i
West Virginia,2.7,a,3.7,a,6.4,a,31.9,a,2.4,a,1.8,i
Wisconsin,7.7,a,9,a,16.6,a,120,a,3.8,a,5,i
Wyoming,0.8,a,1.1,a,1.9,a,13.8,a,2.2,a,0.5,i
