State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,3.9,a,7.4,a,11.3,a,90.1,a,4.3,a,4.2,i
Alaska,3.6,a,3.8,a,7.4,a,23.6,a,-0.7,a,0.6,i
Arizona,3.2,a,16,a,19.2,a,100.4,a,10.1,a,4.2,i
Arkansas,1.8,a,3.2,a,5,a,51.4,a,5.8,a,2.5,i
California,48.1,a,92.8,a,140.9,a,861.4,a,2,a,31.3,i
Colorado,3.3,a,14.7,a,17.9,a,104.5,a,7,a,3.7,i
Connecticut,13.6,a,4.4,a,18,a,113.1,a,2.9,a,3.3,i
Delaware,3.4,a,1.2,a,4.6,a,25.6,a,6.8,a,0.7,i
District of Columbia,0,a,4.4,a,4.4,a,46.7,a,0.7,a,0.6,i
Florida,14.6,a,45.9,a,60.5,a,327.2,a,5.2,a,14.1,i
Georgia,5.2,a,15.5,a,20.7,a,188,a,7.2,a,7.1,i
Hawaii,5.1,a,1.9,a,7.1,a,37.4,a,-0.3,a,1.1,i
Idaho,1.3,a,0.9,a,2.1,a,25.5,a,7.9,a,1.1,i
Illinois,20.4,a,26.1,a,46.4,a,348,a,6.4,a,11.8,i
Indiana,5.6,a,7.7,a,13.2,a,143.3,a,6.2,a,5.8,i
Iowa,2,a,3.9,a,5.9,a,70.2,a,8.4,a,2.8,i
Kansas,1.1,a,6.9,a,8,a,63.3,a,5.1,a,2.6,i
Kentucky,6.7,a,12,a,18.7,a,87.6,a,5.1,a,3.8,i
Louisiana,8.8,a,8.2,a,17,a,105.1,a,7.4,a,4.3,i
Maine,3,a,1.6,a,4.6,a,26.5,a,3.1,a,1.2,i
Maryland,9.1,a,11.9,a,21.1,a,133.3,a,4,a,5,i
Massachusetts,26.7,a,9.2,a,35.9,a,185.7,a,4.8,a,6.1,i
Michigan,11.5,a,16.6,a,28.1,a,251.5,a,8.8,a,9.5,i
Minnesota,4.4,a,17.6,a,22,a,128.2,a,6.4,a,4.6,i
Mississippi,2.1,a,3.7,a,5.8,a,51.6,a,6.7,a,2.7,i
Missouri,6.5,a,6.2,a,12.7,a,130.6,a,7.5,a,5.3,i
Montana,2.1,a,0.8,a,3,a,17.1,a,4.1,a,0.8,i
Nebraska,1.5,a,4.7,a,6.2,a,43.5,a,8.2,a,1.6,i
Nevada,1.7,a,5,a,6.6,a,45.2,a,10.5,a,1.5,i
New Hampshire,5.7,a,1,a,6.7,a,29.2,a,4.5,a,1.2,i
New Jersey,22.9,a,16.5,a,39.3,a,251.6,a,2.5,a,8,i
New Mexico,1.7,a,2.9,a,4.7,a,41.7,a,10.7,a,1.6,i
New York,65.1,a,68.3,a,133.4,a,555.3,a,1.2,a,18.4,i
North Carolina,4.5,a,15.6,a,20.2,a,181.3,a,5.7,a,7.2,i
North Dakota,0.8,a,1,a,1.7,a,14.3,a,7.3,a,0.6,i
Ohio,12.1,a,15.4,a,27.5,a,281.9,a,6.3,a,11,i
Oklahoma,3.9,a,4.9,a,8.7,a,68.3,a,1.9,a,3.3,i
Oregon,5.6,a,5.3,a,11,a,75.4,a,6.4,a,3.1,i
Pennsylvania,13.7,a,41.6,a,55.3,a,296.6,a,3.1,a,12,i
Rhode Island,5.5,a,0.8,a,6.3,a,24.4,a,1.2,a,1,i
South Carolina,5,a,7.2,a,12.2,a,82.1,a,5.5,a,3.7,i
South Dakota,1.7,a,0.6,a,2.3,a,17.3,a,5.4,a,0.7,i
Tennessee,2.6,a,9.8,a,12.5,a,129.9,a,6.4,a,5.2,i
Texas,9.4,a,60.3,a,69.7,a,476,a,5,a,18.4,i
All states combined,411,a,663.7,a,"1,074.70",a,"7,287.20",a,4,a,261.3,i
Utah,2.1,a,8.5,a,10.6,a,42.6,a,7.9,a,1.9,i
Vermont,1.6,a,0.5,a,2.1,a,13.7,a,2.9,a,0.6,i
Virginia,7.9,a,14.1,a,22,a,177.1,a,3.4,a,6.5,i
Washington,8.3,a,20.5,a,28.8,a,150.8,a,3.6,a,5.3,i
West Virginia,2.5,a,3.8,a,6.3,a,34.6,a,6.2,a,1.8,i
Wisconsin,7.7,a,9.6,a,17.4,a,129.4,a,5.6,a,5.1,i
Wyoming,0.7,a,1.1,a,1.8,a,14.1,a,-0.1,a,0.5,i
