State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,3.2,a,5.9,a,9,a,66,a,5,a,4,i
Alaska,6.1,a,4.8,a,10.9,a,21.3,a,-10.4,a,0.5,i
Arizona,2,a,16.7,a,18.7,a,64.9,a,4.5,a,3.5,i
Arkansas,1.6,a,2.7,a,4.4,a,35,a,3.5,a,2.3,i
California,24.1,a,52.4,a,76.5,a,671.6,a,5.4,a,28.4,i
Colorado,2.3,a,9.7,a,12,a,67.8,a,2.4,a,3.2,i
Connecticut,8.3,a,2.9,a,11.1,a,90.7,a,5.6,a,3.3,i
Delaware,2.8,a,1,a,3.7,a,16.9,a,4.8,a,0.7,i
District of Columbia,0,a,3.8,a,3.8,a,35.2,a,5.9,a,0.6,i
Florida,8.3,a,35,a,43.3,a,224.8,a,6,a,12.2,i
Georgia,3.1,a,12.5,a,15.6,a,126.6,a,4.5,a,6.3,i
Hawaii,2.9,a,0.7,a,3.6,a,26.8,a,6.6,a,1.1,i
Idaho,0.7,a,0.5,a,1.2,a,15.3,a,5.5,a,1,i
Illinois,13.1,a,15,a,28.1,a,252.2,a,5.4,a,11.4,i
Indiana,3.1,a,5,a,8.1,a,99.5,a,4.9,a,5.5,i
Iowa,1.4,a,3.3,a,4.7,a,49.1,a,4.7,a,2.8,i
Kansas,0.4,a,6.7,a,7.1,a,46.7,a,2.1,a,2.5,i
Kentucky,5,a,7.9,a,12.9,a,61.9,a,6.2,a,3.7,i
Louisiana,11.3,a,8.6,a,19.9,a,83.2,a,2.4,a,4.2,i
Maine,1.7,a,1,a,2.7,a,21.4,a,7.7,a,1.2,i
Maryland,5.6,a,8.8,a,14.4,a,101.3,a,7.1,a,4.7,i
Massachusetts,13.8,a,7,a,20.8,a,151.6,a,5.4,a,6,i
Michigan,8.5,a,11.1,a,19.6,a,180.6,a,3.1,a,9.3,i
Minnesota,3.6,a,14.2,a,17.8,a,91.9,a,4,a,4.3,i
Mississippi,1.5,a,3.3,a,4.7,a,35.5,a,2.4,a,2.6,i
Missouri,4.6,a,4.6,a,9.2,a,95.8,a,4,a,5.1,i
Montana,1.2,a,1.1,a,2.3,a,11.7,a,-0.7,a,0.8,i
Nebraska,1.4,a,4.8,a,6.2,a,29.3,a,5.6,a,1.6,i
Nevada,1.4,a,2.5,a,3.8,a,25,a,10,a,1.1,i
New Hampshire,2.7,a,0.7,a,3.5,a,22.9,a,5.5,a,1.1,i
New Jersey,17.4,a,12.7,a,30.1,a,194.7,a,7.7,a,7.7,i
New Mexico,1.7,a,3.5,a,5.2,a,23.5,a,1,a,1.5,i
New York,41.9,a,38.5,a,80.4,a,456.6,a,5.4,a,17.9,i
North Carolina,2.7,a,11.3,a,14,a,124.3,a,6,a,6.5,i
North Dakota,0.8,a,0.8,a,1.6,a,9.7,a,-8.6,a,0.6,i
Ohio,9.8,a,10.5,a,20.3,a,205.3,a,3.4,a,10.8,i
Oklahoma,3.8,a,4.3,a,8,a,52.7,a,3.7,a,3.1,i
Oregon,6.8,a,3.7,a,10.5,a,49.1,a,6.4,a,2.8,i
Pennsylvania,9.3,a,30.1,a,39.4,a,220.6,a,5,a,11.9,i
Rhode Island,2.9,a,0.7,a,3.5,a,19.7,a,6.6,a,1,i
South Carolina,3.6,a,5.2,a,8.9,a,57.3,a,5.1,a,3.4,i
South Dakota,1.6,a,0.4,a,2,a,11.2,a,1.2,a,0.7,i
Tennessee,2.3,a,8.9,a,11.2,a,87.4,a,4.5,a,4.8,i
Texas,7.1,a,52.2,a,59.3,a,327.4,a,5.2,a,16.4,i
All states combined,277,a,478,a,755,a,"5,236.40",a,4.2,a,244.1,i
Utah,1.5,a,7.8,a,9.3,a,27.3,a,5.2,a,1.7,i
Vermont,0.9,a,0.4,a,1.3,a,10.3,a,8.2,a,0.6,i
Virginia,4.5,a,7.5,a,12,a,128.1,a,5.2,a,6,i
Washington,4.3,a,16,a,20.3,a,99.1,a,5.9,a,4.7,i
West Virginia,2.5,a,3,a,5.4,a,25.9,a,6.7,a,1.8,i
Wisconsin,5,a,5.2,a,10.2,a,89.6,a,5.6,a,4.9,i
Wyoming,0.8,a,1.4,a,2.2,a,11,a,2.4,a,0.5,i
