State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,6.4,a,15.9,a,22.3,a,163.9,a,1.9,a,4.6,i
Alaska,6.3,a,3.2,a,9.4,a,44.4,a,7.7,a,0.7,i
Arizona,8.4,a,26,a,34.4,a,248.2,a,5.4,a,6.2,i
Arkansas,4.5,a,7.3,a,11.8,a,94.4,a,2.2,a,2.8,i
California,109.4,a,191.3,a,300.7,a,"1,874.70",a,4.1,a,36,i
Colorado,13,a,26.7,a,39.7,a,231.2,a,2.1,a,4.8,i
Connecticut,24,a,8.2,a,32.2,a,222.9,a,3.8,a,3.5,i
Delaware,4.2,a,1.9,a,6.1,a,55.1,a,2.5,a,0.9,i
District of Columbia,0,a,8,a,8,a,88.5,a,0.3,a,0.6,i
Florida,29.3,a,90.5,a,119.8,a,744.5,a,3.5,a,18.1,i
Georgia,10.5,a,31.6,a,42.1,a,402.1,a,1.1,a,9.3,i
Hawaii,5.8,a,3.7,a,9.5,a,62.4,a,2.7,a,1.3,i
Idaho,2.5,a,2,a,4.4,a,51,a,4,a,1.5,i
Illinois,53.6,a,57.1,a,110.8,a,621.9,a,2.7,a,12.7,i
Indiana,17.3,a,17,a,34.3,a,255.1,a,2,a,6.3,i
Iowa,6.6,a,7.2,a,13.8,a,126.9,a,1.4,a,3,i
Kansas,5.7,a,14.2,a,19.9,a,112.7,a,5.4,a,2.8,i
Kentucky,9.8,a,22.7,a,32.4,a,151,a,2.7,a,4.2,i
Louisiana,11.7,a,13,a,24.7,a,205.8,a,-0.9,a,4.2,i
Maine,5,a,2.5,a,7.5,a,47.9,a,1.2,a,1.3,i
Maryland,16.4,a,14.3,a,30.7,a,279.5,a,1.9,a,5.6,i
Massachusetts,63.8,a,21.6,a,85.4,a,361.3,a,1.8,a,6.5,i
Michigan,27.3,a,41.8,a,69.1,a,395.5,a,-1.7,a,10.1,i
Minnesota,7.4,a,29.2,a,36.6,a,249.7,a,0,a,5.1,i
Mississippi,4.9,a,6.3,a,11.2,a,85.9,a,2.6,a,2.9,i
Missouri,17.7,a,16.3,a,33.9,a,231.8,a,0.7,a,5.9,i
Montana,4.4,a,1.4,a,5.8,a,32.9,a,3.7,a,0.9,i
Nebraska,2,a,7.5,a,9.5,a,78.2,a,2.8,a,1.8,i
Nevada,4.1,a,16.5,a,20.6,a,127.6,a,3.9,a,2.5,i
New Hampshire,7.4,a,2.5,a,10,a,59.4,a,2.5,a,1.3,i
New Jersey,50.2,a,31.5,a,81.7,a,464.5,a,2.1,a,8.6,i
New Mexico,6.3,a,4.4,a,10.7,a,77.4,a,2.5,a,1.9,i
New York,105.3,a,136.1,a,241.4,a,"1,071.40",a,2.5,a,19.4,i
North Carolina,17.7,a,26.2,a,43.9,a,383.5,a,6.2,a,8.9,i
North Dakota,1.8,a,1.7,a,3.5,a,26.1,a,4,a,0.6,i
Ohio,24.7,a,39,a,63.7,a,477.2,a,-0.5,a,11.5,i
Oklahoma,8.1,a,7.1,a,15.2,a,137.1,a,6.7,a,3.6,i
Oregon,11,a,15.9,a,26.9,a,155.2,a,6,a,3.7,i
Pennsylvania,32.1,a,74.7,a,106.8,a,526.4,a,0.7,a,12.5,i
Rhode Island,7,a,2,a,8.9,a,47.7,a,2.3,a,1.1,i
South Carolina,13.7,a,18.4,a,32.2,a,150.7,a,2.3,a,4.3,i
South Dakota,3.1,a,1.4,a,4.6,a,31.9,a,1.5,a,0.8,i
Tennessee,3.8,a,24.3,a,28.2,a,240.2,a,2.6,a,6.1,i
Texas,24.5,a,143.1,a,167.6,a,"1,085.30",a,6.8,a,23.4,i
All states combined,870,a,"1,334.00",a,"2,204.00",a,"13,814.60",a,2.9,a,298.6,i
Utah,5.9,a,9.4,a,15.3,a,106.1,a,8.8,a,2.6,i
Vermont,3,a,0.9,a,3.9,a,24.3,a,0.8,a,0.6,i
Virginia,17.6,a,28.8,a,46.4,a,379.1,a,2.1,a,7.6,i
Washington,18.3,a,38.3,a,56.7,a,317.2,a,3.9,a,6.4,i
West Virginia,5.4,a,3.5,a,8.9,a,56.5,a,1.4,a,1.8,i
Wisconsin,19.9,a,19,a,38.8,a,235.7,a,1.6,a,5.6,i
Wyoming,1,a,1,a,1.9,a,32.4,a,13.3,a,0.5,i
