State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,0.6,a,1.6,a,2.2,a,11.9,a,3.1,a,3.4,i
Alaska,0.2,a,0.2,a,0.4,a,2.1,a,4.1,a,0.3,i
Arizona,0.1,a,0.8,a,0.9,a,7.6,a,9.4,a,1.7,i
Arkansas,0.1,a,0.8,a,1,a,6.2,a,4.2,a,1.9,i
California,5.5,a,10.1,a,15.6,a,106.6,a,3,a,19.5,i
Colorado,0.1,a,1,a,1.1,a,9.5,a,5.8,a,2.2,i
Connecticut,1.6,a,1.4,a,3,a,15.6,a,4.2,a,3,i
Delaware,0.4,a,0.3,a,0.7,a,3.1,a,1.4,a,0.5,i
District of Columbia,0,a,0.5,a,0.5,a,8.1,a,-0.4,a,0.8,i
Florida,0.9,a,2.6,a,3.6,a,27.4,a,9.9,a,6.6,i
Georgia,0.9,a,1.5,a,2.4,a,18.1,a,5,a,4.5,i
Hawaii,0.4,a,0.2,a,0.7,a,4.3,a,9.2,a,0.8,i
Idaho,0,a,0.2,a,0.2,a,2.8,a,5,a,0.7,i
Illinois,1.3,a,5,a,6.3,a,60.8,a,3,a,11,i
Indiana,0.6,a,1.3,a,1.9,a,24.2,a,1.9,a,5.1,i
Iowa,0.1,a,0.8,a,0.9,a,12.3,a,4.3,a,2.8,i
Kansas,0.2,a,0.9,a,1.1,a,9.2,a,3,a,2.2,i
Kentucky,1.2,a,1.2,a,2.5,a,13.2,a,3.1,a,3.2,i
Louisiana,0.8,a,2,a,2.7,a,16.3,a,3.2,a,3.6,i
Maine,0.2,a,0.2,a,0.4,a,3.7,a,3.4,a,1,i
Maryland,1.2,a,2,a,3.2,a,17.4,a,4.6,a,3.8,i
Massachusetts,1.9,a,2.1,a,4,a,27.5,a,3.8,a,5.6,i
Michigan,0.9,a,3.8,a,4.7,a,47.9,a,2.1,a,8.8,i
Minnesota,0.4,a,2,a,2.3,a,17.7,a,4.4,a,3.8,i
Mississippi,0.4,a,0.7,a,1.2,a,6.8,a,3.5,a,2.2,i
Missouri,0.1,a,1.8,a,2,a,21.1,a,2,a,4.6,i
Montana,0.1,a,0.2,a,0.2,a,2.8,a,4,a,0.7,i
Nebraska,0.1,a,1.1,a,1.2,a,6.5,a,7,a,1.5,i
Nevada,0,a,0.3,a,0.3,a,2.9,a,10.2,a,0.5,i
New Hampshire,0.2,a,0.2,a,0.3,a,2.8,a,3.4,a,0.7,i
New Jersey,1.4,a,3,a,4.5,a,35.9,a,1.6,a,7.1,i
New Mexico,0.1,a,0.3,a,0.4,a,4.1,a,2.5,a,1,i
New York,6.7,a,15.4,a,22.1,a,107,a,2.2,a,18.1,i
North Carolina,0.6,a,1.2,a,1.8,a,20.9,a,5,a,5,i
North Dakota,0,a,0.2,a,0.2,a,2.2,a,6,a,0.6,i
Ohio,1.4,a,4,a,5.4,a,52.8,a,3.4,a,10.6,i
Oklahoma,0.7,a,0.9,a,1.6,a,9.6,a,3.8,a,2.5,i
Oregon,0.6,a,0.7,a,1.3,a,9.4,a,4.6,a,2.1,i
Pennsylvania,2.9,a,5.3,a,8.2,a,54.5,a,4,a,11.8,i
Rhode Island,0.4,a,0.4,a,0.7,a,4.1,a,0.2,a,0.9,i
South Carolina,0.3,a,0.5,a,0.8,a,8.9,a,3.5,a,2.6,i
South Dakota,0,a,0.1,a,0.1,a,2.3,a,3.5,a,0.7,i
Tennessee,0.4,a,1.9,a,2.2,a,15.2,a,3.5,a,3.9,i
Texas,0.9,a,5.7,a,6.6,a,48.6,a,4.1,a,11,i
All states combined,39.6,a,94,a,133.5,a,"1,017.60",a,3.1,a,200.8,i
Utah,0.1,a,0.5,a,0.6,a,4,a,3.3,a,1,i
Vermont,0.2,a,0.1,a,0.2,a,1.8,a,5.3,a,0.4,i
Virginia,0.3,a,1.7,a,2,a,19.6,a,5.8,a,4.6,i
Washington,0.7,a,3.4,a,4.1,a,18.1,a,1.4,a,3.4,i
West Virginia,0.5,a,0.3,a,0.7,a,6.4,a,-0.1,a,1.8,i
Wisconsin,0.5,a,1.7,a,2.2,a,19.5,a,2.1,a,4.4,i
Wyoming,0.1,a,0.2,a,0.2,a,1.8,a,2.7,a,0.3,i
