State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,0.8,a,2.1,a,3,a,17.4,a,7.6,a,3.6,i
Alaska,0.4,a,0.4,a,0.8,a,3,a,5.1,a,0.3,i
Arizona,0.1,a,1.3,a,1.4,a,13.3,a,11.9,a,2,i
Arkansas,0.1,a,1,a,1.1,a,9.9,a,10.3,a,2,i
California,6,a,12.5,a,18.6,a,147.2,a,4.8,a,21,i
Colorado,0.1,a,1.4,a,1.5,a,16.1,a,10.9,a,2.4,i
Connecticut,2.6,a,1.8,a,4.4,a,20.8,a,4.9,a,3.1,i
Delaware,0.5,a,0.4,a,0.9,a,4.5,a,7.5,a,0.6,i
District of Columbia,0,a,1.4,a,1.4,a,10.4,a,-0.4,a,0.7,i
Florida,1.3,a,3.8,a,5.1,a,47,a,12.1,a,7.6,i
Georgia,1.1,a,2.2,a,3.2,a,28.2,a,8.7,a,4.8,i
Hawaii,1,a,0.3,a,1.3,a,6.4,a,7.1,a,0.8,i
Idaho,0,a,0.2,a,0.2,a,4.5,a,12.6,a,0.8,i
Illinois,1.9,a,6.7,a,8.6,a,81.3,a,4.8,a,11.2,i
Indiana,0.6,a,1.9,a,2.5,a,34,a,7.5,a,5.3,i
Iowa,0.1,a,1,a,1.1,a,18.5,a,14.6,a,2.9,i
Kansas,0.2,a,1.2,a,1.4,a,14,a,9.4,a,2.3,i
Kentucky,1.8,a,1.7,a,3.5,a,18.9,a,5.9,a,3.3,i
Louisiana,1.2,a,2.9,a,4.1,a,22.7,a,6.2,a,3.8,i
Maine,0.4,a,0.3,a,0.6,a,5.2,a,6.6,a,1,i
Maryland,1.6,a,2.7,a,4.3,a,25.1,a,5.1,a,4,i
Massachusetts,3.1,a,3.3,a,6.4,a,36.9,a,3.5,a,5.7,i
Michigan,1.4,a,5.5,a,7,a,62.9,a,5.4,a,9,i
Minnesota,0.6,a,2.9,a,3.6,a,26,a,12.4,a,3.9,i
Mississippi,0.6,a,0.9,a,1.5,a,10.6,a,9,a,2.3,i
Missouri,0.2,a,2.5,a,2.7,a,29.3,a,5.1,a,4.7,i
Montana,0.1,a,0.2,a,0.3,a,4.3,a,12.4,a,0.7,i
Nebraska,0.1,a,2,a,2.1,a,10,a,11.3,a,1.5,i
Nevada,0.1,a,0.5,a,0.5,a,4.5,a,7.6,a,0.6,i
New Hampshire,0.2,a,0.3,a,0.5,a,4.2,a,9.1,a,0.8,i
New Jersey,2.8,a,4.3,a,7.1,a,49.3,a,3,a,7.2,i
New Mexico,0.1,a,0.3,a,0.5,a,6.2,a,8.5,a,1.1,i
New York,11.8,a,21.8,a,33.6,a,136.4,a,1.6,a,18,i
North Carolina,0.5,a,1.5,a,2,a,31.8,a,7.5,a,5.3,i
North Dakota,0.1,a,0.2,a,0.3,a,4.4,a,35.6,a,0.6,i
Ohio,2.2,a,5,a,7.3,a,69.8,a,5.2,a,10.7,i
Oklahoma,0.8,a,1,a,1.8,a,14.5,a,7.8,a,2.7,i
Oregon,1.1,a,0.9,a,2,a,14.2,a,10,a,2.2,i
Pennsylvania,4.6,a,7.2,a,11.8,a,71.9,a,4.2,a,11.8,i
Rhode Island,0.4,a,0.5,a,0.8,a,5.4,a,0.4,a,0.9,i
South Carolina,0.6,a,0.8,a,1.4,a,13.8,a,9.7,a,2.7,i
South Dakota,0,a,0.1,a,0.1,a,4,a,23.2,a,0.7,i
Tennessee,0.6,a,2.6,a,3.3,a,23.2,a,8,a,4.1,i
Texas,1.6,a,8,a,9.6,a,73.8,a,9.3,a,12,i
All states combined,59,a,129,a,188,a,"1,425.40",a,5.6,a,210,i
Utah,0.1,a,0.4,a,0.5,a,6.5,a,9.5,a,1.2,i
Vermont,0.4,a,0.1,a,0.5,a,2.5,a,2.6,a,0.5,i
Virginia,0.4,a,2.5,a,2.9,a,29.5,a,7.1,a,4.8,i
Washington,1.1,a,4,a,5.1,a,23.3,a,8,a,3.6,i
West Virginia,0.8,a,0.4,a,1.2,a,9.2,a,3.8,a,1.8,i
Wisconsin,0.9,a,2.1,a,3,a,27,a,6.5,a,4.5,i
Wyoming,0,a,0.2,a,0.3,a,2.8,a,14.4,a,0.4,i
