State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,6.4,a,12.7,a,19.1,a,127.8,a,2.9,a,4.5,i
Alaska,5.3,a,3.3,a,8.6,a,29.6,a,4.7,a,0.6,i
Arizona,4.3,a,22.3,a,26.6,a,179.4,a,3.1,a,5.5,i
Arkansas,3,a,5.8,a,8.8,a,74,a,3.3,a,2.7,i
California,71.2,a,138.4,a,209.7,a,"1,436.40",a,2.4,a,34.9,i
Colorado,7.2,a,21.3,a,28.5,a,191,a,0.2,a,4.5,i
Connecticut,20.8,a,7,a,27.8,a,176.2,a,-0.1,a,3.4,i
Delaware,4,a,1.5,a,5.5,a,45.8,a,-3.5,a,0.8,i
District of Columbia,0,a,5.4,a,5.4,a,70.1,a,3,a,0.6,i
Florida,20.3,a,70.1,a,90.3,a,548.5,a,4,a,16.7,i
Georgia,8.2,a,26.1,a,34.3,a,326.9,a,0.8,a,8.6,i
Hawaii,5.7,a,2.8,a,8.4,a,45.4,a,3.4,a,1.2,i
Idaho,2.5,a,1.4,a,4,a,38.7,a,2.5,a,1.3,i
Illinois,34.8,a,46.2,a,80.9,a,514.1,a,0.6,a,12.6,i
Indiana,9.5,a,14.6,a,24.1,a,212.4,a,2.5,a,6.1,i
Iowa,3.7,a,5.8,a,9.5,a,99,a,2.8,a,2.9,i
Kansas,2.3,a,10.2,a,12.5,a,90.9,a,1.5,a,2.7,i
Kentucky,7.2,a,20,a,27.1,a,122.2,a,2.5,a,4.1,i
Louisiana,9.2,a,11.8,a,21,a,139.5,a,2,a,4.5,i
Maine,4.3,a,2,a,6.3,a,40.2,a,2.5,a,1.3,i
Maryland,12.3,a,13.4,a,25.7,a,218.3,a,3.9,a,5.4,i
Massachusetts,45.2,a,20.1,a,65.3,a,304,a,0.7,a,6.4,i
Michigan,21.9,a,32.4,a,54.3,a,362.3,a,2.7,a,10,i
Minnesota,6.4,a,25.6,a,32,a,202.8,a,2.6,a,5,i
Mississippi,4.2,a,5.8,a,9.9,a,68.9,a,1.1,a,2.9,i
Missouri,12.7,a,11.6,a,24.2,a,196.6,a,1,a,5.7,i
Montana,2.8,a,1.2,a,4,a,23.9,a,2.8,a,0.9,i
Nebraska,2.2,a,5.7,a,7.9,a,61.6,a,1.8,a,1.7,i
Nevada,3.7,a,12.1,a,15.8,a,84.7,a,3.2,a,2.2,i
New Hampshire,5.4,a,1.8,a,7.2,a,48.7,a,2.8,a,1.3,i
New Jersey,32.1,a,25.5,a,57.6,a,388.3,a,2.2,a,8.5,i
New Mexico,4.5,a,4.1,a,8.6,a,58.1,a,3.1,a,1.9,i
New York,88,a,107.3,a,195.3,a,886.8,a,-0.9,a,19.2,i
North Carolina,11.1,a,22.3,a,33.5,a,298.1,a,1.3,a,8.3,i
North Dakota,1.7,a,1.2,a,2.9,a,20.2,a,5.4,a,0.6,i
Ohio,20,a,31.3,a,51.3,a,412,a,2.6,a,11.4,i
Oklahoma,6.5,a,6,a,12.5,a,99.2,a,1.8,a,3.5,i
Oregon,7.7,a,11.2,a,18.8,a,121.2,a,2.2,a,3.5,i
Pennsylvania,21,a,62.8,a,83.8,a,437,a,1,a,12.3,i
Rhode Island,5.9,a,1.5,a,7.3,a,38.1,a,3.7,a,1.1,i
South Carolina,10.1,a,12.7,a,22.8,a,124.2,a,2.4,a,4.1,i
South Dakota,2.3,a,1.1,a,3.5,a,26.3,a,10.8,a,0.8,i
Tennessee,3.6,a,17.5,a,21.1,a,195.3,a,3.4,a,5.8,i
Texas,20.4,a,98.8,a,119.2,a,787.3,a,1.9,a,21.7,i
All states combined,636.8,a,"1,044.60",a,"1,681.40",a,"10,936.40",a,1.7,a,287.8,i
Utah,4.7,a,8.5,a,13.2,a,76,a,1.9,a,2.3,i
Vermont,2.5,a,0.7,a,3.2,a,20.2,a,3.1,a,0.6,i
Virginia,13.8,a,21.6,a,35.4,a,293.3,a,1,a,7.3,i
Washington,13.6,a,32,a,45.6,a,248.2,a,1.7,a,6.1,i
West Virginia,4.5,a,3.6,a,8.1,a,45.4,a,1.3,a,1.8,i
Wisconsin,14.9,a,15.5,a,30.3,a,194.8,a,2.1,a,5.4,i
Wyoming,1.3,a,1.1,a,2.4,a,19.1,a,2.2,a,0.5,i
