State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,0.6,a,1.3,a,1.9,a,10.1,a,-0.8,a,3.4,i
Alaska,0.2,a,0.2,a,0.3,a,1.6,a,6.9,a,0.3,i
Arizona,0.1,a,0.7,a,0.8,a,5.8,a,1.7,a,1.6,i
Arkansas,0.1,a,0.5,a,0.6,a,5.1,a,2.4,a,1.9,i
California,4.7,a,8.5,a,13.2,a,89.6,a,2.9,a,18.6,i
Colorado,0.1,a,0.9,a,1,a,7.7,a,2.4,a,2.1,i
Connecticut,1.3,a,1.2,a,2.5,a,13.6,a,3.1,a,2.9,i
Delaware,0.4,a,0.3,a,0.6,a,2.6,a,2,a,0.5,i
District of Columbia,0,a,0.4,a,0.4,a,7.2,a,8.2,a,0.8,i
Florida,0.9,a,2.3,a,3.2,a,21.1,a,7,a,6.2,i
Georgia,0.7,a,1.3,a,2,a,14.7,a,3.5,a,4.4,i
Hawaii,0.3,a,0.2,a,0.5,a,3.3,a,3.3,a,0.7,i
Idaho,0,a,0.1,a,0.2,a,2.3,a,-0.2,a,0.7,i
Illinois,1.2,a,4.4,a,5.6,a,52.8,a,1.8,a,10.8,i
Indiana,0.5,a,1.2,a,1.7,a,21,a,1.5,a,5,i
Iowa,0.1,a,0.6,a,0.7,a,10.6,a,1.1,a,2.8,i
Kansas,0.3,a,0.8,a,1,a,7.8,a,1.9,a,2.2,i
Kentucky,1,a,1,a,2,a,11,a,3.4,a,3.2,i
Louisiana,0.7,a,1.6,a,2.3,a,14,a,6.7,a,3.5,i
Maine,0.2,a,0.2,a,0.3,a,3.2,a,2.1,a,1,i
Maryland,0.9,a,1.6,a,2.5,a,14.3,a,2.6,a,3.7,i
Massachusetts,1.8,a,1.8,a,3.7,a,23.3,a,3.6,a,5.5,i
Michigan,1,a,3.2,a,4.2,a,40,a,-0.9,a,8.6,i
Minnesota,0.3,a,1.6,a,1.9,a,14.6,a,3.3,a,3.7,i
Mississippi,0.3,a,0.6,a,0.9,a,5.7,a,3.3,a,2.2,i
Missouri,0.1,a,1.5,a,1.6,a,17.8,a,2.9,a,4.6,i
Montana,0.1,a,0.2,a,0.2,a,2.4,a,-2.3,a,0.7,i
Nebraska,0.1,a,0.8,a,0.9,a,5.5,a,2.4,a,1.5,i
Nevada,0,a,0.3,a,0.3,a,2.2,a,2.5,a,0.4,i
New Hampshire,0.1,a,0.2,a,0.3,a,2.4,a,6.2,a,0.7,i
New Jersey,1.2,a,2.7,a,3.9,a,31,a,3.7,a,6.8,i
New Mexico,0.1,a,0.3,a,0.4,a,3.5,a,-1.1,a,1,i
New York,4.8,a,13.7,a,18.5,a,92.1,a,3.4,a,17.8,i
North Carolina,0.5,a,1,a,1.5,a,17.2,a,4.4,a,4.9,i
North Dakota,0,a,0.2,a,0.2,a,1.9,a,-1.3,a,0.6,i
Ohio,1.2,a,3.5,a,4.6,a,44.4,a,1.2,a,10.4,i
Oklahoma,0.6,a,0.8,a,1.4,a,8.1,a,5.2,a,2.5,i
Oregon,0.5,a,0.5,a,1,a,7.6,a,2.2,a,2,i
Pennsylvania,2.1,a,4.7,a,6.8,a,46.5,a,2.5,a,11.7,i
Rhode Island,0.3,a,0.3,a,0.6,a,3.6,a,1.7,a,0.9,i
South Carolina,0.3,a,0.4,a,0.7,a,7.4,a,3.3,a,2.5,i
South Dakota,0,a,0.1,a,0.1,a,2,a,-0.8,a,0.7,i
Tennessee,0.3,a,1.7,a,2,a,12.6,a,2.2,a,3.8,i
Texas,0.7,a,5.1,a,5.8,a,39.9,a,5.5,a,10.7,i
All states combined,32.5,a,81.2,a,113.7,a,860,a,2.7,a,195.8,i
Utah,0.1,a,0.5,a,0.6,a,3.5,a,-0.6,a,1,i
Vermont,0.1,a,0.1,a,0.2,a,1.5,a,1.9,a,0.4,i
Virginia,0.3,a,1.5,a,1.8,a,15.9,a,3.8,a,4.4,i
Washington,0.6,a,3.1,a,3.7,a,15.7,a,6.6,a,3.2,i
West Virginia,0.4,a,0.3,a,0.6,a,5.8,a,1.6,a,1.8,i
Wisconsin,0.4,a,1.5,a,1.8,a,16.8,a,1.4,a,4.3,i
Wyoming,0.1,a,0.1,a,0.2,a,1.5,a,-0.8,a,0.3,i
