State,State Debt,,Local Debt,,State and Local Debt,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,0.8,a,1.9,a,2.7,a,13.6,a,3.9,a,3.5,i
Alaska,0.3,a,0.3,a,0.6,a,2.5,a,2.4,a,0.3,i
Arizona,0.1,a,1,a,1.1,a,9.6,a,7.2,a,1.9,i
Arkansas,0.1,a,1,a,1.1,a,7.4,a,6.2,a,2,i
California,5.7,a,11.2,a,16.9,a,120.4,a,2.3,a,20.3,i
Colorado,0.1,a,1.1,a,1.3,a,12,a,9.5,a,2.3,i
Connecticut,2.2,a,1.6,a,3.8,a,17.1,a,-0.3,a,3,i
Delaware,0.4,a,0.3,a,0.8,a,3.6,a,8.9,a,0.6,i
District of Columbia,0,a,0.7,a,0.7,a,9.2,a,2.1,a,0.7,i
Florida,1,a,3,a,4,a,34.2,a,5.9,a,7,i
Georgia,0.9,a,1.9,a,2.8,a,21.6,a,6,a,4.7,i
Hawaii,0.7,a,0.3,a,1,a,5.2,a,2.6,a,0.8,i
Idaho,0,a,0.2,a,0.2,a,3.3,a,3.1,a,0.7,i
Illinois,1.6,a,5.7,a,7.3,a,67.4,a,2.2,a,11.1,i
Indiana,0.6,a,1.7,a,2.3,a,26.9,a,4.2,a,5.2,i
Iowa,0.1,a,1,a,1.1,a,13.7,a,0.4,a,2.8,i
Kansas,0.2,a,0.9,a,1.2,a,10.8,a,5.6,a,2.3,i
Kentucky,1.5,a,1.4,a,3,a,15.6,a,6.3,a,3.3,i
Louisiana,0.9,a,2.3,a,3.3,a,18.6,a,3.2,a,3.7,i
Maine,0.3,a,0.2,a,0.5,a,4.2,a,1.1,a,1,i
Maryland,1.3,a,2.3,a,3.6,a,20.5,a,4.2,a,4,i
Massachusetts,2,a,2.6,a,4.6,a,31,a,1.5,a,5.7,i
Michigan,1.2,a,4.9,a,6.1,a,51.7,a,6.6,a,8.9,i
Minnesota,0.6,a,2.5,a,3.1,a,20,a,2,a,3.8,i
Mississippi,0.5,a,0.8,a,1.3,a,7.9,a,4,a,2.2,i
Missouri,0.1,a,2.3,a,2.4,a,24.2,a,3.8,a,4.7,i
Montana,0.1,a,0.2,a,0.3,a,3.1,a,2.5,a,0.7,i
Nebraska,0.1,a,1.5,a,1.6,a,7.7,a,5.5,a,1.5,i
Nevada,0,a,0.4,a,0.5,a,3.6,a,5.3,a,0.5,i
New Hampshire,0.2,a,0.2,a,0.4,a,3.3,a,4,a,0.8,i
New Jersey,2,a,3.5,a,5.5,a,41.3,a,2.1,a,7.2,i
New Mexico,0.1,a,0.3,a,0.5,a,4.8,a,3.6,a,1,i
New York,8.6,a,18.5,a,27.2,a,119.1,a,0.9,a,18.2,i
North Carolina,0.6,a,1.3,a,1.9,a,25,a,4.3,a,5.2,i
North Dakota,0,a,0.2,a,0.2,a,2.6,a,9.2,a,0.6,i
Ohio,1.8,a,4.5,a,6.3,a,58,a,2.7,a,10.7,i
Oklahoma,0.8,a,0.9,a,1.7,a,11.3,a,3.5,a,2.6,i
Oregon,0.8,a,0.7,a,1.5,a,10.9,a,5.5,a,2.1,i
Pennsylvania,3.8,a,6.3,a,10.1,a,60.3,a,1.3,a,11.8,i
Rhode Island,0.4,a,0.4,a,0.8,a,4.6,a,1.5,a,0.9,i
South Carolina,0.4,a,1.1,a,1.5,a,10.6,a,5.1,a,2.6,i
South Dakota,0,a,0.1,a,0.1,a,2.7,a,3.7,a,0.7,i
Tennessee,0.5,a,2.4,a,2.8,a,17.9,a,5.6,a,4,i
Texas,1.2,a,6.5,a,7.7,a,57.3,a,4.3,a,11.5,i
All states combined,48,a,111,a,159,a,"1,164.90",a,3.3,a,205.5,i
Utah,0.1,a,0.5,a,0.6,a,4.9,a,5.6,a,1.1,i
Vermont,0.3,a,0.1,a,0.4,a,2.1,a,2,a,0.5,i
Virginia,0.4,a,2.3,a,2.6,a,23.2,a,4.7,a,4.7,i
Washington,0.9,a,3.6,a,4.4,a,18.8,a,-1.4,a,3.5,i
West Virginia,0.6,a,0.3,a,0.9,a,7.6,a,2.1,a,1.8,i
Wisconsin,0.7,a,1.9,a,2.6,a,22.1,a,4.1,a,4.4,i
Wyoming,0,a,0.2,a,0.2,a,2.1,a,2.9,a,0.3,i
