,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,2018,9.9,23.8,33.6,221.1,2.0,4.9
1,Alaska,2018,5.9,3.5,9.4,54,-0.3,0.7
2,Arizona,2018,13.7,31.4,45.1,346.8,4.0,7.2
3,Arkansas,2018,6.8,13.3,20.2,128.1,0.9,3.0
4,California,2018,148,305,453,"2,968.10",3.5,39.5
5,Colorado,2018,17.9,42.3,60.1,368.8,3.5,5.7
6,Connecticut,2018,40.3,11.7,52,274.2,1.0,3.6
7,Delaware,2018,5.1,2.8,7.9,75,0.3,1.0
8,District of Columbia,2018,0,15.3,15.3,140.3,2.1,0.7
9,Florida,2018,27.6,101.4,129,"1,036.30",3.5,21.2
10,Georgia,2018,13.3,45.6,58.9,588.2,2.6,10.5
11,Hawaii,2018,9.9,6.5,16.4,92,1.0,1.4
12,Idaho,2018,3.4,2.7,6.2,77,4.1,1.8
13,Illinois,2018,67.5,101.3,168.8,864.6,2.1,12.7
14,Indiana,2018,22,26.1,48.1,366.7,1.9,6.7
15,Iowa,2018,6.3,13.5,19.8,190.2,1.4,3.1
16,Kansas,2018,6.1,16.7,22.9,167,1.9,2.9
17,Kentucky,2018,14.6,30.8,45.4,208.3,1.4,4.5
18,Louisiana,2018,18.2,18.3,36.4,252.1,1.1,4.7
19,Maine,2018,4.8,3.1,7.9,64.4,1.9,1.3
20,Maryland,2018,28,26.4,54.4,412.9,1.6,6.0
21,Massachusetts,2018,78.6,20.5,99.2,567.3,2.7,6.9
22,Michigan,2018,33.6,38.7,72.2,528,2.7,10.0
23,Minnesota,2018,16.6,37.2,53.8,368.3,2.2,5.6
24,Mississippi,2018,7.3,6.9,14.1,114.1,1.0,3.0
25,Missouri,2018,17.9,27.8,45.7,317.7,2.3,6.1
26,Montana,2018,2.7,2.5,5.2,49,0.9,1.1
27,Nebraska,2018,2.1,14.2,16.3,123,1.5,1.9
28,Nevada,2018,3.4,25.5,28.9,165.8,3.2,3.0
29,New Hampshire,2018,7.7,2.7,10.4,84.7,2.2,1.4
30,New Jersey,2018,65.6,31.3,96.9,624.9,2.0,8.9
31,New Mexico,2018,7.3,9,16.3,99.4,1.8,2.1
32,New York,2018,148,223.5,371.4,"1,676.40",2.1,19.5
33,North Carolina,2018,15.4,29.2,44.6,565.8,2.9,10.4
34,North Dakota,2018,3,5.4,8.4,54.7,2.5,0.8
35,Ohio,2018,31.6,51.1,82.7,676.2,1.8,11.7
36,Oklahoma,2018,8.9,10.8,19.7,200,1.8,3.9
37,Oregon,2018,14.3,24.8,39.1,238.7,3.4,4.2
38,Pennsylvania,2018,49.1,77.9,127,788.5,2.1,12.8
39,Rhode Island,2018,9.1,2.7,11.8,61,0.6,1.1
40,South Carolina,2018,14.6,21.9,36.5,230.4,1.6,5.1
41,South Dakota,2018,3.7,2.9,6.6,51.6,1.3,0.9
42,Tennessee,2018,6.3,38.2,44.5,365.6,3.0,6.8
43,Texas,2018,51.5,240.3,291.9,"1,775.80",3.2,28.6
44,All states combined,2018,"1,173.60","1,936.60","3,110.20","20,580.20",2.9,326.7
45,Utah,2018,7.4,13.1,20.5,177.3,4.3,3.2
46,Vermont,2018,3.6,1.3,4.9,33.7,1.2,0.6
47,Virginia,2018,29.1,39.8,68.9,534.4,2.8,8.5
48,Washington,2018,33.9,56,89.9,563.2,5.7,7.5
49,West Virginia,2018,8.6,4.1,12.8,77.5,2.4,1.8
50,Wisconsin,2018,22.8,22.6,45.5,337,2.5,5.8
51,Wyoming,2018,0.8,1.3,2.1,39.4,0.3,0.6
