,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1996,3.6,8.0,11.6,100.1,2.6,4.3
1,Alaska,1996,3.2,3.6,6.8,26.7,3.2,0.6
2,Arizona,1996,2.9,16.3,19.2,119.5,6.8,4.5
3,Arkansas,1996,2.1,3.7,5.8,58,4.3,2.5
4,California,1996,45.9,97.9,143.8,964.2,3.9,32.2
5,Colorado,1996,3.6,15.7,19.3,121.1,5.5,3.9
6,Connecticut,1996,21.5,4.1,25.6,129.1,2.9,3.4
7,Delaware,1996,4.3,1.2,5.5,29.2,3.3,0.7
8,District of Columbia,1996,0.0,4.1,4.1,47.8,-0.3,0.6
9,Florida,1996,15.5,49.6,65.2,370.9,5.0,14.7
10,Georgia,1996,6.2,17.5,23.7,220,6.2,7.5
11,Hawaii,1996,5.1,2.1,7.2,38.1,-0.9,1.2
12,Idaho,1996,1.5,0.9,2.3,28.9,2.3,1.2
13,Illinois,1996,22.7,29.7,52.4,383.5,3.3,12.0
14,Indiana,1996,6.1,9.3,15.4,158.4,3.4,5.9
15,Iowa,1996,2.1,4.3,6.4,78.8,5.8,2.9
16,Kansas,1996,1.2,6.9,8.1,69.6,4.7,2.6
17,Kentucky,1996,7.0,12.4,19.4,96.6,3.2,3.9
18,Louisiana,1996,7.5,8.9,16.3,118.8,3.4,4.4
19,Maine,1996,3.2,1.5,4.7,29.3,2.0,1.3
20,Maryland,1996,9.7,12.6,22.2,145,2.4,5.1
21,Massachusetts,1996,29.3,11.3,40.6,210.6,5.3,6.2
22,Michigan,1996,13.7,17.9,31.6,270.3,3.4,9.7
23,Minnesota,1996,4.9,17.2,22.1,145.9,6.0,4.7
24,Mississippi,1996,2.2,3.9,6.1,57.5,2.6,2.7
25,Missouri,1996,7.1,6.7,13.9,148.3,3.9,5.4
26,Montana,1996,2.2,0.7,2.9,18.1,1.6,0.9
27,Nebraska,1996,1.4,4.8,6.2,49,6.7,1.7
28,Nevada,1996,2.3,5.9,8.2,54.4,8.5,1.6
29,New Hampshire,1996,5.8,1.1,6.9,34.6,6.5,1.2
30,New Jersey,1996,25.6,16.0,41.6,278.2,3.7,8.1
31,New Mexico,1996,2.1,3.3,5.4,44.5,3.8,1.7
32,New York,1996,73.1,76.6,149.7,620.2,4.5,18.6
33,North Carolina,1996,4.5,17.0,21.5,203.8,3.5,7.4
34,North Dakota,1996,0.8,0.9,1.7,16.5,9.1,0.6
35,Ohio,1996,12.6,16.3,29,311.1,2.7,11.1
36,Oklahoma,1996,3.9,5.1,9,76.3,5.8,3.3
37,Oregon,1996,6.1,6.4,12.5,93.3,12.4,3.2
38,Pennsylvania,1996,15.0,43.4,58.5,325,2.0,12.1
39,Rhode Island,1996,5.5,1.0,6.5,26.5,1.7,1.0
40,South Carolina,1996,5.3,6.8,12.1,90.8,2.1,3.8
41,South Dakota,1996,1.7,0.7,2.4,19.4,5.6,0.7
42,Tennessee,1996,3.1,19.4,22.5,143.2,2.6,5.3
43,Texas,1996,14.6,61.4,76,551.5,6.7,19.2
44,All states combined,1996,452.4,717.3,"1,169.70","8,073.10",3.8,267.9
45,Utah,1996,2.5,9.0,11.5,52,9.3,2.0
46,Vermont,1996,1.7,0.5,2.3,14.7,3.7,0.6
47,Virginia,1996,8.8,15.4,24.2,197.8,4.3,6.7
48,Washington,1996,9.0,22.8,31.8,166.5,5.5,5.5
49,West Virginia,1996,2.8,3.7,6.5,37.2,1.1,1.8
50,Wisconsin,1996,9.1,10.6,19.7,143.4,4.1,5.2
51,Wyoming,1996,0.8,1.1,1.9,15.8,5.9,0.5
