,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1997,4.1,8.4,12.5,104.1,5.0,4.3
1,Alaska,1997,3.3,3.8,7.1,25.7,15.7,0.6
2,Arizona,1997,2.7,18.5,21.3,132.4,3.2,4.6
3,Arkansas,1997,2.2,3.8,6,59.9,4.5,2.6
4,California,1997,45.3,110.8,156.1,"1,070.50",4.6,32.6
5,Colorado,1997,3.4,16.0,19.4,136.7,11.3,4.0
6,Connecticut,1997,17.1,4.6,21.6,138.6,8.1,3.4
7,Delaware,1997,3.4,1.3,4.7,33,13.5,0.7
8,District of Columbia,1997,0.0,4.3,4.3,52.5,21.9,0.6
9,Florida,1997,16.0,54.4,70.4,401.7,10.7,15.0
10,Georgia,1997,6.2,19.7,25.9,242.6,9.4,7.6
11,Hawaii,1997,5.3,2.1,7.4,37.7,6.9,1.2
12,Idaho,1997,1.6,1.0,2.6,29.4,-6.3,1.2
13,Illinois,1997,23.8,28.4,52.2,415.8,10.3,12.1
14,Indiana,1997,6.8,10.0,16.8,170.5,7.3,5.9
15,Iowa,1997,2.0,4.2,6.3,82.6,5.3,2.9
16,Kansas,1997,1.2,7.6,8.8,74.7,10.1,2.6
17,Kentucky,1997,7.1,13.9,21,104.6,11.3,3.9
18,Louisiana,1997,7.0,9.2,16.2,116.5,24.3,4.4
19,Maine,1997,3.2,1.6,4.8,30.6,7.6,1.3
20,Maryland,1997,9.9,12.6,22.5,159.3,11.6,5.1
21,Massachusetts,1997,29.4,12.1,41.5,237.3,5.2,6.2
22,Michigan,1997,14.4,21.1,35.6,299.8,7.6,9.7
23,Minnesota,1997,4.9,18.6,23.5,155.9,6.3,4.7
24,Mississippi,1997,2.5,4.5,7,58.3,6.0,2.8
25,Missouri,1997,7.6,7.5,15.1,163.2,12.7,5.4
26,Montana,1997,2.1,1.2,3.3,19.3,17.8,0.9
27,Nebraska,1997,1.5,4.7,6.2,49.9,5.6,1.7
28,Nevada,1997,2.8,7.5,10.3,60.6,21.5,1.7
29,New Hampshire,1997,5.8,1.2,7.1,38.2,2.5,1.2
30,New Jersey,1997,26.6,16.7,43.3,307.9,12.1,8.2
31,New Mexico,1997,2.5,3.9,6.3,52.5,10.8,1.7
32,New York,1997,74.1,77.5,151.5,718.3,15.3,18.7
33,North Carolina,1997,5.7,18.2,23.9,233.9,13.6,7.6
34,North Dakota,1997,0.9,1.0,1.9,15.7,-0.5,0.6
35,Ohio,1997,13.4,17.7,31.1,343.5,11.0,11.2
36,Oklahoma,1997,3.8,5.8,9.6,79.1,10.7,3.4
37,Oregon,1997,5.8,7.3,13.1,100.9,-7.0,3.2
38,Pennsylvania,1997,15.4,44.5,59.9,356.1,11.6,12.2
39,Rhode Island,1997,5.3,1.1,6.4,28.9,11.1,1.0
40,South Carolina,1997,5.3,8.8,14.1,97.4,8.8,3.8
41,South Dakota,1997,1.8,0.8,2.7,19,-5.9,0.7
42,Tennessee,1997,3.3,12.2,15.5,154.4,7.8,5.4
43,Texas,1997,12.5,65.9,78.3,610.3,15.8,19.6
44,All states combined,1997,456.7,764.8,"1,221.50","8,577.60",4.4,271.2
45,Utah,1997,2.5,9.5,12,57.7,13.5,2.1
46,Vermont,1997,2.0,0.6,2.7,15.4,-0.1,0.6
47,Virginia,1997,9.9,17.5,27.5,217.3,11.6,6.8
48,Washington,1997,9.5,24.1,33.6,193.9,19.3,5.6
49,West Virginia,1997,3.0,3.7,6.7,38.8,16.5,1.8
50,Wisconsin,1997,9.8,12.0,21.8,153.2,6.8,5.2
51,Wyoming,1997,0.9,1.2,2.1,14.7,17.3,0.5
