,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1982,2.0,3.8,5.7,41.8,-2.3,3.9
1,Alaska,1982,3.7,3.1,6.8,23.5,1.2,0.4
2,Arizona,1982,0.2,7.1,7.3,35.8,-1.6,2.9
3,Arkansas,1982,0.6,1.9,2.5,23.5,-3.2,2.3
4,California,1982,10.3,19.0,29.4,393.8,0.6,24.8
5,Colorado,1982,0.7,4.7,5.4,47.7,2.1,3.0
6,Connecticut,1982,4.6,2.2,6.8,50.2,3.6,3.1
7,Delaware,1982,1.4,0.7,2.0,9.5,1.2,0.6
8,District of Columbia,1982,0.0,2.8,2.8,23,-0.5,0.6
9,Florida,1982,3.0,11.1,14.1,122.3,2.7,10.3
10,Georgia,1982,1.6,5.9,7.6,68.5,1.1,5.7
11,Hawaii,1982,2.1,0.3,2.4,15.7,1.3,1.0
12,Idaho,1982,0.4,0.5,1.0,10.7,-5.7,1.0
13,Illinois,1982,7.5,9.8,17.3,164.3,-3.1,11.4
14,Indiana,1982,1.0,3.5,4.5,65,-5.4,5.5
15,Iowa,1982,0.5,2.4,2.8,37.3,-8.2,2.9
16,Kansas,1982,0.4,4.5,4.9,33.5,-1.4,2.4
17,Kentucky,1982,2.7,5.0,7.7,42.2,-3.3,3.7
18,Louisiana,1982,4.1,5.4,9.5,78.1,-4.8,4.2
19,Maine,1982,0.9,0.7,1.6,12.1,1.4,1.1
20,Maryland,1982,4.2,5.2,9.4,56.3,-0.1,4.3
21,Massachusetts,1982,6.4,4.7,11.1,83.8,1.4,5.8
22,Michigan,1982,3.9,9.3,13.1,115.2,-5.4,9.3
23,Minnesota,1982,2.7,6.7,9.4,57.5,-2.3,4.1
24,Mississippi,1982,0.7,1.5,2.3,24.6,-3.5,2.5
25,Missouri,1982,1.8,3.1,4.9,60.7,-1.0,5.0
26,Montana,1982,0.4,0.6,1.0,10.2,-5.8,0.8
27,Nebraska,1982,0.3,4.9,5.2,21.3,-4.0,1.6
28,Nevada,1982,0.6,0.9,1.6,13.9,-1.0,0.9
29,New Hampshire,1982,1.3,0.5,1.7,11.4,2.5,1.0
30,New Jersey,1982,8.8,7.3,16.1,105.8,0.9,7.4
31,New Mexico,1982,0.8,2.2,3.0,19.2,-2.1,1.3
32,New York,1982,25.8,23.5,49.4,282.2,1.5,17.6
33,North Carolina,1982,1.6,4.4,6.0,69,-1.4,6.0
34,North Dakota,1982,0.3,0.6,0.9,10,-5.8,0.6
35,Ohio,1982,5.0,7.3,12.3,134.6,-4.5,10.8
36,Oklahoma,1982,1.2,4.1,5.3,49.3,2.2,3.0
37,Oregon,1982,6.2,2.6,8.8,31.6,-5.8,2.7
38,Pennsylvania,1982,6.2,14.6,20.8,142.1,-3.4,11.9
39,Rhode Island,1982,2.0,0.6,2.6,11.4,0.2,1.0
40,South Carolina,1982,3.1,1.9,5.0,32.4,-1.9,3.2
41,South Dakota,1982,0.7,0.5,1.2,7.7,-5.2,0.7
42,Tennessee,1982,1.6,5.2,6.8,52,-2.5,4.6
43,Texas,1982,2.6,22.2,24.7,260.1,-0.1,14.7
44,All states combined,1982,147.0,257.0,404.0,"3,343.80",-1.8,230.8
45,Utah,1982,0.7,2.9,3.6,18.4,-0.1,1.5
46,Vermont,1982,0.7,0.3,1.0,5.8,-0.3,0.5
47,Virginia,1982,2.6,4.4,7.0,71.5,1.7,5.5
48,Washington,1982,2.5,14.1,16.6,62.9,0.6,4.3
49,West Virginia,1982,1.8,2.0,3.8,20.5,-2.6,1.9
50,Wisconsin,1982,2.6,3.3,6.0,59.5,-2.6,4.7
51,Wyoming,1982,0.5,1.2,1.7,12.4,-7.9,0.5
