,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1995,3.8,7.5,11.2,95.8,4.2,4.2
1,Alaska,1995,3.2,3.8,7.1,25.4,5.6,0.6
2,Arizona,1995,3.0,15.4,18.4,109.9,7.2,4.3
3,Arkansas,1995,2.0,3.1,5.1,54.6,4.0,2.5
4,California,1995,48.2,93.8,142,911.6,3.7,31.7
5,Colorado,1995,3.4,15.6,19,112.7,5.6,3.8
6,Connecticut,1995,15.5,4.0,19.4,123.2,6.7,3.3
7,Delaware,1995,3.5,1.2,4.7,27.7,5.9,0.7
8,District of Columbia,1995,0.0,4.4,4.4,47.1,-1.1,0.6
9,Florida,1995,15.4,49.1,64.5,347,3.9,14.4
10,Georgia,1995,5.6,17.2,22.8,203.4,6.0,7.3
11,Hawaii,1995,5.2,2.0,7.2,37.8,-1.1,1.2
12,Idaho,1995,1.3,0.8,2.1,27.8,6.8,1.1
13,Illinois,1995,22.0,26.9,48.8,364.5,2.6,11.9
14,Indiana,1995,5.5,7.9,13.4,150.4,2.8,5.8
15,Iowa,1995,2.1,5.3,7.4,73.1,2.1,2.9
16,Kansas,1995,1.1,6.8,7.9,65.3,1.0,2.6
17,Kentucky,1995,7.1,12.3,19.4,91.9,2.7,3.9
18,Louisiana,1995,8.5,8.8,17.3,112.9,5.2,4.3
19,Maine,1995,3.0,1.6,4.6,28.2,3.9,1.3
20,Maryland,1995,9.4,12.0,21.4,139.1,2.2,5.0
21,Massachusetts,1995,27.7,10.5,38.2,196.4,3.6,6.2
22,Michigan,1995,12.5,17.6,30.1,256.6,-0.1,9.6
23,Minnesota,1995,4.5,17.2,21.7,135.1,3.3,4.6
24,Mississippi,1995,1.9,3.7,5.6,55,4.4,2.7
25,Missouri,1995,6.7,6.5,13.2,140.1,5.1,5.4
26,Montana,1995,2.2,0.7,2.9,17.5,0.6,0.8
27,Nebraska,1995,1.4,4.7,6.1,45.1,1.6,1.6
28,Nevada,1995,2.0,5.4,7.4,49.2,6.8,1.5
29,New Hampshire,1995,5.8,1.2,6.9,31.9,7.0,1.2
30,New Jersey,1995,24.4,15.4,39.8,263.5,2.6,8.1
31,New Mexico,1995,1.8,3.1,4.9,42.1,-1.0,1.7
32,New York,1995,68.5,73.7,142.2,582.7,2.8,18.5
33,North Carolina,1995,4.5,17.4,22,193.5,4.5,7.3
34,North Dakota,1995,0.9,1.0,1.8,14.8,1.6,0.6
35,Ohio,1995,12.3,16.1,28.3,297.5,3.4,11.1
36,Oklahoma,1995,3.7,5.1,8.8,70.9,1.7,3.3
37,Oregon,1995,5.5,5.9,11.4,81.6,6.0,3.1
38,Pennsylvania,1995,14.3,38.5,52.8,313,3.4,12.1
39,Rhode Island,1995,5.5,0.8,6.3,25.6,2.8,1.0
40,South Carolina,1995,5.0,7.1,12.1,87.2,4.1,3.7
41,South Dakota,1995,1.7,0.7,2.4,18.1,2.0,0.7
42,Tennessee,1995,2.8,18.3,21.1,137.1,3.4,5.3
43,Texas,1995,9.9,55.8,65.7,507.7,4.5,18.8
44,All states combined,1995,427.2,688.1,"1,115.40","7,639.70",2.7,264.6
45,Utah,1995,2.1,8.8,10.8,46.7,7.5,2.0
46,Vermont,1995,1.7,0.5,2.2,13.9,-0.6,0.6
47,Virginia,1995,8.7,13.4,22.1,186.2,3.0,6.6
48,Washington,1995,8.8,24.6,33.4,155.1,0.7,5.4
49,West Virginia,1995,2.6,3.9,6.5,36.1,2.4,1.8
50,Wisconsin,1995,8.2,10.2,18.5,135.3,2.4,5.1
51,Wyoming,1995,0.8,1.1,1.9,14.6,1.7,0.5
